Products and product groups 7,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23
All-items 8,108,108.9,108.5,108.6,109.1,109.2,109.1,109.2,109.4,109,109.1,109.5,109.9,110.2,110.6,111.2,111.5,111.5,111.3,111.4,111.3,111.7,111.9,112.2,112.6,112.4,112.6,112.8,113.3,114.1,114.9,115.4,115.4,115.5,114.7,114.3,113.9,113.7,114.1,114,113.7,114.2,114.7,114.3,114.5,114.6,114.8,115.4,115.4,115.8,115.9,115.6,115.6,115.7,116,116.6,116.5,116.7,117.4,117.7,118.2,118.4,118.3,119.1,119.6,120,119.6,119.8,120.1,120.5,120.9,121,120.8,121.5,121.4,121.5,121.9,121.5,121.2,121.2,121.7,121.9,122.2,122.1,122,122.1,122.9,122.8,122.3,122.3,122.6,122.8,122.9,123.1,123,123.2,123.6,123.9,124.3,124.5,125,125.1,125.4,125.4,125.5,125.7,125.9,125.7,125.5,125.1,125.5,126.1,125.8,126.3,126.8,127.1,127.1,127,127.2,127.3,127.4,127.5,127.3,127.7,127.9,128.3,128.6,128.5,128.6,128.8,129.1,128.9,129.3,130.1,129.9,129.7,130.1,129.9,129.9,130.1,130.4,130.7,130.9,131.7,131.8,132.3,132.6,132.7,132.8,132.9,133.1,133.7,133.9,133.8,134.2,134,134.3,134.3,134.7,135.2,135.6,136,135.9,136.4,136.4,136.3,136.7,136.8,137.3,137.5,137.7,136.3,135.6,135.4,136.5,136.5,136.8,137.1,137.5,138,138.5,139,139.2,139.3,140.1,140.3,140.7,141.5,142.5,143.2,143.9,144.5,145.2,146.1,147.1,148.6,149.7,151.2,152.1,152.3,152.4,153,153.8,154.3,154.3,154.7,154.9,155.3,156.1,156.1,156.3
Food,107.4,107.9,107.9,108.1,108.1,108.3,108.6,108.8,109.3,109.7,110.2,110.4,109.9,110.6,112.3,112,112.1,112.1,111.9,111.9,111.9,111.8,111.7,111.7,111.8,112.1,112.5,112.8,113.1,114.3,115.2,116,116.8,118,118.5,119.7,119.9,120.4,121,121.4,121.5,121.5,121.6,121.6,121.4,121.2,121.3,121.8,122.1,122.2,122.4,122.9,122.7,122.5,122.5,123,123.3,123.7,123.8,123.4,124.2,124.6,124.7,126.8,127,127.5,128,128.4,128.6,129.1,129.2,129.4,129.7,130,129.8,129.7,130.2,130.5,130.4,131,131.4,131.2,131.7,131.7,131.7,131.1,132.3,132.3,132,132,132,132.2,132.9,132.9,132.9,133.2,133,132.6,133.5,133.9,134.6,135.1,135.9,136,135.8,136.6,136.7,137.4,138,138.6,138.7,139,139.4,140.2,140.4,140.3,140.7,141.5,142.4,142.2,143.1,144,144.2,144.3,143.5,142.8,142.2,142.4,142.2,141.6,141.5,141.4,141.1,140.8,140.9,141.3,142.1,142.7,143,143.3,143.5,143.5,143.4,143.7,143.8,144,144.1,144,144.6,144.3,144.9,145.2,145.7,146.1,146.3,146.7,147.8,147.9,148.5,149,149,149.5,150.2,150.8,151,151.3,151.5,151.7,152.2,152.9,152.1,152.3,154,153.9,154.4,154.4,153.8,153.5,154.7,154.5,154.2,154.4,154.9,155,155.2,156.1,156.4,157,158,159.3,160.4,161.3,162.3,163.3,165.2,167,168.8,169.9,170.3,171.6,173.6,175.5,176.4,177.8,178.7,180.4,181.2,182,183,184,184.6
Shelter,110.5,111.8,111.7,111.9,112.2,113,112.8,113.2,113.5,114,114.1,114.1,114.6,114.8,114.9,115.4,116.2,116,116.8,117,117.6,117.8,118.7,118.8,119.2,119.2,119.6,120.1,121.2,121.6,122.3,123.3,123.8,123.1,123.2,123.4,123.4,123.1,123.2,122.6,121.4,121.4,121.3,120.9,121.1,120.9,121.2,121.3,121.3,121.8,121.8,121.7,122.4,123,123.3,124.3,124,123.9,124.6,124.4,124.6,124.5,124.5,124.6,125.2,125.2,125.4,125.9,126.2,125.7,126.5,126.3,126.8,127.1,126.9,126.6,126.6,126.7,127,127.2,127.4,127.2,127.6,127.5,127.5,127.8,127.9,128,128.2,128.3,128.5,128.8,128.8,129,129.2,129.8,129.9,130.5,130.7,131.4,132.4,132.6,132.2,132.6,132.4,132.5,132.8,132.8,133,133.1,133.1,133.3,133.1,133.2,133.5,133.8,133.9,133.9,134.3,134.4,134.5,134.6,134.7,134.8,134.9,135.1,135.6,136,136.2,136.2,136.9,137.2,137.3,137.8,137.6,137.7,137.9,137.7,137.8,137.7,138,138.1,138.6,138.9,139.2,139.7,140,140,140.3,140.4,140.5,141,141.2,141.5,142,142.3,142.3,143,143.4,143.8,144.1,144.2,144,144.3,144.6,144.8,145.7,145.9,146.3,146.4,146.7,146.5,146,145.6,146.4,146.4,146.8,147.3,148.3,148.7,148.7,148.4,148.8,150,150.7,151.7,152.8,153.5,153.9,154.4,155.4,155.9,156.8,157.6,158.6,160.2,161.9,163,163.6,164.2,164.1,164.9,166.2,167.2,167.8,168,168.3,168.9,169.9,170.6,171.4
"Household operations, furnishings and equipment",102.2,102.5,102.3,102.2,102.1,102.3,102.2,101.6,101.9,102,102.2,102.3,102.3,102.6,102.8,103,103,102.9,103.1,103.4,103.8,103.5,103.4,103.4,103.7,103.6,104,103.9,104.2,104.2,104.3,104.5,104.5,105.4,105.2,105.6,105.8,105.9,106.2,106.6,107.1,107.5,107.4,107.3,107.1,107.7,107.9,108.5,107.8,108.1,108.1,108.1,108.3,108.6,108.6,109.4,109.2,109.1,109.3,109.5,109.6,109.8,109.8,110.3,109.6,110.2,110.7,110.7,111.5,111.5,111.8,112.1,112.1,112.4,112.6,112.4,112.5,112.8,113,113,112.9,113.2,113.4,113.6,113.6,113.9,114.1,114.4,114.2,113.9,114,114.4,114.3,114.5,114.6,114.7,115.2,115.2,115.2,115.4,115.3,115.6,116.1,116.1,117.5,117.6,117.9,118.3,118.5,118.5,118.9,119.1,119.5,119.5,119.6,119.8,120.4,120.6,120.5,120,120.2,120.4,120.9,121.2,121.5,121.9,122.1,122.2,122.3,122,122,121.6,121.8,121.9,121.6,121.3,122,122.2,122.4,122,122,121.6,122.2,122.7,121.4,122.8,123.3,122.7,123.7,122.6,122.3,122.9,123,123.3,123.8,123.8,123.9,123.8,123.5,123.3,123.5,123.8,124,123.4,123.5,123.6,123.6,123.6,123.4,123.2,123.6,123.6,123.8,123.4,123.5,123.9,123.9,123.8,124,124.3,124.3,125,124.7,123.4,124.3,124.5,124.5,125.3,125.6,125.7,126.2,126.3,126.9,127.6,128.1,129.1,129.4,131.3,131.5,131.5,132,132.5,132.6,132.8,132.7,132.2,133.3,133.2,133.2,132.6,132.1
Clothing and footwear,97.1,96.2,95.7,96.5,95.6,96.4,95.6,94.9,95.8,96,95.9,96,95.1,96.4,95.7,95.6,97.3,95.9,94.6,96.1,95.7,95,95.2,95.4,95.5,94.4,94.5,94.2,93.5,92.8,94,94.8,94.3,94,92.7,92.9,92.7,94.2,94.4,94,94,93.4,92.5,93.3,92.9,92.9,92.8,93.9,93.5,92.8,91.9,92,92.6,92,92,91,91.3,90.6,91.6,91,91.5,91,90.5,91.6,90.9,92.3,92.2,92.1,92.1,93,92.9,92.3,91.9,92.6,93,92.3,92.9,91.9,91.7,91.3,90.9,91.3,91.6,91.8,92,91.3,92.4,92.9,92.4,92.5,92.4,92.4,92.8,91.8,91.2,91.4,92.2,92.5,92.1,91.9,92.8,93.2,93.7,93.6,93.1,93.6,94,94,93.9,94.3,94.3,94.5,94.3,93.9,93.9,94.7,95,94.9,94.9,95.4,94.2,93.9,93.2,94.3,94.3,94.9,95,94.2,94.5,95.1,94.8,94.2,94.3,94.1,93.9,93.9,92.4,93.6,93.3,94.1,94,93.1,93.4,94,94.5,94.5,94.2,93.9,94.5,94.3,94.9,94.7,94.7,94.5,94.7,94.6,94.6,95,95.6,95.4,95.5,95.7,95.7,95.7,95.8,96.9,96.9,97.1,97.3,97.9,98.4,98.7,92,90.5,92.7,93.7,94.4,93.6,93.3,94.1,93.7,93.8,93.7,93.6,94.1,93.9,93.7,94.3,94.1,94.1,94,94.8,94.5,95.1,94.9,94.6,94.6,95.8,96,95.4,95.4,95.5,95.8,95.2,96.1,95.8,96.6,96.9,96.8,96.4,96.3
Transportation,113.1,114.7,112.7,114.2,117.9,117.8,117.3,118.3,118,112.8,111.7,112.7,114.1,113.3,114.2,117.7,118.6,120.7,119.2,118.5,116.3,116.9,115.2,116.7,117.5,118.7,118.4,118,119.6,121.7,124,124,122.4,122.3,118.3,114.2,111.7,109.8,111.5,110.7,109.8,111.6,114.6,113,114.4,113.5,114.6,116.3,117,117.6,117.5,116.8,115.9,116,116.5,116.7,117.4,117.7,120.1,121.5,122.4,123.2,123.3,124.2,125.7,126.6,124.8,124.5,125.6,126.9,127.8,128.5,126.7,128.2,128.4,128.9,130.1,127.9,126.3,126,127.6,128.7,129.3,128.2,127.7,127.7,131.1,129,127.8,127.6,128.8,128.9,129,129.5,129.5,128.7,130.3,130.2,131.5,131.1,131.3,131,131.3,130.7,130.8,130.3,130.5,128.6,126.8,123.2,124.8,126.3,125.6,126.6,128.3,128.7,128,125.6,126.3,126.8,127.1,125.9,124.6,125.4,126.9,128,129,128.2,128.3,129,130.1,128.9,130.7,133.5,132.9,131.4,132.2,130.9,129.8,130.7,132,134,134,136.5,136.9,137.4,138.6,138.3,138,138.2,139.1,140.1,140.4,139.8,140.3,138.8,138.6,137.8,139.1,140.8,141.3,142.4,141.5,142.3,142.4,141.7,142.2,142.8,144.1,145,144.9,138.3,136.2,138.1,140.4,140.2,140.6,141.8,141.9,143.1,144.9,147.1,148.2,147.9,149,148.1,148,149.4,152.8,154.7,155.7,157.1,158.5,159.9,161.4,164.4,166,169.3,172.6,170.7,168.9,168.4,170.1,170.1,168.6,168.2,166.9,166.5,167.3,165.8,166.7
Health and personal care,105.4,105.4,105.5,105.7,105.7,105.8,105.9,105.7,105.6,106,106.2,106.4,106.4,106.6,106.7,106.6,106.7,107,107.5,107.5,107.6,107.6,107.7,107.7,107.9,107.8,107.9,108.3,108.3,108.3,108.3,108.4,109.3,109.2,109.3,109.9,110.1,110.6,110.7,110.9,111,111.9,112.5,112.5,112.2,113.5,113,113.4,113.4,114.1,114,113.7,114.4,114.3,114.5,115.8,116.1,116,116.2,116,116.1,116,116.2,116.7,116.9,116.9,116.7,116.9,117.3,117.5,117.6,117.8,118.3,118.2,118.5,118.6,118.5,118.6,118.7,118.6,119.6,118.5,118.8,118.7,118.8,118.6,118.6,118.6,118.3,118,118.2,118.1,118.1,118.4,118.1,118,118.2,118.3,118.4,118.4,118.6,118.9,118.8,119.1,119.2,119.3,119,119.8,119.8,120,120.1,119.8,119.9,120.4,120.4,120.7,120.4,120.7,120.8,121.5,121.3,121.5,121.5,121.7,121.9,122.1,122.1,122.1,122.5,122.6,122.8,122.9,123,123.4,123.4,123.7,123.9,124,124.2,124.6,124.7,124.6,125.1,124.4,125,125.2,125.6,126.3,125.9,126,126.2,126.1,126.4,126.3,126.3,125.1,126,126,126.4,126.7,126.8,127.3,127.7,127.9,127.5,127.8,127.8,128,128.3,128.8,128.9,128.9,128.4,128.4,128.3,128.6,129.4,129.8,130.1,130.4,130.4,130.4,130.7,130.9,132.1,132.3,132.6,133.2,133.1,133.6,133.8,133.9,133.8,134.3,134.8,135.4,136.5,137.1,137.8,138.4,139,139.5,140.2,141.2,142,142.7,143.4,144.2,145,145.7,146.2
"Recreation, education and reading",100.8,100.9,100.7,100.7,100.7,101,100.7,100.4,100.3,100.2,100.3,100.7,100.8,101.2,101.3,101.5,101.4,101.6,101.8,102,102,102,102,102.1,102,101.6,102,102,102.1,102.4,102.3,102.2,102.5,102.4,102.2,102,102,101.9,102.4,102.5,102.9,103.2,103.1,103.2,103.3,103.4,103.7,103.8,103.7,103.5,105.6,103.2,103.3,102.9,103.5,104,103.9,104,104.4,104.5,104.8,105.2,105.3,105.6,105.5,105.4,105.3,105.5,105.1,105.4,105.3,105,105,105,105.1,105.6,106,106.1,106,105.8,106.2,106,105.9,106.4,106.4,106.2,105.9,105.8,105.8,105.9,105.9,106.3,106.3,106.1,106.3,106.8,106.8,107.2,107.5,106.9,106.9,107.2,107.4,107.3,107.7,107.7,108,107.6,107.9,108,108.7,108.9,108.3,109.3,109.7,109.6,110.1,110.3,110.4,109.9,110.2,110.5,110.4,110.6,110.7,111,111,111.5,111.4,111.8,112.1,112.5,112.9,113.9,114,114.5,114.3,113.6,114.1,113.6,113.5,114.3,113.8,114.6,114.3,114.5,114.7,115.8,113.9,115.2,114.3,115.9,116,115.7,116.1,115.9,115.9,115.9,115.8,116,116.1,117.3,116.8,119.2,118.5,117,117.3,115.8,115.5,115.4,116.1,115.3,115.2,114.8,115.1,114.4,115.1,116,115.8,117.1,118.1,118.4,116.2,115.8,117,116.9,116.8,117.6,117.7,118.4,119.7,119.9,120.3,121.3,121.2,122.4,122.1,123.2,124,124.6,124.5,124.6,124.6,124.8,124.6,124.6,124.3,124.9,126,126.4,125.7
"Alcoholic beverages, tobacco products and recreational cannabis",119.9,120,120.5,121.5,121.9,121.8,121.8,121.5,121.8,122,122.2,122.3,123.2,124.2,124.2,124.1,124.5,125.2,125.7,126,126.1,126.6,126.3,126.5,126.2,126.4,126.8,126.6,126.7,127.4,127.7,127.6,127.5,128,128,128.5,128.7,129.2,129.2,129.7,129.7,131.2,131.6,131.5,131.4,131.3,131.4,131.3,131.2,131.1,131.4,131.5,131.8,132.1,132.2,134.5,134.4,134.4,134.5,134.6,134.6,135.2,135,134.8,135,135.7,135.6,136.1,136.1,135.9,135.8,135.8,135.8,136.3,136.6,137.5,137.7,137.7,137.5,137.6,137.9,137.7,137.8,138.3,138.3,138.9,139.4,139.8,140.1,141.1,140.9,140.5,140.4,140.9,141,141.1,141.2,141.1,143,145.2,145.1,145.8,146.5,147.1,148.2,148.5,149.2,149.5,149.6,150.1,150.5,150.6,151.4,151.5,151.9,152.1,152.3,152.8,152.9,154,154.2,154.9,155.4,156.1,156.4,156.3,156.3,156.9,157,157.5,158.1,158.3,158.8,159.2,159.4,159.5,159.9,160.2,160.8,161.5,161.7,162.3,162.4,162.8,163.1,163.6,164.4,166,167.5,167.6,168.5,168.8,169.4,169.6,169.8,170.1,170.3,170.9,171,170.9,171.1,171.3,170.9,170.8,171,170.9,171.4,172.1,170.9,171.5,171.3,171.4,171.7,171.7,171.8,171.9,171.7,172.2,172.6,172.3,172.4,172.6,173.2,173.5,174,174.8,175.2,174.9,176,176.1,176.3,176.8,176.7,178.2,178.5,179.2,179.4,179.9,180.4,181.5,182.2,182.7,183.7,184.7,185.2,186.5,187.4,188.7,189.1,189.7,190.3
All-items excluding food,108.2,108.2,108,108.7,109.5,109.9,109.6,109.7,109.9,109.3,108.9,109.1,109.3,109.1,109.7,110.9,111.4,112,111.8,111.9,111.7,112.1,111.8,112,112,112.5,112.6,112.9,113.4,114.1,114.9,115.2,115,115,113.9,113.1,112.6,112.3,112.8,112.5,112.1,112.6,113.3,112.7,113.1,113.1,113.4,114.1,114.1,114.5,114.6,114.2,114.3,114.4,114.6,115.1,115.2,115.3,116.1,116.5,117,117.2,117,117.6,118,118.4,118,118.2,118.5,118.9,119.1,119.3,119.2,119.6,119.7,119.8,120.1,119.8,119.6,119.4,119.8,120,120.3,120.2,120.1,120.2,121.1,120.8,120.4,120.5,120.8,121,121,121.2,121,121.3,121.9,122.1,122.6,122.7,123,123.2,123.3,123.3,123.5,123.6,123.7,123.4,123.2,122.5,123.1,123.5,123.3,123.7,124.1,124.5,124.5,124.2,124.3,124.4,124.5,124.4,124.1,124.5,125,125.5,125.9,125.9,126,126.3,126.7,126.5,127.1,128,127.8,127.4,127.8,127.4,127.3,127.5,127.9,128.2,128.4,129.3,129.5,129.9,130.5,130.5,130.6,130.7,130.8,131.4,131.6,131.4,131.8,131.5,131.7,131.6,132,132.5,132.9,133.3,133.3,133.6,133.6,133.6,133.9,133.9,134.3,134.6,134.9,133.4,132.1,132,133.1,133.1,133.6,134,134.2,134.9,135.4,136.1,136.2,136.4,137.2,137.3,137.6,138.5,139.5,140.1,140.8,141.3,141.9,142.9,143.6,145.2,146,147.6,148.5,148.7,148.4,148.7,149.6,150,149.8,149.9,150.1,150.4,151,151.1,151.2
