Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,132400,132400,129700,141000
2005-02-01,100.2,100.2,99.4,101.8,132600,132600,128900,143600
2005-03-01,100.2,100.2,98.8,102.9,132600,132600,128100,145100
2005-04-01,100.4,100.4,98.3,104.5,132900,132900,127500,147400
2005-05-01,100.6,100.6,97.8,106.6,133200,133200,126900,150300
2005-06-01,100.8,100.8,97.5,108.9,133500,133500,126400,153500
2005-07-01,102.3,102.3,97.7,114.3,135500,135500,126700,161200
2005-08-01,104.0,104.0,98.1,120.0,137700,137700,127200,169200
2005-09-01,105.8,105.8,98.5,125.9,140100,140100,127800,177500
2005-10-01,107.5,107.5,98.8,131.7,142300,142300,128200,185700
2005-11-01,109.3,109.3,99.2,137.6,144700,144700,128600,194000
2005-12-01,111.0,111.0,99.5,145.0,146900,146900,129100,204400
2006-01-01,111.9,111.9,101.6,140.1,148200,148200,131800,197500
2006-02-01,112.9,112.9,103.9,137.5,149500,149500,134700,193900
2006-03-01,113.7,113.7,106.1,133.6,150500,150500,137600,188400
2006-04-01,114.9,114.9,108.6,130.5,152100,152100,140900,184000
2006-05-01,115.9,115.9,111.3,127.5,153500,153500,144300,179800
2006-06-01,117.0,117.0,113.8,124.5,154900,154900,147600,175500
2006-07-01,117.1,117.1,114.9,123.1,155100,155100,149000,173600
2006-08-01,117.4,117.4,115.8,121.6,155500,155500,150200,171500
2006-09-01,117.8,117.8,117.0,120.3,156000,156000,151700,169600
2006-10-01,118.1,118.1,117.8,119.1,156300,156300,152800,168000
2006-11-01,118.5,118.5,118.9,118.3,156900,156900,154200,166800
2006-12-01,118.7,118.7,119.8,117.7,157100,157100,155400,166000
2007-01-01,118.5,118.5,118.8,116.8,156900,156900,154100,164700
2007-02-01,118.0,118.0,117.9,117.5,156200,156200,152900,165700
2007-03-01,117.2,117.2,117.2,116.1,155200,155200,152000,163700
2007-04-01,117.4,117.4,116.9,117.6,155500,155500,151600,165800
2007-05-01,116.7,116.7,116.0,116.2,154500,154500,150400,163900
2007-06-01,116.3,116.3,116.0,116.4,154000,154000,150400,164100
2007-07-01,117.1,117.1,116.3,118.6,155000,155000,150900,167200
2007-08-01,117.8,117.8,117.1,118.8,156000,156000,151900,167500
2007-09-01,118.4,118.4,117.7,120.2,156800,156800,152600,169500
2007-10-01,119.3,119.3,118.6,121.8,157900,157900,153800,171800
2007-11-01,120.1,120.1,119.3,124.0,159000,159000,154700,174900
2007-12-01,120.7,120.7,119.9,124.8,159800,159800,155500,175900
2008-01-01,121.9,121.9,119.8,127.0,161400,161400,155400,179000
2008-02-01,121.5,121.5,119.2,127.9,160900,160900,154600,180400
2008-03-01,122.7,122.7,119.3,130.8,162400,162400,154700,184400
2008-04-01,125.0,125.0,120.1,136.5,165500,165500,155800,192500
2008-05-01,123.5,123.5,118.4,133.4,163500,163500,153500,188100
2008-06-01,124.5,124.5,119.0,137.4,164900,164900,154400,193700
2008-07-01,124.3,124.3,117.0,140.0,164600,164600,151800,197400
2008-08-01,123.2,123.2,116.1,139.3,163100,163100,150600,196400
2008-09-01,121.7,121.7,113.6,142.3,161100,161100,147300,200600
2008-10-01,121.1,121.1,113.0,144.1,160400,160400,146500,203200
2008-11-01,119.9,119.9,111.2,145.5,158800,158800,144200,205100
2008-12-01,119.4,119.4,110.4,144.5,158100,158100,143200,203700
