Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,100.0,209500,217500,212500,222400,140600,161600
2005-02-01,99.6,99.5,98.3,100.1,99.9,100.6,208700,216500,208900,222700,140400,162500
2005-03-01,100.1,100.1,99.6,100.3,99.6,101.1,209700,217700,211700,223000,140000,163300
2005-04-01,100.4,100.5,100.3,100.7,99.1,101.1,210400,218600,213100,224000,139300,163300
2005-05-01,100.9,101.0,100.5,101.0,98.6,101.1,211400,219700,213500,224600,138600,163300
2005-06-01,101.1,101.1,100.3,101.0,98.2,101.1,211700,220000,213100,224700,138000,163300
2005-07-01,102.3,102.5,102.4,102.2,99.7,100.9,214300,222900,217500,227200,140200,163100
2005-08-01,102.7,102.9,102.1,103.0,101.0,100.7,215200,223700,216900,229100,142000,162800
2005-09-01,103.6,103.7,102.9,103.7,102.3,100.4,217000,225600,218600,230700,143900,162300
2005-10-01,104.5,104.6,104.0,104.5,103.2,102.6,218900,227600,221000,232400,145100,165800
2005-11-01,105.3,105.4,104.8,105.2,104.1,104.6,220600,229300,222800,233900,146400,169100
2005-12-01,106.9,107.0,108.7,106.0,105.0,107.0,223900,232700,231000,235700,147600,172900
2006-01-01,106.3,106.3,106.3,106.0,105.7,106.6,222600,231200,225900,235800,148600,172200
2006-02-01,106.6,106.6,106.6,106.4,106.3,106.5,223300,231900,226500,236700,149500,172100
2006-03-01,107.1,107.1,107.4,106.6,107.0,106.3,224300,232900,228200,237000,150400,171800
2006-04-01,107.6,107.6,108.5,106.7,107.9,106.6,225400,234100,230600,237400,151700,172300
2006-05-01,107.4,107.3,107.0,107.0,108.8,106.7,224900,233400,227300,238000,153000,172500
2006-06-01,107.7,107.7,107.3,107.1,109.7,107.1,225700,234200,228100,238300,154300,173000
2006-07-01,107.6,107.5,106.7,107.4,109.9,107.5,225400,233800,226800,238900,154500,173800
2006-08-01,108.0,107.9,107.5,107.7,110.0,108.0,226200,234600,228400,239500,154700,174600
2006-09-01,108.3,108.2,107.6,108.2,110.1,108.4,226900,235300,228700,240600,154800,175100
2006-10-01,108.2,108.0,107.3,108.0,110.4,109.8,226700,235000,228000,240300,155200,177500
2006-11-01,108.1,107.8,106.7,108.0,110.9,111.2,226400,234500,226800,240200,155900,179700
2006-12-01,109.1,108.8,109.7,108.1,111.5,112.8,228500,236700,233100,240500,156700,182300
2007-01-01,109.5,109.2,109.3,108.8,111.7,112.9,229300,237600,232300,241900,157100,182400
2007-02-01,110.0,109.8,110.5,109.1,111.9,113.1,230400,238800,234800,242700,157300,182800
2007-03-01,110.2,110.0,109.7,109.8,112.2,113.2,230800,239200,233100,244300,157700,182900
2007-04-01,110.4,110.2,109.6,110.0,112.7,114.4,231300,239600,232900,244700,158500,184800
2007-05-01,110.9,110.7,110.4,110.4,113.5,115.4,232400,240700,234500,245500,159600,186500
2007-06-01,111.4,111.1,110.8,110.8,114.2,116.8,233400,241700,235400,246500,160600,188700
2007-07-01,112.0,111.7,111.4,111.2,114.8,116.5,234600,243000,236800,247300,161400,188200
2007-08-01,113.1,112.9,114.0,111.6,115.4,116.2,236900,245500,242200,248100,162200,187700
2007-09-01,113.3,113.1,114.3,111.8,115.6,115.5,237300,245900,242800,248600,162600,186600
2007-10-01,113.7,113.4,113.7,112.6,116.4,116.5,238100,246600,241700,250500,163700,188300
2007-11-01,115.0,114.8,115.8,113.6,117.1,117.5,240900,249700,246100,252600,164700,189800
