Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,100.0,165600,170300,181500,159500,135100,109100
2005-02-01,99.8,99.6,99.3,100.4,99.9,100.1,165300,169700,180200,160200,134900,109200
2005-03-01,100.4,100.2,99.6,101.3,99.7,100.3,166200,170600,180800,161500,134700,109400
2005-04-01,98.9,98.6,99.6,98.4,99.6,100.4,163800,168000,180700,157000,134600,109500
2005-05-01,100.4,100.1,100.7,100.2,99.5,100.5,166200,170500,182700,159800,134400,109600
2005-06-01,101.0,100.8,100.4,102.1,99.4,100.6,167200,171700,182200,162800,134300,109800
2005-07-01,101.4,101.3,101.7,101.4,99.6,100.7,167900,172500,184600,161800,134500,109900
2005-08-01,101.1,101.1,101.9,100.6,99.6,100.9,167500,172100,184900,160400,134600,110100
2005-09-01,102.9,102.9,104.2,102.2,99.6,101.0,170400,175300,189200,163000,134600,110200
2005-10-01,103.0,103.0,103.5,102.6,99.8,101.2,170500,175400,187900,163700,134800,110400
2005-11-01,99.0,98.8,101.5,98.3,99.9,101.3,163900,168200,184200,156800,135000,110500
2005-12-01,104.7,105.0,106.9,103.6,99.9,101.4,173400,178900,194100,165200,135000,110600
2006-01-01,103.3,103.4,104.5,102.3,101.7,102.5,171100,176100,189600,163100,137400,111800
2006-02-01,107.6,107.8,104.9,111.0,103.1,103.6,178200,183600,190400,177100,139300,113000
2006-03-01,107.9,108.0,106.7,109.8,104.4,104.7,178700,183900,193600,175100,141100,114200
2006-04-01,110.0,110.1,109.5,111.3,105.9,105.9,182200,187500,198800,177600,143100,115500
2006-05-01,112.7,112.8,110.1,116.2,107.3,107.0,186600,192100,199800,185400,145000,116700
2006-06-01,111.4,111.3,110.0,113.8,108.8,108.2,184400,189600,199700,181500,147000,118000
2006-07-01,110.4,110.3,109.0,112.4,109.1,108.8,182900,187800,197800,179200,147400,118700
2006-08-01,110.3,110.2,110.4,110.3,109.3,109.5,182600,187600,200400,175900,147600,119500
2006-09-01,109.7,109.5,109.4,110.2,109.3,110.3,181600,186500,198600,175800,147700,120300
2006-10-01,112.6,112.6,109.0,116.4,109.6,111.0,186400,191700,197800,185700,148100,121100
2006-11-01,112.6,112.6,112.7,114.9,110.0,111.7,186500,191800,204600,183300,148600,121900
2006-12-01,112.2,112.3,107.1,118.0,110.1,112.6,185800,191200,194300,188200,148800,122800
2007-01-01,112.1,112.0,109.5,114.6,111.2,113.0,185600,190800,198700,182800,150200,123300
2007-02-01,111.7,111.5,110.5,112.8,112.3,113.5,184900,189800,200500,179900,151700,123800
2007-03-01,113.7,113.6,112.5,115.3,112.8,114.0,188300,193400,204100,183900,152400,124400
2007-04-01,113.2,112.9,109.4,117.1,113.7,114.5,187500,192300,198500,186800,153600,124900
2007-05-01,112.9,112.5,111.1,114.8,114.4,115.0,187000,191600,201600,183100,154600,125500
2007-06-01,114.7,114.4,113.3,116.7,115.4,115.5,189900,194800,205700,186100,155900,126000
2007-07-01,116.3,116.1,113.7,119.2,116.0,117.0,192600,197700,206400,190100,156700,127700
2007-08-01,117.3,117.1,113.8,120.8,116.4,118.6,194300,199500,206500,192700,157200,129400
2007-09-01,117.1,116.9,113.0,121.4,116.8,120.2,194000,199000,205100,193700,157800,131100
2007-10-01,116.2,115.8,113.5,118.4,117.6,121.7,192400,197200,206000,188900,158900,132800
2007-11-01,118.3,118.0,115.5,122.8,118.4,123.4,195900,201000,209700,195800,159900,134600
2007-12-01,114.9,114.4,110.6,118.7,118.8,125.0,190300,194800,200800,189400,160500,136400
2008-01-01,122.8,123.0,116.7,129.5,119.6,124.1,203400,209500,211800,206500,161600,135400
2008-02-01,120.4,120.4,116.5,124.6,121.1,123.6,199400,205000,211500,198800,163600,134800
2008-03-01,119.3,119.1,116.0,123.1,123.2,122.7,197500,202800,210500,196300,166500,133900
2008-04-01,119.2,119.0,117.0,122.0,124.9,121.9,197400,202600,212300,194600,168800,133000
2008-05-01,119.3,119.1,119.0,121.0,126.9,121.4,197600,202900,215900,193000,171400,132400
2008-06-01,119.4,119.3,116.4,123.9,127.0,120.2,197800,203100,211300,197700,171600,131100
2008-07-01,119.9,119.8,118.4,123.0,128.1,119.7,198500,204000,214900,196200,173100,130600
2008-08-01,121.5,121.7,118.6,126.3,128.7,119.9,201200,207300,215300,201400,173900,130800
2008-09-01,118.2,118.2,116.0,122.3,130.3,120.1,195800,201300,210500,195000,176000,131000
2008-10-01,117.8,117.8,119.0,119.4,130.3,119.7,195100,200600,215900,190400,176000,130600
2008-11-01,118.2,118.4,114.6,125.0,130.9,119.5,195800,201600,208000,199300,176900,130400
2008-12-01,115.0,114.7,115.8,116.6,132.1,119.4,190400,195300,210200,185900,178500,130300
2009-01-01,115.8,115.7,112.2,120.9,130.0,118.6,191800,197100,203700,192900,175600,129400
2009-02-01,112.6,112.3,113.0,114.7,128.8,117.7,186400,191200,205100,183000,174000,128400
2009-03-01,113.9,114.1,115.7,116.4,127.1,116.3,188700,194300,210000,185700,171700,126900
2009-04-01,114.2,114.7,113.8,118.4,124.2,115.2,189100,195300,206500,188800,167800,125700
2009-05-01,112.3,112.9,112.2,116.4,119.9,114.4,186000,192200,203600,185700,162000,124800
2009-06-01,111.4,112.0,113.3,114.7,119.1,113.2,184400,190700,205700,183000,160900,123500
2009-07-01,112.0,112.7,112.8,116.1,118.5,112.8,185500,191900,204700,185100,160100,123100
2009-08-01,112.3,112.9,113.5,116.1,118.9,112.6,186000,192300,206000,185200,160700,122900
2009-09-01,115.5,116.5,114.7,121.3,119.3,112.7,191300,198400,208200,193500,161200,123000
2009-10-01,114.9,115.7,115.4,119.6,120.4,112.6,190300,197100,209500,190800,162700,122900
2009-11-01,116.7,118.0,116.7,123.2,119.0,112.0,193300,200900,211800,196500,160800,122200
2009-12-01,119.3,120.9,120.1,124.9,119.4,111.8,197600,205900,218000,199200,161300,122000
2010-01-01,117.7,118.5,119.9,121.2,122.7,114.8,194900,201800,217600,193300,165800,125300
2010-02-01,116.9,117.9,119.1,120.8,120.1,113.7,193600,200800,216200,192700,162300,124100
2010-03-01,115.2,115.8,116.1,119.3,121.8,116.8,190700,197200,210800,190300,164500,127400
2010-04-01,119.4,120.5,118.8,125.0,123.7,118.1,197700,205200,215600,199400,167100,128800
