Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,100.0,319100,367000,311300,386000,212000,194400
2005-02-01,100.3,100.4,100.6,100.3,100.2,100.3,319900,368300,313300,387000,212400,194900
2005-03-01,100.8,100.9,100.8,100.9,100.7,100.9,321600,370300,313800,389400,213400,196200
2005-04-01,101.2,101.3,101.7,101.1,100.8,101.2,322800,371800,316600,390400,213800,196800
2005-05-01,101.8,101.9,101.8,101.8,101.3,102.1,324700,373800,316900,392900,214800,198500
2005-06-01,102.4,102.5,102.1,102.4,101.7,102.9,326700,376100,317900,395400,215500,200000
2005-07-01,102.9,103.1,102.5,103.1,102.1,102.8,328300,378300,319200,397800,216400,199900
2005-08-01,103.5,103.7,103.8,103.5,102.5,103.3,330300,380700,323000,399700,217300,200900
2005-09-01,103.6,103.8,103.6,103.6,102.9,103.9,330700,380900,322600,399900,218200,201900
2005-10-01,104.5,104.7,104.7,104.5,103.7,104.0,333400,384300,326000,403400,219800,202200
2005-11-01,105.0,105.2,105.3,104.9,103.9,104.8,335100,386000,327700,405100,220300,203700
2005-12-01,105.4,105.4,105.2,105.2,104.8,105.7,336200,386900,327600,406200,222200,205500
2006-01-01,106.1,106.3,106.5,106.0,105.1,105.9,338700,390000,331500,409000,222900,205800
2006-02-01,106.6,106.6,106.8,106.4,105.8,107.0,340100,391400,332400,410600,224400,208100
2006-03-01,107.2,107.4,107.9,107.0,106.0,106.8,342000,394000,335800,412900,224700,207600
2006-04-01,107.7,107.9,108.2,107.5,106.7,107.4,343700,396000,336900,415100,226100,208700
2006-05-01,108.1,108.3,109.1,107.8,106.9,107.7,344800,397400,339500,416100,226600,209400
2006-06-01,108.1,108.4,108.7,108.0,107.5,107.7,345100,397700,338500,416700,227900,209300
2006-07-01,108.2,108.3,108.7,107.9,107.6,108.5,345200,397500,338300,416400,228200,210900
