Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,100.0,177000,179100,176400,182900,119300,98400
2005-02-01,100.6,100.7,100.9,100.2,101.2,100.8,178100,180300,178000,183200,120700,99200
2005-03-01,101.2,101.2,101.5,100.2,102.4,101.7,179100,181300,179100,183300,122200,100100
2005-04-01,101.2,101.2,101.8,100.0,103.6,102.5,179100,181200,179600,182900,123600,100900
2005-05-01,100.9,100.8,101.8,99.3,104.9,103.4,178600,180600,179600,181600,125100,101700
2005-06-01,100.5,100.4,101.7,98.4,106.1,104.2,177900,179900,179400,180000,126600,102500
2005-07-01,100.2,100.1,101.2,98.6,107.4,105.1,177400,179200,178600,180300,128100,103400
2005-08-01,100.1,99.9,100.8,98.8,108.7,105.9,177100,178900,177800,180700,129700,104200
2005-09-01,99.8,99.7,99.8,98.5,110.0,106.7,176700,178600,176100,180100,131200,105000
2005-10-01,100.6,100.4,102.2,98.1,111.3,107.6,178100,179800,180200,179400,132800,105900
2005-11-01,101.2,101.1,104.3,97.2,112.7,108.5,179200,181000,183900,177700,134400,106800
2005-12-01,102.1,102.0,106.3,97.2,114.0,109.3,180800,182700,187600,177800,136000,107600
2006-01-01,104.3,104.1,107.5,100.2,117.9,110.0,184600,186500,189700,183200,140600,108200
2006-02-01,106.6,106.3,108.6,103.6,121.8,110.6,188600,190300,191500,189400,145300,108800
2006-03-01,108.7,108.4,109.5,107.0,125.9,111.3,192400,194200,193100,195700,150200,109500
2006-04-01,108.9,108.6,109.4,107.1,130.2,111.9,192700,194500,193000,195900,155300,110100
2006-05-01,108.8,108.4,109.2,106.9,134.5,112.5,192500,194100,192700,195500,160500,110700
2006-06-01,108.6,108.3,109.0,106.7,139.1,113.1,192300,193900,192300,195100,165900,111300
2006-07-01,109.5,109.1,110.5,107.2,140.7,115.2,193900,195400,195000,196000,167800,113400
2006-08-01,110.6,110.1,112.0,107.6,142.2,117.4,195700,197200,197600,196800,169600,115500
2006-09-01,111.5,111.0,113.2,107.5,143.8,119.6,197400,198800,199600,196600,171500,117700
2006-10-01,111.0,110.5,113.6,106.6,145.4,121.8,196400,197900,200400,194900,173500,119900
2006-11-01,110.4,109.8,113.8,105.0,147.0,124.1,195400,196700,200700,192100,175400,122100
2006-12-01,110.0,109.4,114.0,104.3,148.7,126.4,194700,196000,201100,190800,177400,124400
2007-01-01,111.1,110.4,115.0,105.1,150.9,125.9,196600,197800,202900,192300,180000,123900
2007-02-01,112.3,111.7,115.8,106.8,153.1,125.3,198700,200000,204200,195300,182600,123300
2007-03-01,113.3,112.7,116.4,108.5,155.3,124.8,200600,201800,205300,198400,185300,122800
2007-04-01,115.5,114.9,117.9,111.0,157.6,124.3,204400,205700,207900,203100,188000,122300
2007-05-01,117.0,116.4,119.1,113.0,159.9,123.8,207100,208500,210100,206700,190800,121800
2007-06-01,118.9,118.3,120.4,115.2,162.3,123.3,210400,211800,212400,210700,193600,121300
2007-07-01,118.1,117.5,120.4,113.9,161.3,122.5,209000,210400,212400,208400,192400,120500
2007-08-01,117.6,117.0,120.2,113.0,160.4,121.7,208100,209500,212100,206700,191300,119800
2007-09-01,116.9,116.4,119.9,111.5,159.4,121.0,207000,208500,211500,203900,190200,119100
2007-10-01,119.2,118.7,120.3,116.4,158.5,120.2,211000,212600,212200,212900,189100,118300
2007-11-01,121.5,121.0,120.7,121.0,157.6,119.5,215100,216800,212900,221300,188000,117600
2007-12-01,124.1,123.7,121.3,126.4,156.7,118.8,219700,221600,213900,231100,186900,116900
2008-01-01,123.3,122.9,122.8,122.5,154.9,118.4,218300,220100,216700,224100,184800,116500
2008-02-01,122.4,122.1,123.6,119.8,153.1,118.0,216700,218600,218100,219100,182700,116100
2008-03-01,120.8,120.4,124.3,116.2,150.9,117.7,213900,215600,219300,212500,180000,115800
2008-04-01,121.9,121.5,123.9,118.3,149.2,117.3,215700,217600,218600,216400,178000,115400
2008-05-01,121.7,121.4,123.1,119.1,148.1,116.8,215400,217500,217100,217900,176700,114900
2008-06-01,121.6,121.3,122.1,119.9,147.0,116.4,215200,217300,215300,219300,175400,114500
2008-07-01,121.5,121.2,122.4,119.4,147.4,119.3,215100,217100,216000,218400,175800,117400
2008-08-01,122.0,121.7,122.7,120.1,148.7,122.0,216000,218000,216400,219700,177400,120000
2008-09-01,122.4,122.1,122.6,120.5,149.0,125.4,216700,218600,216200,220400,177800,123400
2008-10-01,122.3,121.8,122.0,121.0,150.4,128.6,216400,218200,215200,221400,179400,126500
2008-11-01,122.3,121.8,121.8,121.6,151.1,132.1,216500,218200,214900,222400,180300,130000
2008-12-01,122.7,122.2,122.1,121.9,152.0,135.8,217200,218900,215300,223000,181300,133600
2009-01-01,120.9,120.4,121.9,117.8,150.5,133.4,214000,215600,215100,215500,179600,131300
2009-02-01,118.7,118.1,120.4,115.5,149.1,130.8,210100,211600,212400,211300,177900,128700
2009-03-01,116.2,115.6,118.5,112.5,147.8,128.6,205700,207100,209000,205700,176300,126500
2009-04-01,117.5,117.1,119.3,114.5,146.8,127.5,208000,209800,210400,209500,175100,125500
2009-05-01,117.6,117.3,119.3,114.9,145.9,125.5,208200,210100,210500,210100,174000,123500
2009-06-01,118.1,117.9,120.0,115.0,144.3,123.3,209100,211100,211700,210400,172200,121300
2009-07-01,119.2,119.0,120.1,117.4,143.8,122.3,210900,213200,211800,214700,171600,120300
2009-08-01,121.2,121.2,120.7,121.2,143.7,121.1,214500,217000,213000,221700,171400,119200
2009-09-01,122.5,122.6,120.6,124.3,143.5,120.2,216900,219600,212700,227300,171200,118300
2009-10-01,122.1,122.2,121.9,122.2,142.8,119.3,216200,218900,215000,223500,170400,117400
2009-11-01,122.0,122.1,124.0,119.6,142.6,118.1,215900,218700,218800,218700,170100,116200
2009-12-01,122.0,122.2,126.4,116.2,142.4,117.2,216000,218800,223000,212600,169900,115300
2010-01-01,122.7,122.9,125.1,119.3,139.1,113.7,217200,220200,220600,218200,166000,111900
2010-02-01,123.8,123.9,124.7,123.5,144.8,118.6,219100,221900,220000,225800,172800,116700
2010-03-01,124.7,124.7,125.3,124.2,146.8,123.7,220800,223400,221100,227100,175100,121700
2010-04-01,124.6,124.6,127.2,121.7,153.6,122.3,220600,223100,224400,222600,183200,120300
2010-05-01,126.6,126.4,128.9,123.3,179.8,131.2,224100,226300,227400,225500,214500,129100
2010-06-01,127.3,127.0,131.0,122.1,182.6,130.8,225400,227500,231100,223300,217800,128700
2010-07-01,128.6,128.5,130.4,125.8,180.3,122.7,227600,230100,230100,230100,215100,120700
2010-08-01,128.1,128.1,132.3,122.5,178.9,118.4,226800,229400,233400,224100,213400,116500
2010-09-01,125.4,125.3,127.8,121.7,173.4,116.6,221900,224400,225400,222500,206900,114700
2010-10-01,126.9,126.9,131.2,121.2,181.6,110.1,224700,227200,231400,221600,216700,108300
