Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,100.0,241500,258100,251900,261500,167500,165200
2005-02-01,100.4,100.4,100.4,100.4,99.8,100.5,242400,259200,252800,262500,167100,166000
2005-03-01,100.4,100.5,100.8,100.3,99.6,101.0,242500,259500,254000,262200,166800,166900
2005-04-01,101.3,101.5,101.9,101.0,99.9,101.5,244700,261900,256700,264100,167400,167700
2005-05-01,102.2,102.4,103.3,101.7,100.4,102.0,246900,264300,260300,266000,168100,168500
2005-06-01,101.8,101.8,101.0,101.9,100.8,102.5,245900,262700,254500,266500,168900,169400
2005-07-01,102.6,102.6,102.3,102.6,101.4,103.6,247800,264900,257600,268400,169900,171200
2005-08-01,102.7,102.7,100.0,103.7,102.0,104.8,248000,265100,252000,271300,170900,173100
2005-09-01,103.0,103.0,100.1,103.9,102.6,105.9,248800,265900,252100,271800,171900,175000
2005-10-01,103.1,103.1,102.5,103.3,103.3,104.0,249100,266200,258200,270200,173100,171800
2005-11-01,103.5,103.5,102.1,103.7,104.1,102.1,249900,267200,257300,271300,174300,168600
2005-12-01,104.9,105.1,102.7,106.1,104.7,100.1,253300,271300,258700,277400,175400,165400
2006-01-01,104.7,104.8,102.8,105.7,105.1,102.4,252900,270600,258900,276400,176100,169100
2006-02-01,105.7,105.8,103.0,106.9,105.6,104.6,255200,273100,259400,279600,176800,172800
2006-03-01,105.4,105.3,101.9,106.7,106.0,106.9,254600,271800,256700,279000,177600,176600
2006-04-01,106.0,105.9,103.6,106.7,106.4,104.8,255900,273400,260900,279100,178300,173200
2006-05-01,105.5,105.5,104.0,105.9,106.9,102.8,254900,272300,262100,276800,179100,169900
2006-06-01,106.4,106.5,106.0,106.5,107.4,100.8,257000,274900,267100,278500,179900,166600
2006-07-01,106.2,106.2,104.7,106.7,107.6,101.9,256500,274100,263700,279100,180200,168400
2006-08-01,107.0,107.1,106.4,107.4,107.7,103.1,258400,276500,268000,280800,180400,170300
2006-09-01,107.5,107.7,105.8,108.1,107.9,104.2,259600,277900,266500,282600,180700,172100
2006-10-01,107.9,108.2,104.0,110.0,107.6,103.4,260600,279300,262000,287600,180300,170800
2006-11-01,108.2,108.5,104.7,109.8,107.5,102.7,261300,280100,263800,287200,180100,169600
2006-12-01,108.2,108.5,106.6,109.3,107.2,101.9,261300,280100,268600,285800,179600,168400
2007-01-01,108.7,109.1,106.1,110.4,107.9,101.6,262500,281700,267200,288700,180700,167900
2007-02-01,108.7,109.1,107.5,109.7,108.4,101.3,262600,281600,270700,286900,181600,167400
2007-03-01,109.2,109.6,107.9,110.3,109.1,101.0,263800,283000,271800,288500,182700,166900
2007-04-01,109.5,109.8,108.3,110.3,109.6,101.5,264400,283500,272800,288400,183600,167700
2007-05-01,110.8,111.2,108.7,112.0,110.2,101.9,267500,287000,273700,293000,184600,168400
2007-06-01,111.3,111.7,109.0,112.7,110.9,102.4,268800,288400,274600,294800,185700,169200
2007-07-01,111.1,111.4,108.9,112.2,111.9,104.1,268300,287400,274200,293500,187500,171900
2007-08-01,112.0,112.1,111.1,112.7,113.0,105.8,270400,289400,279900,294700,189200,174700
2007-09-01,113.0,113.3,112.3,113.0,114.3,107.4,272900,292400,283000,295500,191400,177500
2007-10-01,112.5,112.7,111.2,113.3,114.5,106.5,271800,291000,280000,296400,191800,175900
2007-11-01,114.4,114.8,113.7,115.0,114.9,105.4,276300,296300,286300,300600,192500,174200
2007-12-01,113.7,114.1,111.1,115.3,115.2,104.5,274700,294400,279800,301600,192900,172600
2008-01-01,114.5,114.9,114.7,114.7,115.7,104.8,276600,296500,289000,300000,193800,173100
2008-02-01,115.0,115.4,114.5,115.6,116.1,104.8,277800,297900,288300,302400,194500,173200
2008-03-01,116.4,117.1,119.3,116.0,116.6,105.4,281100,302300,300400,303400,195300,174100
2008-04-01,116.1,116.8,116.9,116.4,117.0,106.4,280400,301400,294500,304500,196000,175800
2008-05-01,115.6,116.3,115.2,116.4,117.7,106.2,279200,300100,290300,304400,197100,175500
2008-06-01,115.6,116.1,114.9,116.3,118.3,106.5,279200,299700,289400,304200,198100,175900
2008-07-01,116.9,117.5,116.3,117.8,118.9,107.3,282200,303300,292900,308000,199200,177300
2008-08-01,116.4,116.9,115.0,117.8,119.4,108.2,281100,301600,289800,308100,200000,178800
2008-09-01,115.6,116.0,109.9,118.0,120.1,109.6,279200,299400,276800,308600,201200,181100
2008-10-01,116.2,116.9,114.5,117.7,119.3,108.1,280700,301600,288500,307800,199800,178500
2008-11-01,115.4,116.0,114.1,116.4,118.4,106.7,278800,299400,287400,304400,198300,176300
2008-12-01,115.0,115.6,116.8,115.1,117.6,105.9,277700,298300,294200,300900,196900,174900
2009-01-01,114.7,115.2,113.0,115.8,117.5,105.9,276900,297300,284700,302900,196800,174900
2009-02-01,114.2,114.7,111.4,115.8,116.9,105.4,275700,296000,280500,302900,195800,174100
2009-03-01,113.0,113.4,108.9,115.1,116.8,105.4,273000,292700,274400,301100,195600,174100
2009-04-01,113.9,114.5,110.5,115.8,117.0,104.5,275000,295400,278400,302900,196000,172600
2009-05-01,114.7,115.4,113.3,116.1,117.4,103.5,277100,297900,285400,303500,196600,171000
2009-06-01,114.8,115.5,113.3,116.2,117.3,103.0,277200,298100,285500,303800,196400,170200
2009-07-01,115.3,116.0,114.2,116.6,117.5,104.1,278500,299500,287700,304800,196800,171900
2009-08-01,116.2,117.0,114.5,118.4,118.0,104.8,280600,302000,288300,309600,197600,173100
2009-09-01,116.3,116.9,116.3,116.5,118.9,105.6,280800,301800,292900,304600,199100,174400
2009-10-01,118.1,118.8,119.8,118.2,121.1,106.1,285200,306500,301700,309100,202800,175300
2009-11-01,119.5,120.3,119.6,120.2,123.2,105.7,288600,310400,301300,314200,206300,174600
2009-12-01,120.7,121.4,119.7,122.2,125.4,105.4,291400,313300,301600,319600,210100,174200
