Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,100.0,224200,233500,218000,239700,173800,157700
2005-02-01,99.4,99.4,99.2,99.4,99.5,100.4,222800,232100,216200,238300,172900,158300
2005-03-01,100.4,100.3,100.5,100.2,101.3,100.8,225000,234300,219100,240100,176000,159000
2005-04-01,101.0,101.0,100.1,101.2,101.0,101.2,226400,235800,218200,242600,175500,159600
2005-05-01,100.4,100.3,99.8,100.4,101.0,101.6,225000,234300,217500,240700,175500,160300
2005-06-01,101.2,101.3,99.8,101.8,100.9,102.1,227000,236600,217500,244000,175400,161000
2005-07-01,101.8,101.9,101.2,102.0,101.7,101.4,228200,237900,220600,244500,176800,159900
2005-08-01,102.1,102.2,102.3,102.1,102.8,100.7,228900,238700,223100,244800,178600,158800
2005-09-01,102.2,102.4,101.1,102.7,102.0,100.0,229200,239000,220500,246100,177300,157700
2005-10-01,103.5,103.7,102.8,104.1,103.6,100.8,232000,242200,224100,249500,180100,158900
2005-11-01,104.1,104.1,104.1,104.0,105.1,101.6,233400,243100,226900,249200,182600,160200
2005-12-01,104.9,104.8,104.4,104.9,104.7,102.4,235100,244800,227700,251400,181900,161500
2006-01-01,105.8,105.9,103.9,106.5,105.0,103.2,237100,247200,226600,255400,182500,162800
2006-02-01,105.6,105.6,105.6,105.5,106.6,104.1,236800,246600,230200,252900,185300,164100
2006-03-01,106.3,106.5,106.0,106.5,105.8,104.9,238300,248600,231000,255300,183800,165500
2006-04-01,106.7,106.8,106.5,106.8,106.6,105.8,239300,249300,232100,255900,185200,166900
2006-05-01,107.6,107.8,107.0,108.0,106.6,106.7,241200,251700,233300,258800,185300,168300
2006-06-01,108.0,108.1,107.6,108.1,108.1,107.6,242100,252300,234600,259100,187800,169700
2006-07-01,107.8,107.9,107.2,108.1,107.9,105.3,241700,252000,233700,259100,187600,166000
2006-08-01,107.8,107.9,107.4,108.0,108.9,103.0,241600,252000,234100,258900,189200,162400
2006-09-01,109.2,109.3,108.6,109.4,109.8,100.8,244800,255300,236800,262200,190800,158900
2006-10-01,108.1,108.1,107.1,108.4,111.1,103.0,242400,252300,233400,259800,193100,162400
2006-11-01,110.4,110.4,109.1,110.8,111.7,105.2,247500,257900,237900,265500,194200,165900
2006-12-01,111.0,110.9,109.2,111.3,112.3,107.5,248900,259000,238000,266900,195100,169600
