Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,161900,161900,171900,154200,166900
2005-02-01,99.8,99.7,99.4,99.9,100.0,161500,161400,170900,154100,166900
2005-03-01,99.6,99.6,99.1,99.5,100.0,161300,161200,170300,153500,166900
2005-04-01,99.3,99.3,98.9,99.6,100.0,160800,160800,170000,153600,166900
2005-05-01,99.2,99.1,98.9,99.5,100.0,160600,160500,170000,153400,166900
2005-06-01,99.2,99.2,98.8,99.5,100.0,160600,160600,169900,153500,166900
2005-07-01,99.6,99.6,99.0,100.1,100.0,161300,161200,170200,154400,166900
2005-08-01,100.2,100.2,99.2,100.9,100.0,162200,162200,170600,155600,166900
2005-09-01,100.9,100.9,99.9,101.8,100.0,163300,163300,171700,156900,166900
2005-10-01,101.9,101.9,101.1,102.5,100.0,165000,165000,173800,158100,166900
2005-11-01,103.0,103.0,102.6,103.3,100.0,166700,166700,176400,159300,166900
2005-12-01,103.7,103.8,104.1,104.2,100.0,167900,168000,179000,160600,166900
2006-01-01,104.6,104.7,103.8,105.5,96.5,169400,169500,178400,162700,161100
2006-02-01,105.1,105.2,103.2,106.8,93.2,170200,170300,177400,164700,155500
2006-03-01,105.7,105.8,102.9,107.8,89.9,171100,171300,176800,166200,150000
2006-04-01,105.2,105.3,102.9,107.3,86.8,170300,170500,176900,165500,144800
2006-05-01,104.8,104.9,103.1,106.5,83.7,169700,169900,177300,164300,139700
2006-06-01,104.7,104.8,103.4,106.0,80.8,169500,169600,177700,163500,134900
2006-07-01,105.7,105.9,104.8,106.7,83.9,171200,171400,180200,164600,140000
2006-08-01,106.9,107.0,106.3,107.6,87.1,173100,173200,182700,165900,145300
2006-09-01,108.2,108.2,108.1,108.5,90.4,175100,175200,185800,167300,150800
2006-10-01,107.7,107.7,106.5,108.7,93.8,174300,174400,183100,167600,156500
2006-11-01,107.2,107.2,105.2,108.9,97.3,173500,173600,180900,167900,162400
2006-12-01,106.3,106.4,103.9,109.1,101.0,172100,172300,178600,168300,168500
2007-01-01,108.6,108.7,106.2,110.8,98.4,175900,176000,182500,170900,164200
2007-02-01,110.5,110.6,108.6,112.3,95.9,178900,179000,186600,173200,160000
2007-03-01,112.6,112.7,111.3,113.4,93.4,182300,182500,191400,174900,155900
2007-04-01,112.2,112.3,110.7,113.7,91.0,181600,181800,190300,175300,151900
2007-05-01,111.8,111.9,110.3,113.5,88.7,181000,181200,189600,175000,148100
2007-06-01,111.7,111.9,109.8,113.6,86.5,180800,181100,188800,175200,144300
2007-07-01,112.2,112.4,110.8,113.8,87.6,181700,181900,190400,175500,146200
2007-08-01,112.8,113.0,111.6,114.2,88.7,182700,182900,191900,176100,148100
2007-09-01,113.6,113.7,112.7,114.7,89.9,183900,184100,193700,176900,150100
2007-10-01,113.1,113.2,111.0,115.1,91.1,183100,183300,190800,177500,152100
2007-11-01,112.6,112.7,109.4,115.6,92.3,182300,182400,188100,178200,154100
2007-12-01,111.8,111.9,108.1,115.9,93.6,181000,181200,185800,178700,156200
2008-01-01,111.9,112.1,108.6,114.9,94.8,181200,181500,186700,177200,158200
2008-02-01,111.6,111.6,109.6,113.5,98.1,180600,180700,188400,175000,163700
2008-03-01,111.4,111.5,110.8,111.7,100.1,180400,180500,190500,172200,167100
2008-04-01,113.2,113.2,112.0,114.3,102.2,183200,183300,192600,176200,170600
2008-05-01,115.1,115.1,113.1,117.0,104.6,186300,186400,194400,180400,174600
2008-06-01,117.1,117.1,114.1,119.8,106.3,189600,189600,196200,184800,177400
2008-07-01,115.8,115.8,112.4,118.9,105.2,187400,187500,193300,183300,175600
2008-08-01,114.8,114.8,111.1,118.1,105.8,185900,185900,190900,182100,176500
2008-09-01,113.7,113.7,109.4,117.4,106.0,184100,184100,188000,181100,176900
2008-10-01,114.1,114.2,111.4,116.7,107.1,184800,184900,191500,180000,178700
2008-11-01,114.6,114.7,113.2,116.1,107.6,185600,185700,194600,179100,179600
2008-12-01,114.9,114.9,115.6,114.9,107.9,186000,186000,198700,177200,180100
2009-01-01,114.0,114.0,112.4,115.4,110.8,184500,184500,193200,177900,184900
2009-02-01,112.6,112.7,110.4,114.9,113.5,182300,182400,189700,177100,189500
2009-03-01,112.2,112.1,109.1,114.3,116.4,181600,181500,187500,176300,194300
2009-04-01,111.9,111.8,109.5,113.9,119.3,181200,181000,188300,175600,199100
2009-05-01,111.9,111.7,109.4,113.8,122.3,181100,180900,188100,175500,204200
2009-06-01,111.9,111.6,109.5,113.6,125.5,181100,180700,188200,175100,209400
2009-07-01,113.3,113.2,111.1,115.0,126.6,183500,183200,190900,177300,211300
2009-08-01,114.9,114.7,112.9,116.4,127.1,186100,185700,194000,179500,212200
2009-09-01,116.3,116.1,113.7,118.2,128.2,188300,187900,195400,182200,214000
2009-10-01,116.7,116.6,114.5,118.4,129.2,189000,188700,196900,182500,215700
2009-11-01,117.1,116.9,114.8,118.6,130.7,189600,189200,197400,182900,218100
2009-12-01,117.3,117.1,116.1,118.0,131.9,189900,189600,199500,182000,220100
2010-01-01,118.2,117.9,117.4,118.3,130.3,191400,190900,201800,182400,217500
2010-02-01,120.5,120.2,119.2,121.3,137.4,195100,194600,204900,187000,229300
2010-03-01,122.2,122.0,117.1,125.8,135.8,197900,197500,201300,194000,226600
2010-04-01,119.9,119.8,114.4,124.4,130.3,194100,193900,196700,191800,217400
2010-05-01,121.2,120.9,116.9,124.6,132.3,196300,195800,201000,192100,220800
2010-06-01,120.9,120.8,117.2,124.0,122.5,195800,195600,201500,191200,204500
2010-07-01,121.1,120.9,117.7,123.8,130.9,196000,195800,202400,190900,218400
2010-08-01,121.1,121.1,118.4,123.4,119.3,196000,196000,203600,190300,199100
2010-09-01,119.7,119.6,118.9,120.3,122.0,193800,193700,204400,185500,203600
2010-10-01,121.4,121.3,120.5,122.2,127.1,196600,196400,207100,188400,212100
2010-11-01,122.4,122.4,121.5,123.4,117.0,198100,198200,208800,190300,195300
2010-12-01,125.2,125.0,122.3,127.3,133.4,202700,202400,210300,196300,222600
2011-01-01,128.7,128.7,126.0,130.9,115.6,208300,208400,216600,201900,192900
2011-02-01,122.2,122.2,121.3,123.2,123.6,197900,197900,208500,190000,206300
2011-03-01,121.7,121.6,123.6,119.8,123.5,197000,196800,212400,184700,206100
2011-04-01,122.1,122.1,121.8,122.5,123.3,197600,197600,209400,188900,205800
2011-05-01,121.4,121.2,122.7,120.0,123.2,196500,196200,210900,185100,205700
2011-06-01,123.0,122.9,124.3,121.7,127.9,199200,198900,213600,187600,213500
2011-07-01,123.2,123.2,125.5,121.2,125.0,199400,199400,215700,186900,208700
2011-08-01,122.0,122.0,122.6,121.5,120.4,197500,197500,210800,187300,201000
2011-09-01,123.1,123.2,122.8,123.4,116.6,199300,199400,211100,190300,194600
2011-10-01,122.7,122.7,120.6,124.4,123.8,198700,198600,207300,191900,206700
2011-11-01,122.8,122.5,120.5,124.4,130.4,198800,198400,207100,191900,217600
2011-12-01,123.8,123.7,120.2,126.5,128.9,200500,200300,206600,195000,215100
2012-01-01,123.0,123.1,121.2,124.3,111.6,199200,199300,208400,191700,186200
2012-02-01,124.8,124.3,124.2,124.7,145.2,202000,201300,213500,192300,242300
2012-03-01,121.0,120.4,120.2,120.4,145.4,195900,195000,206700,185700,242700
2012-04-01,123.2,122.7,122.9,122.8,147.5,199500,198700,211200,189300,246200
2012-05-01,122.8,122.9,121.5,124.2,109.8,198800,199000,208800,191500,183200
2012-06-01,122.4,122.5,122.1,123.0,107.5,198200,198400,209900,189700,179400
2012-07-01,122.0,121.8,119.5,123.7,138.8,197500,197200,205500,190800,231700
2012-08-01,122.7,122.5,121.4,123.5,130.5,198700,198400,208700,190500,217800
2012-09-01,122.9,122.7,121.1,124.1,128.5,198900,198700,208100,191400,214400
2012-10-01,123.3,123.0,122.5,123.5,142.5,199700,199200,210500,190500,237900
2012-11-01,124.1,123.8,123.7,124.1,137.1,200900,200500,212700,191300,228900
2012-12-01,124.3,123.8,123.2,123.9,154.4,201300,200500,211800,191000,257700
2013-01-01,126.2,125.8,124.1,126.8,145.4,204300,203600,213300,195600,242600
2013-02-01,126.2,125.9,124.4,127.7,140.8,204300,203900,213800,196900,235000
2013-03-01,127.4,127.1,126.2,127.7,133.3,206200,205800,217000,196900,222400
2013-04-01,129.8,129.8,129.6,130.0,124.8,210100,210100,222800,200400,208300
2013-05-01,131.0,130.9,127.5,133.5,134.7,212100,211900,219200,205900,224800
2013-06-01,130.9,130.6,125.7,134.7,140.0,211900,211400,216100,207700,233700
2013-07-01,130.6,130.4,126.7,133.4,150.5,211500,211100,217800,205700,251200
2013-08-01,130.8,130.5,127.1,133.2,149.9,211800,211200,218400,205400,250200
2013-09-01,130.7,130.3,129.2,131.2,149.3,211600,211000,222100,202300,249100
2013-10-01,129.6,129.5,128.9,129.6,138.6,209800,209600,221600,199900,231400
2013-11-01,130.1,129.9,130.5,128.9,144.3,210700,210300,224400,198800,240900
2013-12-01,130.9,131.1,132.1,129.3,117.6,211900,212200,227000,199400,196300
2014-01-01,131.3,131.5,134.3,128.3,107.2,212600,212900,230800,197900,179000
2014-02-01,134.5,134.8,136.9,133.0,120.7,217800,218200,235400,205100,201500
2014-03-01,132.7,132.6,129.5,134.9,128.1,214800,214600,222600,208000,213800
2014-04-01,131.6,131.5,131.0,131.7,127.7,213100,212900,225200,203100,213100
2014-05-01,131.9,131.7,134.3,128.9,142.5,213600,213200,230900,198800,237800
2014-06-01,133.2,132.9,135.4,130.2,153.9,215700,215100,232800,200800,256900
2014-07-01,135.3,135.0,135.5,134.2,150.4,219100,218600,232900,206900,251100
2014-08-01,136.2,135.8,135.3,135.8,159.4,220500,219800,232600,209400,266100
2014-09-01,136.6,136.1,134.4,137.0,169.4,221200,220300,231100,211300,282800
2014-10-01,136.9,136.5,134.4,137.8,161.1,221700,221000,231000,212500,268800
2014-11-01,137.2,136.9,131.9,141.1,157.4,222200,221600,226700,217600,262700
2014-12-01,137.0,136.4,135.2,136.4,166.9,221800,220900,232400,210300,278500
2015-01-01,138.7,138.0,137.2,137.9,169.5,224500,223400,235800,212600,282900
2015-02-01,134.8,134.4,135.7,133.3,159.3,218300,217600,233300,205500,265900
2015-03-01,140.1,139.6,141.2,137.5,154.0,226800,226000,242800,212000,257000
2015-04-01,141.6,141.1,141.1,140.7,157.5,229300,228500,242500,216900,262900
2015-05-01,142.2,141.7,139.1,143.5,162.5,230200,229400,239100,221300,271200
2015-06-01,139.7,139.3,137.1,140.8,152.8,226100,225600,235600,217100,255100
2015-07-01,138.0,137.7,134.6,139.9,144.6,223400,223000,231400,215700,241400
2015-08-01,140.0,139.7,138.6,140.3,149.7,226700,226100,238200,216300,249900
2015-09-01,142.9,142.7,140.4,144.3,149.9,231300,231000,241400,222500,250200
2015-10-01,144.2,143.9,141.4,145.6,154.5,233400,232900,243100,224500,257800
2015-11-01,142.7,142.4,141.3,143.1,147.5,231000,230600,242900,220700,246100
2015-12-01,141.4,141.2,135.4,145.3,151.8,228900,228600,232700,224000,253400
2016-01-01,145.0,144.7,139.5,148.8,153.1,234800,234300,239800,229500,255500
2016-02-01,144.0,144.0,140.1,147.8,143.7,233100,233200,240900,227900,239800
2016-03-01,144.5,144.9,138.9,150.1,113.4,234000,234600,238800,231400,189300
2016-04-01,141.4,141.9,135.3,147.4,108.5,228900,229800,232500,227300,181100
2016-05-01,141.0,141.1,135.4,145.8,130.8,228200,228400,232700,224900,218300
2016-06-01,143.2,143.5,137.5,148.5,128.9,231900,232300,236300,229000,215100
2016-07-01,144.7,144.9,139.7,149.0,132.1,234300,234600,240100,229800,220400
2016-08-01,147.5,147.6,141.9,152.3,134.8,238800,239000,244000,234800,224900
2016-09-01,148.2,148.4,144.0,151.9,138.1,240000,240200,247600,234200,230500
2016-10-01,151.5,151.6,146.4,155.8,144.6,245300,245400,251700,240300,241300
2016-11-01,155.1,155.3,151.3,158.9,135.7,251100,251500,260000,245100,226500
2016-12-01,156.0,156.2,151.2,159.4,144.8,252600,252900,259900,245800,241700
2017-01-01,154.4,154.7,149.9,158.2,135.7,249900,250400,257700,244000,226400
2017-02-01,154.7,154.5,151.5,156.9,164.6,250400,250100,260500,242000,274800
2017-03-01,155.4,155.6,154.8,156.0,137.4,251600,251900,266100,240600,229300
2017-04-01,159.8,159.6,158.9,159.5,162.2,258700,258400,273100,245900,270700
2017-05-01,161.6,161.3,161.6,160.6,170.2,261600,261200,277800,247600,284100
2017-06-01,166.0,165.4,164.6,165.2,193.0,268800,267800,283000,254800,322200
2017-07-01,167.0,166.8,165.9,166.5,172.0,270400,270000,285100,256800,287000
2017-08-01,165.6,165.0,160.9,168.0,178.9,268100,267200,276600,259100,298600
2017-09-01,165.7,164.9,161.1,167.6,190.2,268200,267000,276900,258400,317500
2017-10-01,167.6,166.5,164.3,168.0,202.6,271300,269600,282400,259100,338200
2017-11-01,169.6,168.7,167.3,169.7,199.4,274600,273200,287600,261700,332800
2017-12-01,172.0,170.9,168.2,171.9,209.8,278400,276700,289100,265100,350100
2018-01-01,173.7,172.9,173.1,172.0,201.2,281300,280000,297500,265300,335800
2018-02-01,174.2,173.9,171.6,175.4,192.8,282100,281500,295000,270500,321800
2018-03-01,179.3,178.4,175.4,181.3,208.6,290300,288800,301500,279500,348200
2018-04-01,180.9,180.5,173.6,185.9,196.0,292800,292200,298500,286600,327100
2018-05-01,183.9,184.2,180.4,187.2,169.8,297700,298300,310100,288600,283400
2018-06-01,186.0,186.4,185.5,186.5,169.4,301200,301800,318900,287600,282800
2018-07-01,187.5,188.1,187.0,188.5,152.8,303500,304600,321400,290600,255100
2018-08-01,188.6,189.6,190.8,187.4,132.2,305300,307000,328000,288900,220700
2018-09-01,190.8,191.7,190.2,192.0,140.3,308900,310400,326900,296100,234200
2018-10-01,191.5,192.6,189.8,194.4,134.7,310100,311900,326300,299800,224800
2018-11-01,195.5,196.3,192.0,199.9,157.3,316500,317800,330000,308200,262600
2018-12-01,198.3,199.0,193.0,203.0,161.2,321100,322200,331700,313100,269000
2019-01-01,198.9,199.3,193.2,204.0,171.9,322000,322600,332100,314600,286900
2019-02-01,202.1,202.3,196.0,207.2,192.1,327200,327600,337000,319500,320600
2019-03-01,199.9,199.6,191.9,206.9,209.3,323700,323200,329800,319100,349400
2019-04-01,205.4,204.8,198.3,209.9,232.2,332600,331600,340800,323700,387600
2019-05-01,208.5,207.8,200.2,214.2,231.6,337500,336500,344200,330300,386500
2019-06-01,208.8,208.5,199.2,216.3,219.7,338000,337600,342400,333500,366600
2019-07-01,207.0,206.7,196.2,215.6,210.8,335100,334700,337200,332500,351800
