Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,207200,207200,205900,209200
2005-02-01,101.7,101.7,102.7,100.1,210800,210800,211400,209400
2005-03-01,101.8,101.8,102.9,100.3,210900,210900,211800,209800
2005-04-01,100.0,100.0,100.4,99.6,207300,207300,206800,208400
2005-05-01,101.2,101.2,102.3,99.2,209600,209600,210700,207500
2005-06-01,101.8,101.8,103.6,98.7,211000,211000,213400,206400
2005-07-01,98.7,98.7,99.2,98.0,204500,204500,204300,205000
2005-08-01,101.1,101.1,103.2,97.4,209500,209500,212400,203700
2005-09-01,100.0,100.0,101.8,97.2,207200,207200,209600,203400
2005-10-01,97.6,97.6,98.0,96.9,202200,202200,201800,202800
2005-11-01,99.4,99.4,100.7,97.1,206000,206000,207300,203200
2005-12-01,99.5,99.5,100.5,97.3,206100,206100,207000,203600
2006-01-01,103.9,103.9,106.2,99.6,215300,215300,218700,208400
2006-02-01,103.0,103.0,103.9,101.5,213500,213500,214000,212400
2006-03-01,106.3,106.3,107.9,103.7,220300,220300,222100,216900
2006-04-01,105.5,105.5,106.8,103.2,218600,218600,219900,215800
2006-05-01,107.5,107.5,110.0,102.9,222700,222700,226500,215200
2006-06-01,103.3,103.3,103.8,102.5,214000,214000,213700,214500
2006-07-01,106.0,106.0,107.8,103.0,219700,219700,221900,215500
2006-08-01,105.0,105.0,106.0,103.4,217500,217500,218200,216300
2006-09-01,105.7,105.7,106.9,104.3,219100,219100,220100,218300
2006-10-01,106.0,106.0,106.5,105.5,219700,219700,219300,220700
2006-11-01,105.8,105.8,105.3,107.2,219300,219300,216800,224200
2006-12-01,105.2,105.2,103.1,108.8,218000,218000,212200,227700
2007-01-01,107.1,107.1,106.5,108.4,221900,221900,219300,226800
2007-02-01,105.3,105.3,104.2,107.5,218100,218100,214500,224900
2007-03-01,104.8,104.8,104.2,106.7,217200,217200,214500,223200
2007-04-01,107.2,107.2,107.9,106.4,222200,222200,222200,222500
2007-05-01,105.3,105.3,104.9,106.2,218100,218100,216000,222200
2007-06-01,107.2,107.2,108.0,106.0,222100,222100,222400,221800
2007-07-01,110.1,110.1,111.7,107.4,228100,228100,230000,224600
2007-08-01,107.9,107.9,107.8,108.4,223600,223600,222000,226800
2007-09-01,108.1,108.1,107.3,110.4,223900,223900,221000,230900
2007-10-01,109.7,109.7,110.5,108.5,227300,227300,227600,226900
2007-11-01,108.8,108.8,109.8,107.3,225400,225400,226000,224400
2007-12-01,110.3,110.3,111.9,106.4,228600,228600,230500,222500
2008-01-01,109.9,109.9,111.0,108.0,227800,227800,228600,226000
2008-02-01,113.0,113.0,114.9,109.2,234100,234100,236600,228500
2008-03-01,109.7,109.7,109.7,110.4,227400,227400,225900,231000
2008-04-01,113.9,113.9,115.6,110.9,236000,236000,238100,232100
2008-05-01,111.1,111.1,111.1,111.5,230200,230200,228800,233300
2008-06-01,112.3,112.3,112.1,113.0,232700,232700,230900,236300
2008-07-01,108.6,108.6,107.4,111.5,225100,225100,221100,233300
2008-08-01,110.3,110.3,110.6,110.1,228500,228500,227800,230300
2008-09-01,110.0,110.0,110.7,109.7,228000,228000,227900,229500
2008-10-01,108.3,108.3,108.8,107.7,224500,224500,224100,225400
2008-11-01,108.9,108.9,110.3,106.6,225700,225700,227200,223100
2008-12-01,107.5,107.5,107.6,106.0,222800,222800,221600,221800
2009-01-01,103.3,103.3,102.1,105.7,214100,214100,210300,221200
2009-02-01,105.1,105.1,105.2,104.9,217800,217800,216700,219400
2009-03-01,106.1,106.1,107.6,103.8,219900,219900,221600,217100
2009-04-01,102.3,102.3,101.3,104.6,211900,211900,208600,218800
2009-05-01,104.8,104.8,104.7,105.5,217100,217100,215500,220800
2009-06-01,108.3,108.3,109.2,106.9,224300,224300,224800,223700
2009-07-01,105.7,105.7,105.8,106.2,219000,219000,217800,222200
2009-08-01,108.3,108.3,110.2,105.1,224500,224500,226800,219900
2009-09-01,110.4,110.4,113.4,105.3,228800,228800,233400,220300
2009-10-01,111.2,111.2,113.6,106.9,230400,230400,233900,223700
2009-11-01,110.5,110.5,111.3,109.5,229000,229000,229100,229000
2009-12-01,116.7,116.7,118.1,112.9,241900,241900,243100,236100
2010-01-01,111.8,111.8,111.6,112.4,231600,231600,229800,235200
2010-02-01,112.0,112.0,113.3,109.5,232100,232100,233300,229000
2010-03-01,113.5,113.5,113.9,113.1,235200,235200,234600,236700
2010-04-01,112.2,112.2,112.2,112.8,232500,232500,231100,236000
2010-05-01,112.3,112.3,112.8,112.0,232700,232700,232200,234200
2010-06-01,110.7,110.7,110.9,110.7,229300,229300,228400,231600
2010-07-01,113.8,113.8,115.4,110.9,235800,235800,237700,232100
2010-08-01,111.4,111.4,110.6,113.9,230900,230900,227800,238300
2010-09-01,110.7,110.7,109.6,114.1,229300,229300,225700,238700
2010-10-01,114.4,114.4,114.1,115.9,237100,237100,235000,242400
2010-11-01,114.3,114.3,114.6,114.3,236800,236800,235900,239200
2010-12-01,106.7,106.7,104.9,109.6,221000,221000,216000,229200
2011-01-01,112.3,112.3,113.2,109.8,232700,232700,233100,229800
2011-02-01,113.3,113.3,114.6,110.7,234700,234700,235900,231600
2011-03-01,112.9,112.9,113.9,111.2,233900,233900,234600,232700
2011-04-01,112.7,112.7,113.8,111.1,233500,233500,234400,232500
2011-05-01,116.6,116.6,119.1,111.9,241600,241600,245200,234100
2011-06-01,113.2,113.2,114.8,110.2,234500,234500,236400,230500
2011-07-01,115.0,115.0,116.2,113.1,238300,238300,239300,236700
2011-08-01,115.0,115.0,116.5,112.7,238300,238300,239800,235700
2011-09-01,112.4,112.4,114.3,109.4,232800,232800,235400,228800
2011-10-01,110.9,110.9,112.3,108.7,229800,229800,231300,227300
2011-11-01,112.1,112.1,113.5,109.7,232200,232200,233700,229400
2011-12-01,110.6,110.6,110.7,109.3,229200,229200,227900,228600
2012-01-01,115.4,115.4,116.9,110.8,239100,239100,240800,231700
2012-02-01,111.9,111.9,113.0,109.9,231900,231900,232700,230000
2012-03-01,112.9,112.9,115.4,108.2,233900,233900,237600,226400
2012-04-01,118.2,118.2,121.4,112.4,245000,245000,250000,235200
2012-05-01,115.2,115.2,115.6,115.1,238700,238700,238000,240800
2012-06-01,118.0,118.0,118.4,117.5,244400,244400,243800,245900
2012-07-01,118.3,118.3,119.5,116.5,245100,245100,246100,243800
2012-08-01,118.8,118.8,119.9,117.3,246200,246200,246900,245400
2012-09-01,118.9,118.9,118.0,122.0,246300,246300,243000,255300
2012-10-01,121.1,121.1,121.2,121.6,250900,250900,249500,254400
2012-11-01,120.4,120.4,119.9,121.7,249400,249400,246900,254500
2012-12-01,124.8,124.8,125.2,121.9,258600,258600,257800,255100
2013-01-01,122.7,122.7,124.8,116.8,254300,254300,257000,244300
2013-02-01,120.8,120.8,122.0,119.4,250400,250400,251200,249700
2013-03-01,122.6,122.6,124.0,120.7,254100,254100,255400,252500
2013-04-01,117.1,117.1,116.8,118.9,242600,242600,240500,248800
2013-05-01,120.3,120.3,121.7,118.2,249300,249300,250600,247300
2013-06-01,119.4,119.4,119.6,119.6,247500,247500,246300,250200
2013-07-01,120.1,120.1,120.7,119.9,248900,248900,248600,250800
2013-08-01,121.5,121.5,122.1,121.0,251800,251800,251500,253200
2013-09-01,126.4,126.4,130.2,120.5,262000,262000,268000,252100
2013-10-01,123.2,123.2,124.1,122.1,255300,255300,255500,255400
2013-11-01,126.0,126.0,127.9,122.2,261000,261000,263400,255600
2013-12-01,128.0,128.0,128.1,125.1,265300,265300,263700,261700
2014-01-01,129.1,129.1,133.5,119.2,267400,267400,274800,249300
2014-02-01,130.7,130.7,129.6,133.7,270800,270800,266900,279800
2014-03-01,127.1,127.1,124.7,133.1,263300,263300,256800,278400
2014-04-01,127.5,127.5,128.1,127.4,264100,264100,263700,266600
2014-05-01,124.5,124.5,124.7,124.9,257900,257900,256800,261300
2014-06-01,126.3,126.3,128.7,121.7,261700,261700,265000,254600
2014-07-01,126.3,126.3,126.4,127.1,261700,261700,260200,265800
