Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,100.0,205700,206000,183200,230700,148200,168200
2005-02-01,99.4,99.4,102.9,96.7,100.0,100.0,204500,204800,188500,223200,148200,168200
2005-03-01,99.8,99.7,101.6,99.4,100.0,100.0,205200,205400,186200,229300,148200,168200
2005-04-01,99.7,99.6,101.8,98.4,100.0,100.0,205000,205200,186500,227100,148200,168200
2005-05-01,99.6,99.6,99.5,99.6,100.0,100.0,204800,205100,182300,229700,148200,168200
2005-06-01,100.8,100.8,102.5,99.7,100.0,100.0,207400,207600,187800,230100,148200,168200
2005-07-01,99.0,99.0,99.2,98.8,100.0,100.0,203700,203900,181800,228000,148200,168200
2005-08-01,100.8,100.8,100.9,100.8,100.0,100.0,207400,207600,184900,232600,148200,168200
2005-09-01,99.0,98.9,101.2,97.4,100.0,100.0,203600,203700,185400,224600,148200,168200
2005-10-01,99.1,99.0,104.0,94.6,100.0,100.0,203800,204000,190500,218200,148200,168200
2005-11-01,101.4,101.4,103.7,99.5,100.0,100.0,208600,208800,189900,229500,148200,168200
2005-12-01,102.5,102.5,101.4,103.1,100.0,100.0,210900,211200,185700,237800,148200,168200
2006-01-01,103.6,103.6,103.5,103.5,100.0,100.0,213100,213400,189600,238800,148200,168200
2006-02-01,105.0,105.0,102.2,107.8,100.0,100.0,215900,216200,187200,248800,148200,168200
2006-03-01,106.8,106.7,113.0,102.6,100.0,100.0,219600,219800,207000,236800,148200,168200
2006-04-01,103.4,103.4,106.1,101.8,100.0,100.0,212700,213000,194300,234900,148200,168200
2006-05-01,103.2,103.2,105.8,100.9,100.0,100.0,212300,212500,193900,232700,148200,168200
2006-06-01,102.9,102.9,105.3,101.2,100.0,100.0,211600,211900,192900,233400,148200,168200
2006-07-01,102.3,102.3,108.0,97.4,100.0,100.0,210500,210800,197900,224700,148200,168200
2006-08-01,101.9,101.9,107.4,97.2,100.0,100.0,209700,210000,196700,224200,148200,168200
2006-09-01,104.2,104.2,108.6,100.7,100.0,100.0,214300,214600,199000,232300,148200,168200
2006-10-01,104.6,104.6,105.7,103.6,100.0,100.0,215100,215400,193700,239100,148200,168200
2006-11-01,101.8,101.8,108.2,96.2,100.0,100.0,209300,209700,198200,222000,148200,168200
2006-12-01,100.7,100.7,107.9,94.1,100.0,100.0,207100,207400,197700,217100,148200,168200
2007-01-01,103.8,103.8,107.8,100.2,100.0,100.0,213600,213900,197500,231100,148200,168200
2007-02-01,103.2,103.2,106.8,100.4,100.0,100.0,212300,212600,195700,231600,148200,168200
2007-03-01,101.9,101.9,106.7,99.0,100.0,100.0,209700,209900,195400,228400,148200,168200
2007-04-01,106.5,106.5,112.6,102.0,100.0,100.0,219000,219300,206300,235300,148200,168200
2007-05-01,105.0,105.0,108.7,101.9,100.0,100.0,216000,216300,199100,235000,148200,168200
2007-06-01,103.4,103.3,107.9,99.8,100.0,100.0,212600,212800,197600,230300,148200,168200
2007-07-01,107.3,107.3,110.2,105.1,100.0,100.0,220800,221100,201900,242400,148200,168200
2007-08-01,108.2,108.2,113.2,103.7,100.0,100.0,222500,222800,207400,239200,148200,168200
2007-09-01,103.9,103.9,111.1,98.1,100.0,100.0,213800,214100,203500,226300,148200,168200
2007-10-01,106.9,106.9,112.3,102.2,100.0,100.0,219900,220200,205800,235800,148200,168200
2007-11-01,109.1,109.2,112.3,106.4,100.0,100.0,224400,224900,205700,245500,148200,168200
2007-12-01,109.1,109.1,113.4,105.3,100.0,100.0,224400,224800,207700,242900,148200,168200
2008-01-01,110.0,110.0,116.5,103.9,100.0,100.0,226200,226600,213500,239800,148200,168200
2008-02-01,109.2,109.2,115.7,103.9,100.0,99.4,224700,225000,211900,239600,148200,167200
2008-03-01,111.4,111.5,116.3,107.9,99.2,99.4,229100,229600,213000,249000,147000,167200
2008-04-01,107.7,107.8,113.4,103.5,98.0,98.5,221600,222000,207800,238700,145200,165700
2008-05-01,111.3,111.3,116.2,106.6,98.7,98.5,228900,229200,212800,245900,146200,165700
2008-06-01,110.5,110.6,115.7,106.1,98.7,98.5,227400,227900,212000,244700,146200,165700
2008-07-01,109.9,109.9,115.2,104.9,98.6,98.5,226100,226400,211100,241900,146100,165700
2008-08-01,110.0,110.0,112.4,106.9,98.6,98.5,226300,226700,206000,246600,146100,165700
2008-09-01,111.5,111.6,113.6,109.2,98.6,97.7,229400,229800,208200,252000,146100,164400
2008-10-01,110.7,110.8,113.8,107.4,98.6,97.7,227800,228300,208500,247800,146100,164400
2008-11-01,112.3,112.4,113.3,110.1,98.3,97.0,230900,231600,207500,254100,145700,163200
2008-12-01,112.0,112.0,115.5,107.8,98.3,97.0,230300,230800,211600,248800,145700,163200
2009-01-01,109.5,109.7,115.2,103.3,98.3,97.0,225300,225900,211100,238400,145700,163200
2009-02-01,111.0,111.1,116.2,105.9,98.3,97.3,228300,228800,212900,244200,145700,163600
2009-03-01,108.8,108.8,112.3,105.0,98.3,97.3,223700,224200,205700,242300,145700,163600
2009-04-01,110.4,110.4,113.1,107.1,98.3,97.3,227100,227400,207200,247100,145700,163600
2009-05-01,111.2,111.2,115.7,106.0,98.3,97.3,228700,229100,212000,244500,145700,163600
2009-06-01,112.6,112.7,114.8,109.1,98.3,97.6,231700,232200,210400,251800,145700,164100
2009-07-01,112.9,113.0,115.2,109.0,103.4,100.2,232300,232700,211100,251500,153200,168500
2009-08-01,112.5,112.6,113.6,109.1,109.3,102.2,231500,231900,208200,251800,162000,171900
2009-09-01,114.5,114.5,121.6,107.7,114.9,109.2,235500,235900,222700,248500,170300,183700
2009-10-01,115.3,115.4,122.8,107.8,119.3,112.1,237200,237700,224900,248700,176800,188600
2009-11-01,115.2,115.4,122.8,107.3,126.6,116.9,237000,237700,224900,247600,187600,196600
2009-12-01,115.5,115.6,122.3,108.2,132.5,124.9,237500,238200,224000,249600,196400,210100
2010-01-01,113.2,113.7,115.0,109.2,119.0,103.7,232900,234200,210700,251900,176300,174500
2010-02-01,116.1,116.6,123.1,109.4,120.7,105.3,238800,240200,225500,252400,178900,177100
2010-03-01,117.4,118.1,123.5,111.7,121.8,103.5,241500,243300,226300,257700,180500,174100
2010-04-01,117.3,118.0,121.2,113.0,124.4,107.8,241200,243000,222000,260600,184400,181400
