Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,100.0,197200,212100,200600,215200,149000,116000
2005-02-01,101.5,101.5,102.0,101.3,100.9,101.5,200100,215300,204700,218000,150400,117700
2005-03-01,102.2,102.3,104.3,101.7,101.8,101.4,201600,217000,209200,218800,151700,117600
2005-04-01,103.3,103.3,102.7,103.4,102.8,103.5,203700,219100,206000,222500,153100,120100
2005-05-01,102.2,102.5,103.8,102.1,103.7,99.8,201600,217400,208300,219700,154500,115800
2005-06-01,103.1,103.3,103.9,103.1,104.6,103.9,203400,219000,208500,221800,155900,120500
2005-07-01,104.9,105.2,105.1,105.3,103.8,102.7,206800,223100,210800,226700,154700,119100
2005-08-01,103.7,103.8,105.4,103.4,103.0,104.1,204400,220100,211400,222500,153500,120700
2005-09-01,105.1,105.1,107.4,104.5,102.1,108.5,207300,222900,215400,224900,152200,125900
2005-10-01,105.7,106.0,108.3,105.4,103.6,104.1,208500,224800,217300,226900,154300,120800
2005-11-01,105.8,106.0,106.3,105.8,104.9,105.6,208700,224800,213300,227700,156300,122500
2005-12-01,107.3,107.8,108.2,107.7,106.3,99.6,211500,228600,217100,231700,158400,115500
2006-01-01,107.6,107.7,108.8,107.4,106.4,106.3,212200,228500,218300,231200,158600,123300
2006-02-01,108.3,108.5,109.0,108.3,106.6,106.9,213600,230200,218700,233100,158800,124000
2006-03-01,108.9,109.1,107.8,109.3,106.7,107.0,214800,231500,216300,235300,159000,124100
2006-04-01,110.1,110.5,110.7,110.4,107.0,107.2,217200,234300,222000,237600,159400,124300
2006-05-01,111.1,111.5,112.1,111.2,107.2,109.1,219100,236400,224800,239400,159800,126500
2006-06-01,110.8,110.8,111.2,110.8,107.5,114.2,218500,235100,223100,238400,160200,132500
2006-07-01,110.8,111.1,112.5,110.9,108.0,110.0,218400,235700,225700,238600,160900,127600
2006-08-01,111.5,111.9,113.5,111.5,108.5,108.8,219800,237400,227700,240000,161600,126200
2006-09-01,111.2,111.7,111.8,111.8,109.0,108.3,219300,237000,224200,240500,162400,125600
2006-10-01,112.0,112.3,110.6,112.6,108.9,109.9,220800,238200,221900,242400,162200,127500
2006-11-01,111.2,111.3,111.8,111.1,108.7,111.8,219200,236000,224300,239100,162000,129700
2006-12-01,111.7,111.9,111.0,112.1,108.6,109.9,220300,237400,222600,241300,161800,127500
2007-01-01,113.5,113.6,114.5,113.3,109.3,113.5,223800,240900,229600,243900,162800,131700
2007-02-01,113.4,113.6,113.8,113.5,109.9,112.8,223600,240900,228200,244200,163700,130800
2007-03-01,113.9,114.0,114.5,113.8,110.5,113.5,224700,241800,229700,244900,164700,131700
2007-04-01,114.1,114.3,114.7,114.2,110.7,112.2,225000,242500,230100,245700,164900,130100
2007-05-01,114.6,114.7,114.7,114.7,110.8,115.7,225900,243300,230100,246800,165100,134200
2007-06-01,115.0,115.3,115.9,115.1,110.9,115.2,226700,244600,232500,247700,165300,133600
2007-07-01,115.5,115.8,115.7,115.9,113.0,115.8,227800,245600,232100,249400,168400,134300
2007-08-01,117.7,118.1,117.7,118.1,115.2,116.7,232100,250400,236200,254200,171600,135400
2007-09-01,118.4,118.8,118.2,119.1,117.4,117.4,233500,251900,237100,256400,174900,136200
2007-10-01,118.9,118.9,119.6,118.5,117.3,120.4,234500,252100,239900,255100,174800,139700
