Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,100.0,231900,237400,225600,257300,186000,178600
2005-02-01,99.7,99.7,99.6,100.6,99.6,101.2,231300,236600,224800,258800,185300,180800
2005-03-01,99.6,99.4,99.0,101.4,99.4,102.5,230900,235900,223400,261000,184900,183100
2005-04-01,98.3,98.0,97.3,100.4,99.2,103.8,228000,232600,219600,258400,184500,185400
2005-05-01,98.6,98.2,98.1,99.7,99.0,105.2,228600,233200,221400,256600,184200,187800
2005-06-01,98.5,98.1,98.3,98.9,99.2,106.5,228500,233000,221800,254400,184500,190200
2005-07-01,99.1,98.7,98.4,100.5,98.9,106.7,229800,234400,222100,258500,183900,190500
2005-08-01,99.9,99.7,99.1,101.9,98.8,106.8,231700,236600,223500,262200,183700,190800
2005-09-01,100.4,100.3,99.2,102.9,98.7,107.0,232900,238100,223800,264800,183500,191100
2005-10-01,101.6,101.5,100.4,104.5,98.5,107.1,235500,240900,226600,269000,183200,191300
2005-11-01,101.6,101.4,99.6,105.8,98.4,107.2,235600,240800,224700,272300,183100,191400
2005-12-01,103.2,103.2,101.6,107.1,98.3,107.3,239400,244900,229200,275600,182800,191600
2006-01-01,104.7,104.8,103.2,107.3,99.2,106.6,242900,248700,232900,276200,184600,190300
2006-02-01,103.6,103.5,102.0,107.2,100.1,105.9,240300,245800,230100,275700,186200,189100
2006-03-01,104.6,104.6,104.0,107.3,101.1,105.2,242500,248300,234600,276000,188000,187900
2006-04-01,105.6,105.6,105.1,107.7,102.0,106.8,244800,250700,237200,277200,189800,190800
2006-05-01,106.3,106.3,105.9,108.5,103.1,108.5,246600,252400,238900,279100,191800,193800
2006-06-01,107.2,107.2,106.8,109.1,104.6,110.2,248700,254600,241000,280800,194600,196800
