Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,100.0,151600,165000,151200,175200,107800,100300
2005-02-01,102.4,102.3,101.7,102.3,100.5,99.2,155200,168800,153700,179300,108300,99500
2005-03-01,101.3,101.3,101.3,101.5,100.4,96.9,153500,167200,153200,177900,108200,97200
2005-04-01,103.0,102.8,101.7,103.4,103.8,99.2,156100,169700,153800,181100,111900,99500
2005-05-01,103.6,103.4,102.2,103.9,103.4,107.2,157100,170600,154500,182000,111500,107500
2005-06-01,103.2,103.2,101.7,103.9,104.4,98.5,156500,170200,153800,182100,112500,98800
2005-07-01,103.9,103.5,102.8,103.8,106.0,103.7,157500,170800,155500,181800,114300,104000
2005-08-01,104.4,103.9,104.3,103.5,106.8,104.0,158300,171500,157700,181300,115100,104300
2005-09-01,105.3,104.8,104.6,105.0,106.1,107.4,159600,172900,158100,183900,114400,107700
2005-10-01,105.9,105.3,103.9,105.8,107.4,111.8,160500,173700,157100,185400,115800,112100
2005-11-01,107.0,106.2,105.7,106.5,109.3,109.7,162200,175200,159800,186600,117800,110000
2005-12-01,107.7,107.0,107.0,106.8,110.0,108.0,163200,176600,161800,187100,118600,108300
2006-01-01,107.7,107.1,107.5,107.0,111.6,110.7,163300,176700,162500,187400,120300,111000
2006-02-01,108.3,107.8,109.1,106.7,110.2,106.2,164200,177900,165000,186900,118800,106500
2006-03-01,109.8,109.5,109.7,109.4,112.2,106.9,166500,180600,165900,191700,120900,107200
2006-04-01,108.3,107.5,109.8,106.1,110.9,111.9,164200,177400,166000,185800,119500,112200
2006-05-01,109.6,109.3,109.6,109.0,109.6,112.7,166200,180400,165700,190900,118200,113000
2006-06-01,110.2,109.3,109.7,108.8,113.3,115.3,167000,180300,165800,190600,122100,115600
2006-07-01,110.1,109.8,110.2,109.3,110.9,111.1,166900,181100,166600,191500,119500,111400
2006-08-01,110.2,110.1,109.1,110.4,111.4,107.2,167100,181600,165000,193500,120100,107500
2006-09-01,110.9,110.4,110.9,110.0,114.5,108.5,168200,182100,167700,192800,123400,108800
2006-10-01,111.1,110.4,111.4,109.5,114.5,114.4,168500,182100,168400,191900,123400,114700
2006-11-01,112.3,112.0,111.8,112.2,112.7,108.3,170200,184800,169100,196500,121500,108600
2006-12-01,112.3,111.6,112.2,111.0,116.5,109.8,170300,184200,169700,194500,125600,110100
2007-01-01,112.4,111.9,112.6,111.6,114.7,113.9,170400,184700,170200,195500,123700,114200
