Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,100.0,304700,369700,360500,371600,236000,170300
2005-02-01,99.9,99.7,100.3,99.6,100.3,101.8,304300,368700,361500,370200,236800,173400
2005-03-01,100.1,99.8,100.3,99.7,100.7,103.5,305100,369000,361500,370300,237600,176300
2005-04-01,99.7,99.4,100.4,99.2,100.6,101.6,303700,367400,361900,368600,237300,173000
2005-05-01,99.9,99.2,100.2,99.1,100.3,106.8,304300,366900,361200,368100,236800,181900
2005-06-01,99.6,99.4,99.9,99.3,100.2,102.6,303500,367500,360300,369000,236500,174700
2005-07-01,100.0,99.5,100.1,99.4,100.6,105.7,304800,367800,361000,369200,237500,180000
2005-08-01,101.0,100.9,100.4,101.0,101.1,103.2,307800,372900,361800,375300,238600,175700
2005-09-01,100.0,100.1,100.6,99.9,101.6,101.6,304800,369900,362800,371200,239800,173100
2005-10-01,101.6,101.4,101.0,101.5,101.6,103.7,309500,375000,364200,377200,239800,176600
2005-11-01,104.1,103.7,101.5,104.1,101.6,109.2,317200,383300,365900,386900,239800,185900
2005-12-01,103.2,103.4,101.9,103.7,101.9,104.8,314300,382300,367400,385400,240500,178400
2006-01-01,103.2,103.5,102.8,103.6,102.7,102.8,314600,382500,370700,384800,242400,175100
2006-02-01,103.8,104.1,103.7,104.1,103.7,103.9,316200,384800,373900,387000,244700,176900
2006-03-01,104.5,104.8,104.3,104.8,104.6,104.2,318300,387300,376000,389400,246800,177500
2006-04-01,105.5,105.5,104.4,105.8,105.3,106.2,321400,390200,376500,393100,248600,180900
2006-05-01,105.3,105.4,104.3,105.7,106.1,107.4,320900,389700,376000,392600,250300,182900
2006-06-01,105.3,105.4,104.2,105.6,106.7,105.0,320700,389500,375500,392500,251900,178900
2006-07-01,105.9,106.5,104.4,107.0,106.8,103.8,322800,393900,376300,397600,252000,176700
2006-08-01,106.3,106.3,104.7,106.6,106.8,107.2,323900,393000,377500,396300,252100,182500
2006-09-01,106.9,107.2,105.1,107.6,106.8,109.0,325800,396200,378800,399700,252100,185600
2006-10-01,106.7,107.2,105.6,107.5,107.0,104.7,325200,396200,380800,399500,252500,178300
2006-11-01,106.8,107.1,106.2,107.3,107.2,103.3,325300,396000,383000,398800,253000,175900
2006-12-01,107.7,107.7,106.8,107.9,107.6,109.1,328200,398300,385000,401100,254000,185800
2007-01-01,107.9,108.6,106.9,108.8,108.1,103.5,328700,401500,385500,404400,255200,176300
2007-02-01,108.6,109.1,106.9,109.5,108.8,107.2,330800,403400,385400,407000,256800,182500
2007-03-01,109.2,109.3,106.7,109.8,109.4,109.2,332600,404100,384700,408000,258300,185900
2007-04-01,109.3,109.8,108.6,110.1,109.7,106.7,333100,406100,391600,409100,258800,181700
2007-05-01,110.9,111.5,110.5,111.7,110.0,112.0,338000,412200,398200,415100,259700,190700
2007-06-01,112.0,112.7,112.3,112.8,110.2,112.4,341200,416600,404800,419100,260100,191500
2007-07-01,112.4,113.0,112.9,112.9,111.3,113.2,342600,417600,407000,419700,262600,192700
2007-08-01,112.7,113.6,113.3,113.7,112.2,108.9,343300,420000,408400,422400,264700,185500
2007-09-01,114.6,115.2,114.0,115.4,113.0,115.7,349200,426000,411100,429000,266600,197100
2007-10-01,114.8,115.5,115.2,115.6,114.4,112.3,349800,427000,415300,429400,269900,191200
2007-11-01,115.8,116.4,116.7,116.3,115.6,111.9,352800,430300,420700,432300,272800,190500
2007-12-01,116.3,117.1,117.9,117.0,117.2,111.1,354500,433100,424900,434800,276600,189200
2008-01-01,116.4,117.2,117.8,116.9,116.4,113.0,354600,433200,424600,434400,274800,192500
2008-02-01,116.7,117.6,117.4,117.7,115.8,116.5,355500,434900,423400,437300,273200,198400
2008-03-01,116.8,118.2,116.9,118.5,115.1,113.5,355900,437100,421500,440400,271600,193300
2008-04-01,117.1,117.9,116.3,118.3,115.0,117.3,356700,436000,419100,439600,271300,199800
2008-05-01,115.9,117.0,115.5,117.3,115.5,116.0,353000,432600,416300,436000,272600,197600
2008-06-01,115.9,116.6,115.1,116.8,115.5,118.8,353000,430900,415000,434200,272500,202300
2008-07-01,115.8,116.5,115.4,116.8,115.7,118.3,352800,430800,415900,434000,273000,201500
2008-08-01,114.3,115.1,114.8,115.3,115.6,114.8,348300,425700,413700,428300,272800,195500
2008-09-01,113.8,114.7,114.7,114.7,114.9,115.2,346900,423900,413400,426100,271100,196200
2008-10-01,113.2,113.5,112.3,113.7,114.9,117.0,344800,419500,404700,422600,271100,199200
2008-11-01,111.4,111.8,110.3,112.1,114.4,112.8,339300,413300,397700,416600,270000,192100
2008-12-01,110.4,110.9,108.0,111.5,114.3,108.6,336300,410000,389400,414300,269800,185000
2009-01-01,111.4,111.8,108.2,112.3,113.9,113.9,339400,413200,389900,417400,268700,194000
2009-02-01,110.6,110.2,108.2,110.6,113.6,119.1,337100,407400,390000,411100,268200,202800
2009-03-01,109.0,109.0,107.9,109.3,113.2,112.2,332200,403100,389100,406100,267100,191100
2009-04-01,109.8,110.5,109.3,110.8,112.4,109.3,334600,408700,394200,411800,265300,186100
2009-05-01,112.0,112.7,110.1,113.2,112.6,115.7,341300,416500,396900,420700,265700,197000
2009-06-01,113.9,115.0,111.8,115.7,111.9,118.4,347000,425300,403200,430100,264000,201600
2009-07-01,115.3,116.7,114.3,117.3,114.1,117.7,351300,431500,412100,435800,269200,200400
2009-08-01,118.1,119.5,116.3,120.3,115.7,121.4,359800,441800,419200,446900,273100,206800
2009-09-01,118.6,119.9,118.7,120.2,116.7,122.1,361500,443200,427800,446500,275300,207900
2009-10-01,121.3,123.3,120.5,124.0,118.1,121.2,369700,455900,434400,460700,278600,206400
2009-11-01,122.6,124.7,123.7,124.9,118.8,123.3,373600,460900,446000,464300,280400,209900
2009-12-01,124.7,126.8,125.9,127.0,120.2,123.8,379900,468600,453700,471800,283600,210800
2010-01-01,126.2,128.6,123.6,129.5,122.1,126.9,384600,475500,445700,481300,288200,216100
2010-02-01,126.5,129.2,127.2,129.7,121.9,127.1,385400,477600,458700,481900,287700,216500
2010-03-01,127.5,130.0,127.8,130.6,123.3,128.0,388400,480700,460800,485200,291000,217900
2010-04-01,127.8,130.0,129.2,130.3,125.6,127.1,389500,480700,465800,484100,296400,216400
2010-05-01,126.7,129.2,128.5,129.4,125.8,126.0,386000,477600,463300,480700,296800,214600
2010-06-01,126.4,128.6,128.8,128.6,127.1,124.9,385100,475600,464500,478000,300000,212700
2010-07-01,126.7,128.7,127.1,129.1,126.2,127.2,386200,475800,458100,479800,297800,216600
2010-08-01,127.6,129.7,128.5,130.0,126.3,128.4,388800,479500,463300,483100,298000,218600
2010-09-01,127.2,129.5,126.4,130.2,127.4,123.4,387500,478900,455800,484000,300700,210100
