Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,100.0,174400,176400,164700,186900,161400,134100
2005-02-01,100.1,100.1,98.2,101.0,100.1,101.0,174500,176500,161700,188700,161500,135400
2005-03-01,100.1,99.9,99.5,100.5,100.2,101.9,174500,176300,163800,187900,161800,136600
2005-04-01,100.4,100.4,100.5,100.6,99.6,102.8,175100,177100,165600,188000,160700,137900
2005-05-01,100.6,100.7,100.7,100.6,99.0,103.8,175400,177600,165900,188100,159800,139200
2005-06-01,100.8,100.9,100.9,101.0,98.4,104.8,175800,178000,166200,188700,158800,140500
2005-07-01,101.4,101.6,102.2,101.0,99.3,103.2,176900,179200,168400,188800,160300,138400
2005-08-01,101.4,101.5,101.4,101.3,100.4,101.6,176900,179100,167000,189300,162000,136200
2005-09-01,103.2,103.6,102.6,103.4,101.5,100.1,180000,182800,168900,193300,163900,134200
2005-10-01,102.4,102.5,102.2,102.5,101.9,101.6,178500,180800,168300,191500,164500,136200
2005-11-01,103.7,103.8,103.6,103.4,102.2,103.1,180900,183100,170600,193300,165000,138300
2005-12-01,104.6,104.7,103.7,105.4,102.5,104.7,182400,184700,170800,197000,165500,140400
2006-01-01,104.9,105.2,104.1,105.8,102.0,103.4,182900,185500,171400,197700,164700,138600
2006-02-01,105.2,105.5,105.5,105.1,101.2,102.0,183500,186100,173800,196500,163400,136800
2006-03-01,105.9,106.3,105.8,107.1,100.8,100.7,184700,187600,174200,200100,162700,135100
2006-04-01,106.2,106.6,105.8,107.3,101.2,101.2,185200,188100,174200,200500,163300,135700
2006-05-01,106.4,106.8,107.0,106.8,101.9,101.6,185600,188400,176200,199600,164400,136300
2006-06-01,106.8,107.2,106.4,107.8,102.5,102.1,186200,189100,175200,201400,165500,136900
2006-07-01,106.9,107.3,106.9,107.3,103.3,102.5,186500,189300,176000,200600,166800,137500
2006-08-01,107.7,108.0,107.7,108.0,104.3,103.0,187800,190600,177400,201800,168400,138100
2006-09-01,107.1,107.5,106.7,107.3,105.3,103.5,186800,189700,175800,200500,169900,138800
2006-10-01,107.5,107.8,106.9,108.3,104.1,103.3,187400,190200,176000,202500,168000,138500
2006-11-01,107.3,107.7,106.8,108.1,102.7,103.1,187200,190000,175900,202100,165800,138200
