Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,209600,210600,211600,208800,189200
2005-02-01,99.7,99.6,99.3,99.7,101.5,208900,209700,210200,208200,192100
2005-03-01,99.3,99.1,98.8,99.4,103.2,208100,208600,209100,207600,195200
2005-04-01,98.5,98.2,98.4,98.1,104.8,206500,206800,208200,204900,198200
2005-05-01,97.7,97.2,98.0,96.8,106.4,204700,204800,207400,202200,201300
2005-06-01,96.8,96.2,97.6,95.2,108.1,202900,202600,206600,198800,204500
2005-07-01,98.4,97.9,98.7,97.4,109.8,206300,206100,208800,203400,207700
2005-08-01,100.0,99.5,99.8,99.3,111.5,209600,209500,211200,207400,210900
2005-09-01,101.5,101.0,101.3,101.1,113.2,212700,212700,214300,211200,214200
2005-10-01,101.8,101.2,100.0,102.8,115.0,213300,213200,211700,214600,217600
2005-11-01,101.9,101.3,99.1,104.2,116.8,213500,213400,209700,217600,221000
2005-12-01,102.2,101.6,98.2,106.3,118.6,214300,214000,207700,221900,224400
2006-01-01,102.8,102.3,100.7,104.3,114.7,215500,215500,213100,217800,217100
2006-02-01,103.4,103.1,103.0,103.1,111.0,216700,217100,218000,215300,210000
2006-03-01,104.0,103.7,105.5,101.8,107.3,217900,218400,223200,212600,203100
2006-04-01,103.5,103.4,104.7,102.0,103.8,216900,217700,221600,212900,196400
2006-05-01,103.0,102.8,104.0,102.1,100.4,215800,216600,220100,213200,189900
2006-06-01,102.4,102.4,103.4,101.8,97.1,214600,215600,218900,212500,183700
2006-07-01,102.8,102.8,104.2,101.6,97.8,215400,216500,220500,212200,185000
2006-08-01,103.1,103.2,105.1,101.2,98.4,216200,217300,222400,211300,186200
2006-09-01,103.4,103.5,106.3,100.7,99.1,216700,217900,224900,210200,187500
2006-10-01,102.7,102.8,104.8,100.6,99.7,215300,216400,221800,210100,188700
2006-11-01,102.0,102.0,103.6,100.4,100.4,213800,214800,219200,209700,190000
2006-12-01,101.4,101.3,102.4,100.7,101.1,212500,213400,216700,210200,191300
2007-01-01,102.3,102.3,102.9,101.8,101.5,214500,215500,217700,212500,192000
2007-02-01,103.4,103.4,103.5,103.4,101.8,216800,217800,219000,215900,192700
2007-03-01,104.3,104.3,104.0,104.8,102.2,218600,219700,220100,218900,193400
2007-04-01,105.5,105.5,104.7,106.6,102.6,221100,222100,221600,222600,194200
2007-05-01,106.3,106.3,105.3,107.9,103.0,222800,223900,222800,225300,194900
2007-06-01,107.3,107.2,106.2,108.9,103.4,224800,225700,224800,227300,195600
2007-07-01,107.0,106.8,106.2,107.9,105.1,224200,225000,224800,225300,198900
2007-08-01,106.8,106.6,106.5,107.2,106.9,223800,224500,225400,223800,202200
2007-09-01,106.6,106.5,107.0,106.3,108.7,223500,224200,226500,222000,205600
2007-10-01,108.3,108.1,108.9,107.5,110.5,226900,227700,230500,224400,209000
2007-11-01,110.1,110.0,111.3,108.9,112.3,230800,231600,235500,227300,212500
2007-12-01,111.9,111.8,113.6,110.1,114.2,234600,235400,240400,229900,216100
2008-01-01,111.4,111.3,112.3,110.2,113.5,233400,234300,237700,230200,214800
2008-02-01,110.8,110.7,111.3,110.2,113.4,232300,233200,235500,230000,214500
2008-03-01,110.0,109.9,110.2,109.7,113.2,230600,231400,233200,229100,214200
2008-04-01,110.2,110.0,109.6,110.6,113.1,230900,231600,231900,231000,213900
2008-05-01,109.6,109.4,108.6,110.7,112.1,229800,230400,229700,231100,212100
2008-06-01,109.2,109.0,108.2,110.3,111.3,228800,229500,228900,230300,210600
2008-07-01,108.3,108.1,106.8,109.7,112.7,227100,227600,225900,229000,213200
2008-08-01,107.7,107.4,105.9,109.8,113.5,225700,226100,224000,229300,214700
2008-09-01,107.5,107.2,105.3,109.8,113.9,225400,225700,222900,229200,215500
2008-10-01,107.2,106.9,105.3,109.3,114.5,224700,225100,222800,228300,216700
2008-11-01,107.4,107.1,105.8,109.4,114.9,225100,225600,223800,228400,217300
2008-12-01,107.2,106.8,105.8,108.3,114.9,224700,225000,223900,226200,217300
2009-01-01,106.0,105.7,103.4,108.6,113.7,222200,222600,218800,226700,215100
2009-02-01,104.9,104.6,101.2,108.5,113.6,219800,220200,214100,226500,214900
2009-03-01,103.3,102.9,98.8,108.0,112.4,216600,216800,209100,225600,212700
2009-04-01,105.2,104.8,101.1,109.6,112.4,220600,220800,213900,228800,212600
