Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,136900,136900,132900,143500
2005-02-01,100.4,100.4,100.0,100.8,137400,137400,132900,144600
2005-03-01,100.9,100.9,99.9,102.3,138200,138200,132800,146800
2005-04-01,102.6,102.6,101.2,104.0,140400,140400,134500,149200
2005-05-01,104.4,104.4,102.6,106.5,142900,142900,136300,152800
2005-06-01,105.9,105.9,103.8,108.4,145000,145000,138000,155500
2005-07-01,106.4,106.4,104.5,108.7,145600,145600,138900,156000
2005-08-01,106.6,106.6,105.0,108.5,145900,145900,139600,155700
2005-09-01,106.8,106.8,105.6,108.1,146200,146200,140400,155100
2005-10-01,106.9,106.9,105.4,108.9,146400,146400,140100,156200
2005-11-01,107.2,107.2,105.3,109.8,146700,146700,139900,157600
2005-12-01,107.5,107.5,105.0,110.0,147200,147200,139500,157800
2006-01-01,109.3,109.3,107.7,111.9,149700,149700,143100,160600
2006-02-01,111.5,111.5,110.5,112.9,152700,152700,146900,162000
2006-03-01,114.0,114.0,113.4,114.8,156000,156000,150700,164700
2006-04-01,114.8,114.8,114.2,115.0,157100,157100,151800,165000
2006-05-01,115.9,115.9,115.3,116.0,158600,158600,153200,166400
2006-06-01,116.5,116.5,116.2,116.5,159500,159500,154400,167200
2006-07-01,116.4,116.4,115.8,117.0,159400,159400,153900,167900
2006-08-01,116.1,116.1,115.2,117.1,158900,158900,153100,168000
2006-09-01,115.9,115.9,114.7,116.7,158600,158600,152500,167500
2006-10-01,116.3,116.3,116.3,116.0,159200,159200,154600,166500
2006-11-01,116.9,116.9,117.8,115.3,160000,160000,156600,165400
2006-12-01,117.6,117.6,119.3,113.8,161000,161000,158500,163300
2007-01-01,119.8,119.8,120.8,118.1,164000,164000,160600,169500
2007-02-01,122.1,122.1,122.4,121.5,167200,167200,162700,174300
2007-03-01,124.8,124.8,123.9,125.9,170800,170800,164700,180700
2007-04-01,124.5,124.5,124.0,125.2,170500,170500,164800,179600
2007-05-01,124.8,124.8,124.5,124.9,170900,170900,165400,179300
2007-06-01,124.5,124.5,124.5,124.4,170500,170500,165400,178500
2007-07-01,126.7,126.7,126.3,126.9,173500,173500,167900,182100
2007-08-01,128.3,128.3,128.1,128.6,175700,175700,170200,184500
2007-09-01,130.2,130.2,129.7,130.3,178300,178300,172400,187000
2007-10-01,132.2,132.2,132.2,131.9,181000,181000,175700,189300
2007-11-01,134.2,134.2,134.7,133.4,183700,183700,179000,191400
2007-12-01,136.2,136.2,136.9,134.0,186400,186400,182000,192300
2008-01-01,135.7,135.7,136.5,134.4,185800,185800,181400,192900
2008-02-01,135.1,135.1,135.5,134.0,184900,184900,180100,192300
2008-03-01,134.8,134.8,134.5,134.5,184500,184500,178800,193000
2008-04-01,134.5,134.5,134.9,133.5,184100,184100,179300,191600
2008-05-01,134.4,134.4,135.0,133.0,184000,184000,179400,190800
2008-06-01,133.9,133.9,135.4,131.5,183300,183300,179900,188700
2008-07-01,136.7,136.7,136.8,136.0,187200,187200,181800,195200
2008-08-01,138.3,138.3,138.6,137.5,189400,189400,184200,197300
2008-09-01,141.6,141.6,140.6,142.2,193800,193800,186800,204100
2008-10-01,140.1,140.1,137.8,142.9,191800,191800,183200,205000
2008-11-01,139.4,139.4,136.4,143.3,190900,190900,181300,205600
2008-12-01,137.8,137.8,133.3,142.8,188600,188600,177100,204900
2009-01-01,137.9,137.9,133.1,144.0,188800,188800,176900,206600
2009-02-01,137.3,137.3,133.1,142.6,187900,187900,176900,204600
2009-03-01,137.0,137.0,132.5,142.4,187500,187500,176100,204300
2009-04-01,137.7,137.7,134.4,142.4,188500,188500,178600,204300
2009-05-01,138.6,138.6,136.1,142.0,189800,189800,180900,203700
2009-06-01,139.4,139.4,138.1,141.2,190800,190800,183500,202600
2009-07-01,140.3,140.3,137.8,143.7,192100,192100,183100,206200
2009-08-01,140.3,140.3,137.6,143.8,192100,192100,182900,206400
2009-09-01,140.8,140.8,136.8,145.8,192800,192800,181800,209200
2009-10-01,143.4,143.4,139.9,148.0,196300,196300,185900,212400
2009-11-01,147.0,147.0,144.3,150.2,201200,201200,191800,215500
2009-12-01,149.4,149.4,147.3,151.7,204500,204500,195700,217700
2010-01-01,149.5,149.5,148.0,151.0,204700,204700,196700,216700
2010-02-01,149.5,149.5,147.8,151.7,204600,204600,196400,217700
2010-03-01,148.9,148.9,151.4,144.2,203800,203800,201200,206900
2010-04-01,149.1,149.1,149.9,147.7,204100,204100,199200,211900
2010-05-01,147.4,147.4,144.8,150.4,201800,201800,192400,215800
2010-06-01,150.0,150.0,146.7,154.0,205400,205400,195000,221000
2010-07-01,149.5,149.5,147.2,151.8,204600,204600,195600,217900
2010-08-01,150.6,150.6,148.3,153.2,206200,206200,197100,219800
2010-09-01,149.5,149.5,148.6,150.1,204600,204600,197500,215400
2010-10-01,147.5,147.5,148.3,146.0,201900,201900,197100,209500
2010-11-01,146.9,146.9,147.5,145.4,201100,201100,196000,208600
2010-12-01,148.0,148.0,148.1,147.2,202600,202600,196800,211200
2011-01-01,152.5,152.5,149.6,155.8,208800,208800,198800,223600
2011-02-01,156.9,156.9,155.6,158.5,214800,214800,206800,227400
2011-03-01,154.7,154.7,151.0,158.5,211800,211800,200700,227400
2011-04-01,156.2,156.2,152.1,161.3,213900,213900,202100,231400
2011-05-01,159.2,159.2,155.8,162.4,217900,217900,207100,233000
2011-06-01,158.9,158.9,156.4,161.2,217600,217600,207900,231300
2011-07-01,156.8,156.8,156.2,156.9,214700,214700,207600,225100
2011-08-01,158.4,158.4,157.6,158.5,216900,216900,209400,227500
2011-09-01,155.0,155.0,155.5,153.7,212200,212200,206700,220500
2011-10-01,157.3,157.3,158.7,154.8,215400,215400,210900,222200
2011-11-01,155.9,155.9,154.8,156.4,213400,213400,205700,224400
2011-12-01,156.7,156.7,157.6,154.8,214500,214500,209400,222100
2012-01-01,153.0,153.0,157.3,146.4,209500,209500,209000,210100
2012-02-01,146.4,146.4,147.0,145.2,200400,200400,195400,208300
2012-03-01,154.1,154.1,157.6,148.1,211000,211000,209500,212500
2012-04-01,155.4,155.4,157.1,152.8,212800,212800,208800,219200
2012-05-01,157.0,157.0,159.5,152.5,214900,214900,212000,218900
2012-06-01,154.2,154.2,155.1,152.1,211100,211100,206100,218200
2012-07-01,155.6,155.6,156.6,153.7,213000,213000,208100,220600
2012-08-01,152.2,152.2,152.1,152.3,208400,208400,202100,218600
2012-09-01,155.4,155.4,157.6,152.3,212700,212700,209500,218500
2012-10-01,154.0,154.0,153.1,154.8,210800,210800,203500,222200
2012-11-01,154.4,154.4,155.2,152.7,211400,211400,206300,219100
