Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,100.0,377100,406600,379900,409800,212600,188100
2005-02-01,101.2,101.2,100.7,101.3,100.4,102.4,381800,411600,382400,415300,213400,192600
2005-03-01,102.8,102.8,101.3,103.0,100.7,103.5,387600,418100,384800,422200,214100,194600
2005-04-01,102.6,102.7,102.1,102.8,100.2,104.0,386900,417600,388000,421300,213100,195600
2005-05-01,102.8,103.0,102.9,103.0,99.8,103.2,387500,418600,390800,422000,212100,194200
2005-06-01,103.7,104.0,103.3,104.1,99.3,102.6,391000,422800,392600,426400,211100,193000
2005-07-01,103.2,103.3,103.7,103.3,100.7,102.9,389000,420000,393800,423200,214100,193500
2005-08-01,104.2,104.3,103.9,104.3,102.1,103.3,392800,424000,394600,427600,217100,194300
2005-09-01,104.5,104.5,104.0,104.6,103.5,103.8,394100,425100,395200,428800,220000,195200
2005-10-01,106.8,106.9,104.3,107.2,104.0,105.8,402600,434700,396200,439500,221000,199000
2005-11-01,106.2,106.1,104.4,106.5,104.2,107.9,400300,431500,396800,436300,221600,202900
2005-12-01,108.6,108.6,104.7,109.2,104.6,111.3,409400,441600,397700,447500,222400,209300
2006-01-01,108.2,108.3,106.1,108.6,105.2,107.7,408000,440400,403100,445000,223600,202600
2006-02-01,108.5,108.8,107.5,108.9,105.6,105.3,409300,442200,408500,446300,224600,198100
2006-03-01,110.3,110.7,109.0,111.0,106.1,101.8,415900,450300,414100,454800,225500,191500
2006-04-01,111.0,111.5,109.0,111.8,107.2,104.5,418700,453200,414100,458000,227900,196600
2006-05-01,110.4,110.7,109.0,110.9,108.3,106.2,416300,450000,414000,454400,230300,199700
2006-06-01,109.9,110.0,108.7,110.2,109.5,107.8,414400,447400,412800,451600,232800,202700
2006-07-01,110.7,110.8,109.3,111.1,109.6,108.7,417500,450700,415400,455100,233000,204400
2006-08-01,110.7,110.8,109.9,110.9,109.7,109.6,417500,450500,417400,454600,233200,206200
2006-09-01,112.5,112.7,110.4,113.0,109.7,110.7,424400,458200,419300,463200,233200,208300
2006-10-01,112.1,112.2,111.1,112.4,110.6,110.5,422900,456400,421900,460700,235100,207800
