Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,100.0,265700,287300,236200,312700,190400,184000
2005-02-01,100.2,100.2,100.2,100.2,100.0,100.3,266300,287900,236600,313300,190400,184600
2005-03-01,100.6,100.6,100.3,100.6,100.3,101.0,267300,289100,236800,314700,190900,185900
2005-04-01,100.9,100.9,100.7,100.9,100.4,101.2,268000,290000,237900,315500,191200,186200
2005-05-01,101.3,101.3,100.9,101.3,100.7,102.1,269100,291000,238300,316800,191700,187800
2005-06-01,101.9,101.9,101.3,102.0,100.9,102.6,270700,292800,239300,319000,192100,188700
2005-07-01,102.4,102.5,101.7,102.6,101.5,102.7,272200,294600,240300,320900,193200,189000
2005-08-01,103.1,103.2,102.7,103.2,102.0,103.2,273900,296500,242500,322700,194200,189800
2005-09-01,103.5,103.5,102.8,103.5,102.4,103.6,274900,297300,242800,323600,195000,190700
2005-10-01,104.3,104.4,103.7,104.4,103.1,103.9,277000,300000,244900,326600,196300,191200
2005-11-01,104.9,105.0,104.3,105.0,103.6,104.9,278600,301600,246300,328400,197200,193100
2005-12-01,105.4,105.6,104.7,105.6,104.1,105.5,280100,303300,247400,330200,198300,194200
2006-01-01,106.1,106.3,105.6,106.3,104.6,105.8,281900,305400,249400,332300,199100,194700
2006-02-01,106.5,106.7,106.1,106.6,105.2,106.7,283100,306500,250500,333400,200300,196400
2006-03-01,107.3,107.5,107.1,107.4,105.5,106.6,285000,308900,252900,335800,200800,196200
2006-04-01,107.8,108.1,107.6,107.9,106.1,107.3,286500,310500,254100,337500,202100,197400
2006-05-01,108.2,108.5,108.0,108.3,106.5,107.5,287400,311600,255000,338700,202700,197800
2006-06-01,108.2,108.5,107.9,108.4,107.1,107.6,287600,311800,254800,339000,204000,198000
2006-07-01,108.4,108.6,108.1,108.4,107.2,108.2,288000,312000,255300,339100,204200,199000
2006-08-01,108.6,108.8,108.0,108.8,107.5,108.6,288600,312600,255000,340100,204600,199900
2006-09-01,109.3,109.4,108.6,109.3,108.1,109.3,290400,314300,256600,341700,205800,201100
2006-10-01,109.1,109.3,108.5,109.2,108.3,109.4,289800,313900,256200,341400,206200,201300
2006-11-01,109.5,109.7,109.1,109.6,108.7,109.5,291000,315200,257800,342600,207000,201500
2006-12-01,110.0,110.2,109.9,109.9,109.2,110.3,292300,316500,259600,343700,207900,202900
2007-01-01,110.4,110.5,110.1,110.3,109.5,110.9,293400,317600,260100,344900,208400,204100
2007-02-01,111.5,111.8,111.0,111.6,110.1,111.4,296300,321100,262200,349100,209700,205000
2007-03-01,112.1,112.3,111.5,112.2,111.0,112.6,297800,322600,263400,350800,211400,207100
2007-04-01,112.8,113.0,112.0,113.0,111.2,113.3,299600,324600,264500,353200,211700,208500
2007-05-01,113.5,113.7,112.7,113.7,112.0,114.4,301700,326700,266100,355500,213300,210500
2007-06-01,114.4,114.6,113.7,114.5,112.6,115.7,303900,329200,268500,357900,214400,212900
2007-07-01,115.2,115.5,114.7,115.3,113.3,116.5,306200,331800,270900,360600,215800,214300
2007-08-01,115.9,116.2,115.4,116.0,114.5,116.8,308000,333800,272600,362700,218100,215000
2007-09-01,116.6,116.8,115.9,116.6,114.4,117.6,309700,335700,273800,364600,217800,216300
2007-10-01,117.4,117.7,116.7,117.5,115.1,118.8,311800,338100,275700,367500,219100,218500
2007-11-01,118.0,118.2,117.3,118.1,115.8,119.8,313400,339700,277100,369400,220400,220400
2007-12-01,118.8,119.1,117.9,119.1,116.5,120.8,315700,342300,278400,372400,221800,222300
2008-01-01,119.5,119.8,118.7,119.7,117.3,122.1,317600,344100,280300,374200,223400,224700
2008-02-01,119.8,119.9,119.1,119.8,117.8,122.9,318200,344600,281200,374500,224200,226200
2008-03-01,119.6,119.8,118.8,119.6,117.6,123.6,317800,344100,280700,373900,223900,227400
2008-04-01,119.5,119.6,118.7,119.4,118.4,123.8,317600,343700,280400,373400,225400,227800
2008-05-01,119.3,119.4,118.6,119.0,118.6,123.8,316900,342900,280100,372200,225900,227800
2008-06-01,118.9,118.9,118.4,118.6,118.6,123.6,316000,341700,279600,370800,225800,227400
2008-07-01,118.4,118.3,117.4,118.1,118.8,123.8,314700,340000,277400,369300,226100,227800
2008-08-01,118.0,117.9,117.3,117.5,118.9,123.9,313500,338600,277100,367400,226300,228000
2008-09-01,117.7,117.4,117.0,116.9,118.8,123.5,312600,337400,276300,365700,226200,227200
2008-10-01,116.5,116.2,116.0,115.7,118.5,123.3,309600,333800,274000,361800,225600,226900
2008-11-01,115.7,115.3,114.5,115.0,118.3,122.6,307300,331200,270400,359700,225200,225500
2008-12-01,114.2,113.8,113.2,113.6,116.5,121.6,303500,327000,267400,355100,221800,223700
2009-01-01,113.2,113.0,112.4,112.6,116.5,118.5,300900,324600,265500,352200,221900,218000
2009-02-01,112.4,111.9,111.6,111.5,116.0,118.9,298600,321600,263700,348700,220800,218800
2009-03-01,112.3,111.9,111.0,111.7,115.8,118.9,298300,321500,262200,349200,220500,218800
2009-04-01,113.1,112.7,112.1,112.4,115.7,120.0,300500,323900,264700,351400,220300,220800
2009-05-01,114.5,114.1,113.3,113.8,116.1,121.3,304100,327900,267700,356000,221000,223100
2009-06-01,116.2,116.0,114.9,115.7,117.1,123.0,308700,333200,271400,361700,222900,226300
2009-07-01,117.9,117.7,116.5,117.4,118.5,125.0,313300,338100,275200,367200,225700,230000
2009-08-01,119.5,119.3,117.7,119.2,119.6,127.3,317600,342800,278100,372600,227800,234300
2009-09-01,121.2,121.0,119.2,120.9,120.6,129.3,322000,347600,281500,378000,229700,237900
2009-10-01,123.1,123.0,121.1,122.9,122.3,131.3,327100,353300,286100,384300,232900,241500
2009-11-01,124.7,124.4,122.1,124.6,123.5,133.6,331200,357500,288300,389700,235200,245800
2009-12-01,126.1,125.9,123.9,125.8,125.5,135.4,335000,361600,292700,393400,238900,249200
2010-01-01,127.1,126.7,123.9,126.9,126.8,137.7,337600,363900,292700,396800,241400,253300
2010-02-01,128.1,127.9,124.6,128.3,127.6,138.2,340400,367500,294200,401200,242900,254200
2010-03-01,128.6,128.4,125.1,128.7,128.6,138.8,341800,368900,295500,402600,244800,255300
2010-04-01,128.6,128.4,125.3,128.6,129.7,138.8,341800,368800,296000,402200,246900,255300
2010-05-01,128.4,128.1,124.8,128.4,130.0,138.5,341100,367900,294800,401600,247500,254900
2010-06-01,127.9,127.6,124.3,128.0,130.1,138.0,339900,366600,293700,400100,247800,253900
2010-07-01,127.7,127.4,124.6,127.7,129.5,137.5,339400,366100,294200,399300,246600,253000
2010-08-01,127.9,127.8,124.5,128.1,129.5,136.4,339800,367100,294100,400700,246500,250900
2010-09-01,128.1,128.0,124.6,128.3,130.1,136.9,340400,367700,294200,401300,247800,251900
2010-10-01,128.5,128.3,124.9,128.7,130.4,137.2,341300,368700,294900,402600,248200,252400
2010-11-01,129.2,129.1,125.6,129.5,131.2,137.7,343200,370800,296700,405000,249800,253300
