Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,100.0,233200,256900,236500,263300,161600,166500
2005-02-01,100.3,100.3,99.9,100.3,100.7,100.2,234000,257600,236200,264200,162800,166800
2005-03-01,99.9,99.9,100.0,99.9,99.1,100.3,232900,256700,236400,263000,160200,167000
2005-04-01,100.0,100.1,99.7,100.1,98.3,100.4,233200,257100,235900,263600,158900,167100
2005-05-01,99.8,99.8,100.1,99.8,98.8,100.4,232800,256400,236700,262700,159700,167100
2005-06-01,100.0,100.0,100.2,100.0,98.9,100.2,233200,256900,236900,263200,159900,166900
2005-07-01,100.0,100.0,100.0,100.0,98.9,100.5,233300,256900,236400,263200,159900,167300
2005-08-01,100.1,100.0,99.7,100.0,99.6,100.5,233400,256900,235800,263200,160900,167400
2005-09-01,100.0,99.6,99.9,99.7,100.4,100.5,233100,256000,236200,262400,162200,167400
2005-10-01,100.6,100.6,100.1,100.6,99.8,101.4,234700,258500,236800,265000,161200,168900
2005-11-01,101.1,101.0,100.8,101.0,100.4,102.2,235800,259500,238500,266000,162300,170200
2005-12-01,101.8,101.8,101.3,101.8,101.1,103.2,237400,261400,239600,268100,163400,171900
2006-01-01,102.3,102.4,102.1,102.5,100.4,103.5,238600,263000,241400,270000,162300,172400
2006-02-01,102.7,102.6,102.5,102.7,101.0,104.0,239400,263700,242500,270400,163200,173200
2006-03-01,103.6,103.6,103.2,103.8,102.4,104.6,241600,266200,244100,273200,165400,174100
2006-04-01,103.8,103.9,103.6,103.9,102.2,104.1,242000,266800,244900,273700,165200,173300
2006-05-01,104.3,104.4,103.9,104.6,102.8,103.7,243200,268300,245700,275300,166100,172600
2006-06-01,104.1,104.3,104.7,104.2,102.5,103.0,242700,267900,247500,274300,165600,171500
2006-07-01,104.7,104.9,104.6,104.9,103.3,104.1,244200,269500,247400,276100,167000,173300
2006-08-01,105.4,105.6,105.1,105.7,103.4,105.0,245900,271400,248500,278400,167100,174800
2006-09-01,105.9,106.2,105.2,106.3,102.4,105.7,247000,272700,248700,280000,165400,176000
2006-10-01,106.3,106.5,106.5,106.5,103.5,106.0,247800,273600,251900,280400,167200,176500
2006-11-01,106.5,106.8,107.4,106.6,103.8,106.0,248300,274300,253900,280700,167800,176500
2006-12-01,107.1,107.3,108.4,107.1,105.5,106.3,249700,275700,256300,281900,170500,177000
2007-01-01,107.9,108.1,108.6,108.0,107.1,106.7,251600,277700,256800,284400,173100,177600
2007-02-01,108.7,109.1,108.8,109.2,105.9,107.4,253500,280300,257200,287600,171200,178900
2007-03-01,109.2,109.5,108.5,109.7,107.0,108.0,254600,281400,256700,288800,172900,179900
2007-04-01,109.7,110.0,109.2,110.2,107.3,108.7,255900,282700,258300,290200,173400,181000
2007-05-01,110.3,110.7,109.8,110.9,107.1,109.4,257300,284400,259700,292000,173000,182100
2007-06-01,111.3,111.6,110.1,111.8,109.8,110.0,259600,286600,260300,294500,177400,183200
2007-07-01,111.9,112.3,111.2,112.6,108.7,110.4,260900,288400,262900,296400,175700,183800
2007-08-01,112.3,112.7,112.0,112.9,109.8,110.6,261900,289500,264800,297200,177400,184200
2007-09-01,113.2,113.5,112.6,113.8,110.9,110.7,264000,291700,266300,299700,179200,184300
2007-10-01,114.2,114.6,113.9,114.8,111.2,112.3,266300,294500,269400,302400,179700,187000
2007-11-01,115.4,116.0,115.5,116.3,111.7,113.9,269200,298100,273100,306100,180500,189600
2007-12-01,116.8,117.5,116.3,117.7,111.5,115.6,272300,301800,275100,309800,180200,192400
2008-01-01,116.5,117.1,117.5,117.1,111.9,115.7,271700,300900,277800,308200,180900,192700
2008-02-01,116.9,117.2,118.3,117.1,114.4,116.1,272500,301200,279700,308200,184900,193300
2008-03-01,116.9,117.4,118.4,117.1,114.1,116.4,272700,301600,280000,308200,184400,193800
2008-04-01,118.0,118.4,118.3,118.4,116.3,117.3,275200,304200,279800,311700,187900,195300
2008-05-01,118.6,119.0,118.1,119.1,116.8,118.7,276500,305700,279300,313600,188700,197700
2008-06-01,119.4,119.9,118.7,120.2,117.3,119.9,278500,308100,280800,316400,189600,199600
2008-07-01,119.7,120.0,119.2,120.3,118.9,120.5,279100,308300,281800,316700,192100,200600
2008-08-01,119.9,120.2,119.3,120.5,119.3,121.4,279600,308700,282200,317200,192800,202100
2008-09-01,120.2,120.3,119.7,120.5,120.4,122.0,280200,309100,283100,317300,194500,203200
2008-10-01,119.5,119.6,118.6,119.9,120.5,122.2,278600,307200,280600,315800,194700,203400
2008-11-01,119.0,118.8,117.3,119.2,122.7,121.9,277500,305200,277300,313800,198300,203000
2008-12-01,118.7,118.7,115.8,119.3,120.5,121.8,276800,305000,273800,314200,194800,202800
2009-01-01,118.7,118.5,117.0,118.8,122.0,121.7,276700,304500,276700,312900,197100,202700
2009-02-01,118.9,118.8,117.8,119.0,120.9,122.2,277200,305300,278700,313200,195400,203400
2009-03-01,119.2,119.2,119.0,119.3,121.5,122.5,277900,306300,281400,314200,196300,203900
2009-04-01,119.6,119.6,119.2,119.7,121.5,123.6,279000,307200,282000,315100,196400,205800
2009-05-01,120.3,120.1,120.0,120.2,123.7,124.6,280600,308600,283800,316500,199900,207500
2009-06-01,121.4,121.3,121.1,121.3,124.2,125.8,283100,311500,286400,319500,200700,209400
2009-07-01,122.8,122.7,122.8,122.7,125.4,127.1,286400,315300,290500,323200,202700,211600
2009-08-01,124.4,124.3,124.1,124.3,126.8,128.6,290100,319400,293600,327300,204900,214100
2009-09-01,125.7,125.7,126.0,125.6,127.5,130.1,293100,323000,297900,330800,206000,216600
2009-10-01,127.5,127.4,126.4,127.6,130.4,131.8,297300,327400,299000,335900,210700,219400
2009-11-01,128.8,128.9,127.2,129.2,130.8,133.8,300400,331100,300900,340200,211400,222800
2009-12-01,130.4,130.1,127.7,130.6,135.4,135.6,304100,334300,302000,343900,218800,225800
2010-01-01,131.2,131.0,127.8,131.8,133.8,138.0,306000,336500,302300,346900,216200,229700
2010-02-01,131.9,131.4,128.2,132.2,136.2,138.5,307700,337600,303200,348200,220100,230600
2010-03-01,132.5,131.8,129.1,132.5,137.8,141.1,308900,338600,305400,349000,222700,234900
2010-04-01,133.3,132.8,131.2,133.3,137.7,141.1,310900,341200,310200,351100,222600,235000
2010-05-01,134.0,133.5,132.3,133.8,138.6,141.7,312500,343000,313000,352300,224000,235900
2010-06-01,133.7,133.2,133.1,133.3,138.2,141.5,311900,342300,314800,350900,223400,235600
