Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,207200,207200,207000,207700
2005-02-01,100.5,100.5,100.4,100.9,208300,208300,207800,209600
2005-03-01,101.4,101.4,101.1,102.2,210000,210000,209200,212300
2005-04-01,101.8,101.8,101.5,102.3,211000,211000,210200,212400
2005-05-01,102.5,102.5,102.4,102.6,212400,212400,211900,213200
2005-06-01,103.1,103.1,103.1,103.0,213700,213700,213400,213900
2005-07-01,103.0,103.0,102.1,104.4,213400,213400,211300,216800
2005-08-01,102.8,102.8,101.2,105.6,213000,213000,209400,219300
2005-09-01,102.7,102.7,99.9,106.7,212700,212700,206800,221600
2005-10-01,103.2,103.2,101.0,106.9,213800,213800,209000,222100
2005-11-01,103.8,103.8,101.8,107.2,215100,215100,210800,222600
2005-12-01,104.5,104.5,102.8,107.3,216500,216500,212700,222900
2006-01-01,105.5,105.5,104.3,107.6,218600,218600,215900,223500
2006-02-01,106.5,106.5,105.8,107.6,220600,220600,219000,223500
2006-03-01,107.7,107.7,107.7,108.1,223100,223100,222900,224600
2006-04-01,106.9,106.9,105.8,108.7,221500,221500,219100,225700
2006-05-01,106.4,106.4,104.3,109.7,220500,220500,216000,227800
2006-06-01,105.8,105.8,102.9,110.6,219300,219300,212900,229800
2006-07-01,105.9,105.9,103.2,110.3,219400,219400,213700,229100
2006-08-01,106.0,106.0,103.7,109.8,219600,219600,214600,228100
2006-09-01,106.0,106.0,103.9,109.2,219700,219700,215000,226800
2006-10-01,106.5,106.5,104.3,110.2,220600,220600,215800,228800
2006-11-01,107.0,107.0,104.5,111.0,221700,221700,216300,230600
2006-12-01,107.6,107.6,104.9,112.2,223000,223000,217100,233000
2007-01-01,108.0,108.0,105.5,112.1,223700,223700,218400,232900
2007-02-01,108.2,108.2,106.0,111.7,224200,224200,219400,232100
2007-03-01,108.6,108.6,106.7,112.2,225000,225000,220900,233000
2007-04-01,109.0,109.0,106.7,112.8,225900,225900,220900,234300
2007-05-01,109.8,109.8,107.1,114.4,227600,227600,221700,237700
2007-06-01,110.7,110.7,107.5,115.7,229300,229300,222600,240400
2007-07-01,111.3,111.3,108.3,116.3,230600,230600,224200,241500
2007-08-01,111.9,111.9,109.2,116.5,231900,231900,226000,242000
2007-09-01,112.6,112.6,110.0,116.7,233400,233400,227600,242300
2007-10-01,112.4,112.4,109.9,116.8,232900,232900,227400,242600
2007-11-01,112.1,112.1,109.4,116.6,232200,232200,226500,242200
2007-12-01,112.3,112.3,109.4,116.9,232600,232600,226400,242900
2008-01-01,113.0,113.0,110.0,117.9,234200,234200,227800,244900
2008-02-01,113.6,113.6,110.5,118.6,235400,235400,228800,246400
2008-03-01,114.2,114.2,111.0,119.9,236600,236600,229800,249100
2008-04-01,113.5,113.5,111.1,117.3,235100,235100,230000,243600
2008-05-01,113.4,113.4,112.0,115.6,235000,235000,231900,240000
2008-06-01,113.1,113.1,112.9,113.4,234400,234400,233600,235500
2008-07-01,112.8,112.8,112.5,113.3,233700,233700,232800,235300
2008-08-01,112.3,112.3,111.5,113.5,232700,232700,230900,235800
2008-09-01,112.2,112.2,110.9,114.1,232500,232500,229500,237000
2008-10-01,112.1,112.1,110.9,114.3,232300,232300,229500,237400
2008-11-01,111.5,111.5,110.3,113.6,231100,231100,228400,235900
2008-12-01,111.6,111.6,110.0,114.0,231300,231300,227700,236700
2009-01-01,111.4,111.4,109.7,113.9,230800,230800,227000,236600
2009-02-01,110.4,110.4,108.6,113.1,228700,228700,224700,234900
2009-03-01,109.2,109.2,107.0,113.3,226300,226300,221400,235300
2009-04-01,109.0,109.0,107.2,112.0,225900,225900,221900,232600
2009-05-01,109.7,109.7,107.6,113.0,227200,227200,222700,234700
2009-06-01,110.2,110.2,108.3,113.5,228400,228400,224100,235700
2009-07-01,110.9,110.9,109.2,113.8,229800,229800,226000,236400
2009-08-01,111.4,111.4,110.0,113.8,230900,230900,227800,236300
2009-09-01,112.3,112.3,111.1,113.9,232600,232600,230000,236600
2009-10-01,113.8,113.8,111.9,117.0,235800,235800,231600,243100
2009-11-01,114.8,114.8,112.3,119.0,237800,237800,232400,247100
2009-12-01,117.0,117.0,113.3,122.7,242400,242400,234600,254800
2010-01-01,115.1,115.1,112.2,119.5,238500,238500,232300,248100
2010-02-01,116.8,116.8,114.3,120.4,242100,242100,236600,250100
2010-03-01,117.5,117.5,116.0,120.0,243500,243500,240200,249200
2010-04-01,118.1,118.1,115.4,122.2,244600,244600,238900,253800
2010-05-01,117.3,117.3,115.3,120.8,243100,243100,238700,250800
2010-06-01,116.7,116.7,114.1,121.2,241700,241700,236100,251800
2010-07-01,118.3,118.3,116.0,122.2,245200,245200,240100,253900
2010-08-01,118.9,118.9,115.8,124.2,246400,246400,239800,258000
2010-09-01,118.4,118.4,115.8,122.7,245400,245400,239800,254900
2010-10-01,116.1,116.1,114.2,119.5,240500,240500,236300,248100
2010-11-01,116.9,116.9,115.6,119.0,242200,242200,239300,247100
2010-12-01,115.0,115.0,112.4,119.1,238300,238300,232600,247400
2011-01-01,119.4,119.4,115.4,125.7,247500,247500,238900,261100
2011-02-01,118.0,118.0,114.1,123.5,244500,244500,236200,256500
2011-03-01,117.2,117.2,114.5,121.5,242800,242800,237000,252400
2011-04-01,119.3,119.3,117.4,122.0,247100,247100,243000,253400
2011-05-01,118.9,118.9,116.8,122.5,246300,246300,241700,254500
2011-06-01,119.9,119.9,118.3,122.9,248400,248400,244800,255200
2011-07-01,117.9,117.9,116.6,120.0,244200,244200,241300,249200
2011-08-01,117.5,117.5,117.7,117.3,243400,243400,243600,243700
2011-09-01,117.7,117.7,117.2,118.4,243800,243800,242700,245900
2011-10-01,119.4,119.4,119.0,120.1,247300,247300,246300,249400
2011-11-01,118.6,118.6,116.7,121.9,245700,245700,241500,253100
2011-12-01,119.7,119.7,118.6,121.3,248100,248100,245500,251900
2012-01-01,118.2,118.2,116.0,121.6,244900,244900,240100,252500
2012-02-01,120.1,120.1,117.1,124.2,248800,248800,242300,258000
2012-03-01,120.4,120.4,116.3,127.1,249400,249400,240700,264000
2012-04-01,119.2,119.2,114.9,126.2,247000,247000,237900,262100
2012-05-01,119.6,119.6,116.3,125.6,247900,247900,240800,260800
2012-06-01,119.9,119.9,117.1,124.7,248400,248400,242400,258900
2012-07-01,120.6,120.6,117.7,125.3,249800,249800,243700,260200
2012-08-01,122.3,122.3,117.8,130.1,253400,253400,243800,270200
2012-09-01,122.5,122.5,117.9,130.4,253900,253900,244000,270800
2012-10-01,123.6,123.6,120.7,128.6,256200,256200,249900,267100
2012-11-01,123.8,123.8,122.0,126.6,256500,256500,252600,262900
2012-12-01,124.0,124.0,121.6,127.8,257000,257000,251700,265500
2013-01-01,125.3,125.3,121.6,131.2,259600,259600,251800,272400
2013-02-01,124.1,124.1,119.1,131.6,257100,257100,246500,273300
2013-03-01,124.9,124.9,121.5,130.4,258700,258700,251600,270800
2013-04-01,125.1,125.1,122.4,129.5,259200,259200,253400,268900
2013-05-01,125.4,125.4,123.3,129.7,259800,259800,255300,269400
2013-06-01,123.6,123.6,121.0,128.2,256100,256100,250400,266300
2013-07-01,124.0,124.0,120.1,130.7,257000,257000,248700,271400
2013-08-01,122.7,122.7,119.3,128.6,254200,254200,246900,267200
2013-09-01,123.8,123.8,120.8,128.9,256600,256600,250000,267800
2013-10-01,123.5,123.5,118.3,132.0,255800,255800,244900,274200
2013-11-01,124.6,124.6,120.6,131.3,258200,258200,249600,272800
2013-12-01,124.8,124.8,120.1,132.8,258600,258600,248600,275900
2014-01-01,125.6,125.6,122.4,131.0,260300,260300,253300,272000
2014-02-01,129.2,129.2,126.5,133.2,267800,267800,261800,276600
2014-03-01,127.9,127.9,123.2,136.0,265100,265100,255100,282400
2014-04-01,128.5,128.5,122.3,139.2,266300,266300,253100,289100
2014-05-01,126.8,126.8,120.2,139.0,262800,262800,248900,288800
2014-06-01,129.2,129.2,121.5,142.1,267600,267600,251500,295100
2014-07-01,128.7,128.7,121.9,140.0,266700,266700,252400,290800
2014-08-01,128.7,128.7,122.6,139.0,266700,266700,253800,288800
2014-09-01,128.2,128.2,121.4,139.8,265700,265700,251400,290400
2014-10-01,128.3,128.3,122.0,138.5,265800,265800,252500,287700
2014-11-01,129.5,129.5,122.9,140.5,268300,268300,254300,291800
2014-12-01,129.4,129.4,124.6,137.5,268100,268100,258000,285600
2015-01-01,129.9,129.9,124.5,138.6,269200,269200,257800,287800
2015-02-01,128.2,128.2,124.2,134.6,265700,265700,257100,279600
2015-03-01,127.6,127.6,123.0,135.3,264400,264400,254700,281000
2015-04-01,127.6,127.6,124.0,133.5,264300,264300,256600,277300
2015-05-01,129.7,129.7,126.9,135.3,268800,268800,262700,281000
2015-06-01,131.9,131.9,128.6,137.0,273200,273200,266300,284600
2015-07-01,134.0,134.0,129.8,140.9,277600,277600,268700,292600
2015-08-01,135.3,135.3,131.0,142.4,280400,280400,271200,295700
2015-09-01,136.5,136.5,133.1,142.1,282800,282800,275600,295200
2015-10-01,137.0,137.0,133.6,142.0,283900,283900,276600,295000
2015-11-01,138.6,138.6,134.6,144.9,287200,287200,278700,300900
2015-12-01,139.3,139.3,135.0,146.4,288600,288600,279400,304100
2016-01-01,140.2,140.2,135.0,148.0,290500,290500,279400,307300
2016-02-01,139.8,139.8,134.5,148.1,289700,289700,278500,307600
2016-03-01,140.5,140.5,135.7,148.6,291200,291200,280900,308700
2016-04-01,141.1,141.1,138.0,145.9,292300,292300,285600,303100
2016-05-01,141.8,141.8,138.9,147.0,293900,293900,287500,305400
2016-06-01,144.5,144.5,141.0,149.8,299400,299400,291900,311200
2016-07-01,148.1,148.1,144.9,153.1,306800,306800,299900,317900
2016-08-01,152.3,152.3,148.3,158.3,315600,315600,307000,328700
2016-09-01,155.4,155.4,151.8,161.0,321900,321900,314200,334400
2016-10-01,160.3,160.3,156.0,166.3,332200,332200,323000,345400
2016-11-01,158.5,158.5,154.5,164.5,328400,328400,319900,341700
2016-12-01,162.8,162.8,156.5,172.4,337300,337300,324000,358100
2017-01-01,164.1,164.1,160.7,168.6,340100,340100,332700,350200
2017-02-01,169.7,169.7,165.2,176.8,351600,351600,341900,367200
2017-03-01,174.5,174.5,172.2,178.4,361600,361600,356400,370600
2017-04-01,181.2,181.2,177.4,186.8,375400,375400,367300,388000
2017-05-01,184.0,184.0,180.2,190.3,381300,381300,373100,395300
2017-06-01,187.0,187.0,183.5,192.1,387500,387500,379800,399000
2017-07-01,184.3,184.3,179.7,191.4,381800,381800,371900,397600
2017-08-01,182.4,182.4,178.5,188.3,378000,378000,369400,391000
2017-09-01,182.5,182.5,176.0,192.5,378200,378200,364300,399900
2017-10-01,184.4,184.4,178.0,193.0,382000,382000,368500,400900
2017-11-01,187.5,187.5,181.2,197.2,388500,388500,375000,409500
2017-12-01,188.0,188.0,181.3,198.2,389600,389600,375300,411700
2018-01-01,190.8,190.8,183.1,201.5,395300,395300,379000,418500
2018-02-01,191.8,191.8,186.0,200.7,397400,397400,385000,416800
2018-03-01,195.9,195.9,191.5,203.1,406000,406000,396400,421900
2018-04-01,195.3,195.3,188.1,205.9,404600,404600,389400,427600
2018-05-01,198.7,198.7,192.4,208.1,411700,411700,398200,432300
