Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,163500,163400,167100,158000,147300
2005-02-01,97.6,97.8,96.1,100.1,100.5,159600,159800,160500,158200,148000
2005-03-01,100.7,100.9,101.1,100.4,101.0,164700,164800,169000,158600,148700
2005-04-01,100.6,100.7,101.7,99.4,101.4,164500,164600,169900,157100,149300
2005-05-01,99.8,99.9,100.9,98.5,101.8,163200,163300,168600,155600,150000
2005-06-01,100.9,101.0,103.4,97.2,102.3,164900,165000,172700,153600,150700
2005-07-01,100.1,100.2,101.1,98.7,102.8,163700,163700,169000,155900,151400
2005-08-01,102.8,102.9,105.0,99.9,103.3,168100,168200,175500,157800,152100
2005-09-01,105.5,105.7,108.3,100.8,103.7,172500,172700,180900,159200,152800
2005-10-01,103.1,103.2,104.8,100.8,104.2,168500,168600,175100,159200,153500
2005-11-01,105.1,105.2,108.3,100.4,104.7,171800,171900,180900,158700,154200
2005-12-01,100.9,101.0,102.2,100.1,105.2,165000,165000,170700,158200,154900
2006-01-01,103.7,103.8,105.7,100.8,105.5,169500,169600,176600,159300,155400
2006-02-01,105.9,106.1,109.1,101.2,105.9,173200,173300,182300,159900,156000
2006-03-01,106.0,106.1,109.0,101.6,106.2,173300,173400,182200,160500,156500
2006-04-01,106.8,106.9,109.9,102.5,106.6,174600,174700,183600,161900,157000
2006-05-01,106.0,106.1,107.8,103.4,106.9,173300,173300,180200,163300,157500
2006-06-01,106.9,107.0,108.9,104.1,107.3,174800,174900,182000,164400,158000
2006-07-01,107.8,107.9,109.8,104.7,106.2,176200,176300,183500,165500,156400
2006-08-01,106.1,106.2,106.9,105.2,105.1,173500,173600,178700,166200,154800
2006-09-01,106.4,106.5,106.8,105.3,103.9,174000,174100,178400,166400,153100
2006-10-01,108.9,109.1,110.5,106.8,102.9,178000,178200,184600,168800,151500
2006-11-01,108.1,108.3,108.5,108.0,101.8,176700,176900,181300,170600,150000
2006-12-01,110.6,110.8,112.4,109.2,100.7,180900,181100,187900,172500,148400
2007-01-01,110.6,110.8,111.3,109.9,101.1,180800,181000,186000,173700,148900
2007-02-01,111.1,111.3,111.8,110.2,101.5,181600,181800,186900,174100,149500
2007-03-01,112.0,112.2,113.1,110.8,101.8,183100,183300,189000,175000,150000
2007-04-01,111.9,112.0,112.1,112.0,102.2,182900,183000,187400,177000,150600
2007-05-01,114.5,114.7,115.7,113.4,102.6,187200,187400,193300,179100,151100
2007-06-01,115.3,115.5,116.0,114.7,103.0,188500,188700,193900,181300,151700
2007-07-01,117.9,118.1,119.4,115.7,104.4,192800,192900,199600,182800,153800
2007-08-01,118.0,118.1,119.4,116.4,105.8,192900,193000,199500,183900,155900
2007-09-01,118.0,118.1,118.6,116.6,107.3,192900,193000,198100,184200,158100
2007-10-01,118.2,118.4,119.3,117.1,108.8,193300,193400,199300,185000,160300
2007-11-01,117.4,117.5,117.8,117.0,110.4,191900,192000,196900,184900,162600
2007-12-01,117.0,117.2,117.6,117.1,111.9,191300,191500,196500,185000,164800
2008-01-01,120.6,120.7,122.3,118.2,112.4,197100,197300,204400,186800,165600
2008-02-01,119.7,119.9,120.6,118.7,113.0,195700,195900,201600,187600,166400
2008-03-01,119.6,119.8,120.1,119.4,113.4,195600,195700,200700,188700,167100
2008-04-01,121.0,121.2,122.4,119.5,114.9,197800,198000,204500,188800,169300
2008-05-01,120.9,121.1,121.8,119.9,115.4,197600,197800,203600,189500,170000
2008-06-01,121.2,121.4,121.7,121.0,116.2,198200,198400,203400,191200,171100
2008-07-01,118.8,119.0,118.8,119.2,115.2,194200,194400,198500,188400,169700
2008-08-01,120.7,120.9,123.3,117.5,114.3,197400,197500,206100,185600,168300
2008-09-01,119.9,120.1,123.5,114.8,113.3,196100,196300,206300,181400,166900
2008-10-01,118.8,119.1,121.4,115.9,112.6,194300,194600,202900,183200,165900
2008-11-01,119.7,119.9,122.4,116.8,111.7,195700,195900,204500,184500,164500
2008-12-01,119.3,119.5,121.4,117.5,110.7,195000,195200,202800,185600,163100
2009-01-01,119.1,119.3,120.7,117.7,109.8,194800,195000,201700,185900,161800
2009-02-01,119.1,119.3,121.5,116.8,108.8,194700,194900,203000,184600,160300
2009-03-01,116.9,117.1,118.4,115.8,108.1,191100,191400,197900,183000,159200
2009-04-01,116.8,117.0,119.0,114.6,107.2,191000,191200,198900,181000,157900
2009-05-01,117.5,117.7,120.6,113.8,106.3,192100,192300,201500,179800,156600
2009-06-01,117.4,117.7,120.5,114.1,105.6,192000,192300,201400,180300,155500
2009-07-01,119.3,119.5,122.3,115.6,107.2,195000,195300,204400,182700,157900
2009-08-01,118.5,118.7,120.2,116.9,109.2,193700,194000,200900,184700,160800
2009-09-01,120.6,120.8,122.9,117.5,111.6,197200,197400,205400,185600,164400
2009-10-01,120.9,121.1,123.5,117.6,113.8,197600,197800,206300,185800,167700
2009-11-01,120.7,120.9,123.2,117.8,116.2,197300,197600,205900,186200,171100
2009-12-01,121.7,121.8,124.7,118.0,118.6,198900,199100,208300,186500,174700
2010-01-01,116.7,116.8,115.8,118.6,116.6,190800,190900,193500,187400,171800
2010-02-01,120.9,121.2,122.3,119.8,111.1,197700,198000,204300,189300,163700
2010-03-01,121.7,121.8,126.2,115.6,121.2,198900,199000,210800,182700,178500
2010-04-01,121.0,121.1,125.5,114.8,122.8,197800,197900,209700,181400,180900
2010-05-01,122.8,122.8,128.4,114.7,125.0,200700,200700,214500,181300,184100
2010-06-01,119.4,119.5,123.0,114.6,125.8,195300,195300,205500,181100,185300
2010-07-01,119.9,120.0,124.1,114.1,130.5,196000,196100,207300,180300,192200
2010-08-01,121.1,121.2,124.5,116.5,127.6,198000,198100,208000,184100,187900
2010-09-01,121.5,121.6,124.6,116.7,127.5,198700,198700,208200,184400,187800
2010-10-01,120.5,120.6,122.8,117.2,130.0,197000,197100,205200,185100,191500
2010-11-01,123.1,123.1,127.1,117.2,130.4,201200,201200,212400,185200,192100
2010-12-01,122.3,122.4,126.8,115.9,127.2,199900,200000,211800,183100,187300
2011-01-01,120.3,120.4,124.8,113.8,126.7,196700,196700,208500,179800,186600
2011-02-01,121.2,121.2,125.7,114.4,134.7,198100,198000,210100,180800,198400
2011-03-01,123.5,123.6,127.0,118.5,130.3,201900,202000,212300,187200,191900
2011-04-01,124.2,124.4,126.7,120.9,121.9,203100,203200,211700,191100,179600
2011-05-01,122.4,122.6,123.2,121.8,119.0,200200,200300,205800,192400,175300
2011-06-01,124.0,124.1,126.5,120.4,127.2,202700,202800,211400,190300,187300
2011-07-01,124.8,125.0,126.2,123.4,127.6,204100,204200,210800,194900,188000
2011-08-01,121.7,121.8,125.1,116.8,126.1,198900,199100,209000,184600,185700
2011-09-01,121.5,121.5,124.8,116.1,142.0,198700,198600,208600,183500,209100
2011-10-01,126.6,126.7,129.7,121.7,137.9,207000,207000,216700,192300,203200
2011-11-01,124.7,124.9,126.9,121.8,127.8,203900,204100,212000,192400,188200
2011-12-01,124.6,124.8,125.4,123.7,132.7,203700,203900,209500,195400,195400
2012-01-01,126.4,126.6,128.7,123.4,125.5,206700,206900,215000,195000,184800
2012-02-01,127.2,127.5,132.3,120.0,121.1,208000,208300,221000,189600,178400
2012-03-01,125.6,125.9,126.9,124.6,118.7,205400,205700,212000,196800,174800
2012-04-01,126.0,126.2,127.5,124.3,120.6,206000,206200,213000,196400,177600
2012-05-01,126.5,126.9,127.7,125.6,108.2,206800,207300,213400,198400,159400
2012-06-01,127.9,128.2,129.9,125.6,120.8,209100,209400,217100,198400,178000
2012-07-01,125.7,125.8,127.4,123.7,132.1,205500,205600,212900,195400,194600
2012-08-01,128.1,128.3,129.0,127.4,131.4,209500,209700,215600,201300,193600
2012-09-01,126.9,127.1,129.4,123.4,128.0,207400,207600,216200,194900,188500
2012-10-01,127.0,127.2,130.3,122.1,135.3,207700,207900,217700,192900,199300
2012-11-01,125.8,125.9,129.6,120.4,132.0,205700,205800,216600,190200,194400
2012-12-01,126.4,126.6,130.3,120.5,128.2,206700,206800,217700,190400,188800
2013-01-01,126.7,126.9,129.6,122.7,132.2,207200,207300,216600,193800,194800
2013-02-01,123.0,123.1,122.8,123.9,132.9,201100,201200,205200,195700,195700
2013-03-01,126.9,127.0,129.6,123.0,136.7,207400,207500,216600,194300,201400
2013-04-01,125.0,125.2,127.2,122.3,129.5,204300,204600,212600,193200,190700
2013-05-01,126.2,126.4,129.3,122.0,125.5,206300,206500,216100,192800,184900
2013-06-01,125.3,125.5,127.6,122.5,126.8,204900,205100,213300,193600,186800
2013-07-01,125.6,125.9,127.4,123.8,122.4,205400,205800,212900,195600,180300
2013-08-01,126.1,126.3,128.7,123.0,127.9,206200,206400,215000,194400,188400
2013-09-01,126.2,126.4,126.2,126.8,131.8,206400,206600,210900,200400,194100
2013-10-01,125.6,125.8,126.0,125.0,129.7,205300,205500,210500,197500,191100
2013-11-01,125.4,125.6,126.2,124.9,128.9,205000,205200,210800,197300,189800
2013-12-01,133.6,133.8,138.9,125.6,132.2,218400,218700,232100,198500,194800
2014-01-01,126.9,127.2,129.1,124.4,125.4,207500,207800,215700,196500,184700
2014-02-01,130.6,130.9,135.5,123.9,124.5,213500,213900,226500,195700,183400
2014-03-01,126.7,127.1,128.5,125.1,124.6,207200,207600,214700,197700,183600
2014-04-01,129.5,129.7,131.9,126.8,128.6,211700,212000,220400,200400,189500
2014-05-01,128.5,128.8,130.9,125.9,129.7,210100,210400,218800,198900,191100
2014-06-01,128.5,128.8,130.2,127.3,123.8,210100,210500,217500,201200,182300
2014-07-01,130.0,130.2,131.4,128.4,131.3,212500,212800,219600,202800,193400
2014-08-01,130.6,130.9,132.7,128.7,131.8,213500,213900,221800,203400,194100
2014-09-01,131.4,131.6,135.6,126.2,133.7,214800,215100,226600,199400,197000
