Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,100.0,180900,182200,183200,181300,174500,127000
2005-02-01,104.5,104.7,109.3,100.0,98.6,100.1,189100,190800,200200,181300,172000,127100
2005-03-01,100.3,100.4,100.7,100.3,97.1,100.2,181500,183000,184500,181800,169500,127300
2005-04-01,101.5,101.6,104.3,99.1,95.7,100.3,183600,185200,191100,179600,167000,127400
2005-05-01,100.9,101.2,104.4,98.2,94.3,100.5,182600,184400,191200,178000,164500,127600
2005-06-01,100.8,101.0,105.0,96.8,92.9,100.6,182300,184100,192400,175500,162100,127700
2005-07-01,102.5,102.9,107.3,98.1,91.6,100.7,185500,187400,196500,177800,159800,127900
2005-08-01,102.2,102.5,105.9,99.1,90.3,100.9,184800,186700,194100,179600,157500,128100
2005-09-01,101.8,102.1,104.3,100.1,88.9,100.9,184100,186100,191000,181500,155200,128200
2005-10-01,102.4,102.7,105.0,100.6,87.6,101.1,185300,187200,192300,182300,152900,128400
2005-11-01,103.6,104.0,106.8,101.0,86.4,101.2,187400,189400,195700,183200,150700,128500
2005-12-01,105.0,105.4,109.2,101.5,85.1,101.3,190000,192100,200000,184100,148500,128700
2006-01-01,106.2,106.6,111.1,102.1,91.2,101.6,192100,194200,203500,185100,159200,129000
2006-02-01,106.0,106.2,109.7,102.5,97.9,101.7,191700,193500,201000,185900,170800,129200
2006-03-01,106.0,106.1,109.2,103.1,104.9,102.0,191800,193400,200100,187000,183100,129500
2006-04-01,107.2,107.2,111.7,102.9,112.6,102.1,194000,195400,204600,186600,196400,129700
2006-05-01,105.2,105.0,107.1,103.0,120.7,102.4,190300,191300,196200,186700,210600,130000
2006-06-01,106.1,105.8,108.6,102.6,129.5,102.5,192000,192800,199000,186100,225900,130200
2006-07-01,106.1,105.8,108.1,103.1,126.4,104.2,191900,192700,198100,186900,220600,132300
2006-08-01,106.7,106.5,109.7,103.2,123.5,105.8,193000,194000,201000,187100,215500,134400
2006-09-01,106.6,106.3,109.3,103.4,120.6,107.5,192800,193700,200300,187500,210500,136500
2006-10-01,106.9,106.7,109.4,104.0,117.8,109.1,193400,194400,200400,188500,205600,138600
2006-11-01,108.2,108.1,111.5,104.5,115.1,110.9,195800,196900,204300,189500,200800,140800
2006-12-01,109.7,109.6,113.8,105.1,112.4,112.6,198500,199700,208500,190500,196200,143000
2007-01-01,108.4,108.3,111.1,105.4,112.1,111.3,196100,197300,203600,191000,195600,141400
2007-02-01,109.2,109.1,112.7,105.6,111.7,110.1,197500,198800,206400,191500,194900,139800
2007-03-01,109.9,109.9,114.0,105.8,111.3,108.8,198800,200300,208900,191900,194300,138200
2007-04-01,109.6,109.6,112.8,106.5,111.0,107.6,198200,199700,206700,193100,193700,136600
2007-05-01,112.0,112.2,117.1,107.3,110.7,106.3,202600,204400,214500,194600,193100,135000
2007-06-01,111.9,112.2,116.1,108.1,110.3,105.1,202500,204400,212700,195900,192500,133500
2007-07-01,111.0,111.1,113.8,108.2,112.6,104.0,200800,202500,208500,196100,196400,132100
2007-08-01,112.9,113.0,118.1,107.9,114.8,102.9,204200,205900,216400,195700,200300,130700
2007-09-01,114.8,114.9,121.6,108.1,117.1,101.8,207600,209400,222800,196000,204400,129300
2007-10-01,114.3,114.4,120.1,108.7,119.5,100.7,206700,208400,220100,197100,208500,127900
2007-11-01,114.0,114.1,119.3,109.2,121.9,99.7,206300,207900,218600,198000,212700,126600
2007-12-01,113.9,113.9,117.5,109.8,124.4,98.7,206000,207500,215300,199100,217000,125300
2008-01-01,115.1,115.1,119.2,110.9,125.8,101.0,208200,209700,218400,201000,219500,128300
2008-02-01,115.4,115.4,119.3,111.5,127.3,102.9,208800,210200,218500,202200,222100,130700
2008-03-01,117.4,117.3,122.4,112.5,129.5,105.3,212300,213800,224300,203900,225900,133700
2008-04-01,115.7,115.5,118.2,112.9,131.6,107.2,209300,210400,216600,204600,229700,136200
2008-05-01,116.7,116.6,119.8,113.3,133.7,109.6,211200,212400,219400,205400,233300,139200
2008-06-01,118.4,118.2,122.5,113.7,136.2,111.8,214100,215400,224400,206200,237600,142000
2008-07-01,119.3,119.2,123.9,114.0,135.4,111.1,215900,217100,227000,206700,236200,141100
2008-08-01,117.7,117.5,120.6,114.3,134.0,109.8,212900,214100,220900,207300,233900,139500
2008-09-01,118.7,118.6,121.2,115.7,131.3,108.0,214700,216100,222000,209700,229100,137200
2008-10-01,118.9,118.8,121.1,116.3,130.0,107.6,215000,216500,221900,210900,226800,136700
2008-11-01,118.9,118.9,121.6,116.6,128.9,107.4,215100,216600,222700,211400,224900,136400
2008-12-01,113.4,113.2,109.1,116.8,127.4,106.5,205200,206200,199900,211800,222300,135200
2009-01-01,120.6,120.6,123.7,117.3,127.6,107.9,218200,219800,226600,212600,222700,137000
2009-02-01,118.5,118.4,120.3,116.8,127.5,108.7,214300,215800,220300,211800,222500,138100
2009-03-01,118.9,118.8,120.7,117.2,128.0,109.9,215000,216500,221200,212500,223400,139600
2009-04-01,119.6,119.5,122.3,116.6,127.8,111.7,216400,217800,224100,211400,223000,141800
