Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,106300,106300,110800,101300
2005-02-01,99.1,99.1,98.7,99.6,105300,105300,109400,100900
2005-03-01,98.6,98.6,97.7,99.2,104800,104800,108200,100500
2005-04-01,97.6,97.6,97.7,98.2,103800,103800,108200,99500
2005-05-01,97.7,97.7,98.6,96.9,103900,103900,109200,98200
2005-06-01,97.5,97.5,98.7,95.7,103600,103600,109400,96900
2005-07-01,98.2,98.2,98.9,97.5,104400,104400,109600,98800
2005-08-01,99.1,99.1,98.7,99.3,105300,105300,109400,100600
2005-09-01,99.8,99.8,97.7,100.9,106100,106100,108200,102200
2005-10-01,100.8,100.8,99.8,102.3,107200,107200,110600,103600
2005-11-01,102.1,102.1,101.1,103.6,108500,108500,112000,104900
2005-12-01,102.9,102.9,102.8,103.8,109400,109400,113900,105100
2006-01-01,105.2,105.2,104.2,106.4,111800,111800,115500,107800
2006-02-01,107.3,107.3,107.1,107.6,114100,114100,118700,109000
2006-03-01,108.8,108.8,109.5,108.9,115700,115700,121300,110300
2006-04-01,110.6,110.6,111.6,109.0,117600,117600,123600,110400
2006-05-01,110.3,110.3,111.6,108.9,117200,117200,123600,110300
2006-06-01,110.5,110.5,111.7,108.9,117500,117500,123800,110300
2006-07-01,110.8,110.8,111.9,109.5,117800,117800,124000,110900
2006-08-01,111.0,111.0,111.6,110.2,118000,118000,123700,111600
2006-09-01,111.2,111.2,110.5,110.7,118200,118200,122400,112100
2006-10-01,113.2,113.2,116.1,109.9,120300,120300,128600,111300
2006-11-01,115.5,115.5,121.1,108.9,122800,122800,134200,110300
2006-12-01,117.5,117.5,126.6,106.9,124900,124900,140300,108300
2007-01-01,118.8,118.8,125.8,110.0,126300,126300,139400,111400
2007-02-01,120.0,120.0,126.0,112.4,127600,127600,139600,113900
2007-03-01,121.4,121.4,126.7,115.0,129000,129000,140400,116500
2007-04-01,122.0,122.0,125.3,118.0,129700,129700,138800,119500
2007-05-01,122.5,122.5,123.7,120.9,130200,130200,137100,122500
2007-06-01,122.9,122.9,121.8,123.8,130600,130600,134900,125400
2007-07-01,123.7,123.7,124.0,123.5,131500,131500,137400,125100
2007-08-01,124.5,124.5,125.6,123.2,132300,132300,139200,124800
2007-09-01,125.1,125.1,126.4,122.3,133000,133000,140000,123900
2007-10-01,122.6,122.6,124.6,120.2,130300,130300,138100,121800
2007-11-01,119.9,119.9,121.8,118.0,127500,127500,134900,119500
2007-12-01,117.0,117.0,119.6,114.4,124400,124400,132500,115900
2008-01-01,118.8,118.8,121.9,115.1,126300,126300,135100,116600
2008-02-01,119.7,119.7,123.2,115.8,127200,127200,136500,117300
2008-03-01,121.1,121.1,125.8,116.1,128700,128700,139400,117600
2008-04-01,121.6,121.6,126.7,116.6,129300,129300,140400,118100
2008-05-01,124.6,124.6,130.1,117.6,132400,132400,144200,119100
2008-06-01,126.2,126.2,132.4,119.0,134200,134200,146700,120500
2008-07-01,126.8,126.8,132.2,120.6,134800,134800,146500,122200
2008-08-01,127.9,127.9,132.9,122.2,136000,136000,147300,123800
2008-09-01,129.4,129.4,133.8,123.2,137600,137600,148200,124800
2008-10-01,129.4,129.4,132.9,125.4,137600,137600,147200,127000
2008-11-01,128.8,128.8,131.0,126.2,136900,136900,145100,127800
2008-12-01,128.2,128.2,130.3,126.0,136300,136300,144400,127600
2009-01-01,126.6,126.6,129.7,122.5,134600,134600,143700,124100
2009-02-01,124.3,124.3,127.4,120.5,132100,132100,141200,122100
2009-03-01,122.0,122.0,126.7,117.3,129700,129700,140400,118800
2009-04-01,123.8,123.8,128.2,118.4,131600,131600,142100,119900
2009-05-01,125.4,125.4,129.8,119.1,133300,133300,143800,120600
2009-06-01,126.2,126.2,130.7,120.7,134200,134200,144800,122300
2009-07-01,126.7,126.7,130.7,121.8,134700,134700,144800,123400
2009-08-01,127.5,127.5,131.5,122.5,135500,135500,145700,124100
2009-09-01,128.0,128.0,132.1,122.4,136100,136100,146400,124000
2009-10-01,131.6,131.6,134.7,127.8,139900,139900,149200,129500
2009-11-01,134.2,134.2,136.3,131.6,142700,142700,151000,133300
2009-12-01,137.2,137.2,139.4,134.4,145800,145800,154400,136100
2010-01-01,140.2,140.2,140.3,139.0,149000,149000,155500,140800
2010-02-01,144.0,144.0,141.2,147.5,153100,153100,156500,149400
2010-03-01,137.0,137.0,137.8,136.7,145600,145600,152700,138500
2010-04-01,136.5,136.5,136.6,137.2,145100,145100,151300,139000
2010-05-01,133.5,133.5,136.7,128.3,141900,141900,151500,130000
2010-06-01,134.3,134.3,134.8,133.4,142800,142800,149400,135100
2010-07-01,133.6,133.6,136.0,130.2,142000,142000,150700,131900
2010-08-01,134.7,134.7,138.0,130.1,143200,143200,152900,131800
2010-09-01,136.0,136.0,139.6,130.9,144600,144600,154700,132600
2010-10-01,134.1,134.1,137.5,129.2,142500,142500,152400,130900
2010-11-01,134.3,134.3,140.2,126.4,142800,142800,155300,128000
2010-12-01,133.9,133.9,136.4,130.2,142300,142300,151100,131900
2011-01-01,135.0,135.0,134.3,134.5,143500,143500,148800,136200
2011-02-01,136.7,136.7,138.2,134.2,145300,145300,153100,135900
2011-03-01,138.3,138.3,138.8,139.3,147000,147000,153800,141100
2011-04-01,140.2,140.2,139.7,140.3,149000,149000,154800,142100
2011-05-01,140.8,140.8,140.1,140.6,149700,149700,155200,142400
2011-06-01,142.7,142.7,141.5,143.8,151700,151700,156800,145700
2011-07-01,145.0,145.0,146.0,143.1,154100,154100,161800,145000
2011-08-01,144.6,144.6,144.1,144.5,153700,153700,159700,146400
2011-09-01,144.6,144.6,143.7,145.2,153700,153700,159200,147100
2011-10-01,145.7,145.7,147.3,143.1,154900,154900,163200,145000
2011-11-01,147.4,147.4,147.1,147.4,156700,156700,163000,149300
2011-12-01,149.3,149.3,147.5,150.8,158700,158700,163400,152800
2012-01-01,146.3,146.3,143.9,147.9,155500,155500,159400,149800
2012-02-01,149.0,149.0,146.8,151.5,158400,158400,162600,153500
2012-03-01,150.2,150.2,148.7,153.1,159700,159700,164800,155100
2012-04-01,149.8,149.8,152.3,146.9,159200,159200,168800,148800
2012-05-01,151.1,151.1,150.5,150.7,160600,160600,166800,152700
2012-06-01,148.5,148.5,150.8,145.4,157900,157900,167100,147300
2012-07-01,149.8,149.8,148.8,150.7,159200,159200,164900,152700
2012-08-01,149.8,149.8,149.0,150.3,159200,159200,165100,152300
2012-09-01,147.9,147.9,144.5,151.8,157200,157200,160100,153800
2012-10-01,148.4,148.4,144.1,153.4,157800,157800,159700,155400
2012-11-01,149.5,149.5,142.6,157.4,158900,158900,158000,159400
2012-12-01,148.7,148.7,146.1,151.1,158100,158100,161900,153100
2013-01-01,156.0,156.0,149.9,162.2,165800,165800,166100,164300
2013-02-01,153.7,153.7,152.7,154.4,163400,163400,169200,156400
2013-03-01,144.4,144.4,143.4,145.8,153500,153500,158900,147700
2013-04-01,147.4,147.4,147.3,149.0,156700,156700,163200,150900
2013-05-01,148.3,148.3,144.0,152.9,157600,157600,159600,154900
2013-06-01,149.5,149.5,148.9,149.8,158900,158900,165000,151700
2013-07-01,151.7,151.7,150.3,153.1,161300,161300,166500,155100
2013-08-01,150.5,150.5,146.7,154.8,160000,160000,162500,156800
2013-09-01,153.5,153.5,148.0,160.1,163200,163200,164000,162200
2013-10-01,151.5,151.5,145.3,158.3,161000,161000,161000,160400
2013-11-01,157.9,157.9,152.3,164.0,167800,167800,168800,166100
2013-12-01,156.0,156.0,152.2,160.0,165800,165800,168600,162100
2014-01-01,158.6,158.6,156.9,159.7,168600,168600,173800,161800
2014-02-01,146.0,146.0,142.5,149.7,155200,155200,157900,151600
2014-03-01,151.6,151.6,147.6,158.7,161200,161200,163500,160800
2014-04-01,153.9,153.9,147.5,161.7,163600,163600,163400,163800
2014-05-01,155.4,155.4,152.1,158.6,165200,165200,168500,160700
2014-06-01,158.1,158.1,151.7,166.0,168100,168100,168100,168200
2014-07-01,156.4,156.4,151.0,162.9,166300,166300,167300,165000
2014-08-01,157.5,157.5,152.8,163.1,167400,167400,169300,165200
2014-09-01,159.1,159.1,157.0,160.7,169100,169100,174000,162800
2014-10-01,160.1,160.1,153.8,167.2,170200,170200,170400,169400
2014-11-01,155.9,155.9,152.2,159.4,165700,165700,168600,161500
2014-12-01,158.9,158.9,152.5,166.1,168900,168900,169000,168300
2015-01-01,156.6,156.6,150.7,163.7,166500,166500,167000,165800
2015-02-01,157.0,157.0,144.9,172.3,166900,166900,160500,174500
2015-03-01,155.1,155.1,143.1,172.0,164900,164900,158600,174200
