Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,152300,152300,158000,143700,148500
2005-02-01,100.2,100.2,99.7,101.1,100.2,152600,152600,157500,145300,148800
2005-03-01,102.0,102.0,102.0,102.4,100.3,155300,155300,161100,147200,149000
2005-04-01,102.6,102.7,102.3,103.6,100.5,156300,156400,161700,148900,149300
2005-05-01,101.8,101.8,100.5,104.5,100.5,155100,155100,158800,150200,149300
2005-06-01,104.7,104.8,103.6,105.4,100.7,159500,159600,163700,151400,149500
2005-07-01,101.3,101.3,99.0,105.0,101.3,154300,154300,156400,150900,150400
2005-08-01,104.5,104.5,104.9,104.3,101.9,159100,159100,165700,149900,151300
2005-09-01,103.3,103.3,103.4,103.5,102.4,157400,157400,163400,148700,152100
2005-10-01,106.2,106.2,109.4,102.1,103.2,161700,161700,172900,146700,153200
2005-11-01,101.2,101.2,102.0,100.8,103.9,154200,154200,161100,144800,154300
2005-12-01,104.9,104.9,108.5,99.6,104.6,159800,159800,171500,143100,155400
2006-01-01,104.6,104.6,107.2,100.8,105.4,159300,159300,169300,144800,156500
2006-02-01,105.1,105.1,107.7,101.3,106.1,160100,160100,170200,145600,157600
2006-03-01,106.3,106.3,109.2,101.9,106.7,161900,161900,172500,146500,158400
2006-04-01,108.2,108.2,111.9,102.7,107.3,164800,164800,176800,147600,159400
2006-05-01,109.3,109.3,113.4,103.4,107.9,166500,166500,179100,148600,160300
2006-06-01,104.3,104.3,103.9,103.8,108.6,158800,158900,164100,149200,161200
2006-07-01,112.8,112.8,116.9,106.1,109.4,171800,171800,184700,152500,162400
2006-08-01,112.4,112.3,115.3,108.2,110.2,171200,171100,182100,155500,163600
2006-09-01,113.9,113.9,116.5,110.2,110.9,173500,173500,184000,158400,164700
2006-10-01,114.6,114.6,117.7,110.8,111.2,174500,174500,186000,159200,165100
2006-11-01,113.9,113.9,116.0,111.4,111.5,173500,173500,183300,160100,165600
2006-12-01,113.8,113.8,115.1,112.0,111.8,173300,173300,181800,161000,166000
2007-01-01,115.0,115.0,116.1,113.4,111.7,175100,175100,183500,162900,165900
2007-02-01,115.7,115.7,116.6,114.3,111.5,176200,176200,184200,164300,165600
2007-03-01,116.1,116.1,116.5,115.8,111.0,176800,176800,184100,166400,164900
2007-04-01,116.1,116.0,115.6,117.2,112.1,176800,176700,182600,168400,166500
2007-05-01,119.7,119.7,120.8,118.5,113.1,182300,182300,190800,170300,167900
2007-06-01,121.8,121.9,122.8,119.6,114.3,185500,185600,194000,171800,169700
2007-07-01,120.9,120.9,122.3,118.7,114.5,184100,184100,193200,170600,170000
2007-08-01,119.0,119.0,120.1,117.7,114.8,181300,181300,189800,169200,170500
2007-09-01,121.0,121.0,123.9,116.5,114.9,184300,184300,195800,167400,170700
2007-10-01,119.2,119.2,121.1,116.8,115.5,181500,181500,191300,167800,171500
2007-11-01,122.4,122.4,126.3,117.3,116.2,186400,186400,199500,168500,172500
