Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,131400,131400,127400,140000
2005-02-01,100.2,100.2,99.4,101.8,131700,131700,126600,142500
2005-03-01,99.1,99.1,97.1,103.1,130200,130200,123700,144300
2005-04-01,101.3,101.3,100.2,103.4,133100,133100,127700,144800
2005-05-01,101.4,101.4,100.5,103.4,133300,133300,128000,144800
2005-06-01,101.9,101.9,101.2,103.6,133900,133900,128900,145100
2005-07-01,103.2,103.2,102.5,104.9,135600,135600,130600,146900
2005-08-01,105.0,105.0,104.4,106.4,138000,138000,133000,148900
2005-09-01,105.7,105.7,104.7,107.9,138900,138900,133400,151000
2005-10-01,106.4,106.4,104.2,110.8,139800,139800,132700,155100
2005-11-01,109.4,109.4,107.4,113.6,143800,143800,136800,159100
2005-12-01,109.5,109.5,106.0,117.1,143900,143900,135100,163900
2006-01-01,111.1,111.1,108.6,115.9,146000,146000,138400,162300
2006-02-01,113.4,113.4,112.6,114.9,149000,149000,143500,160900
2006-03-01,111.6,111.6,110.6,113.4,146600,146600,140900,158800
2006-04-01,113.9,113.9,113.5,114.6,149700,149700,144600,160400
2006-05-01,113.4,113.4,112.3,115.5,149000,149000,143100,161700
2006-06-01,112.3,112.3,110.1,116.5,147600,147600,140300,163100
2006-07-01,120.5,120.5,121.1,119.6,158300,158300,154300,167400
2006-08-01,118.6,118.6,116.5,122.9,155800,155800,148400,172000
2006-09-01,122.6,122.6,120.8,126.0,161100,161100,153900,176400
2006-10-01,123.6,123.6,121.2,128.3,162400,162400,154400,179600
2006-11-01,126.0,126.0,123.9,130.4,165600,165600,157800,182500
2006-12-01,127.8,127.8,125.5,132.9,167900,167900,159900,186100
2007-01-01,129.8,129.8,127.5,134.4,170600,170600,162400,188100
2007-02-01,132.0,132.0,130.0,135.6,173400,173400,165600,189900
2007-03-01,138.7,138.7,139.8,136.8,182300,182300,178100,191500
2007-04-01,138.6,138.6,138.3,139.1,182100,182100,176200,194800
2007-05-01,142.0,142.0,142.2,141.4,186600,186600,181200,198000
2007-06-01,143.8,143.8,143.7,143.8,188900,188900,183100,201300
2007-07-01,143.5,143.5,142.5,145.9,188600,188600,181500,204200
2007-08-01,147.3,147.3,147.0,148.2,193600,193600,187300,207500
2007-09-01,147.7,147.7,146.3,150.6,194100,194100,186400,210900
2007-10-01,151.3,151.3,150.9,151.9,198800,198800,192300,212700
2007-11-01,154.3,154.3,154.8,153.1,202700,202700,197200,214400
2007-12-01,158.3,158.3,160.4,154.9,208000,208000,204400,216800
2008-01-01,160.0,160.0,159.8,160.4,210200,210200,203600,224500
2008-02-01,164.5,164.5,163.9,165.6,216200,216200,208800,231900
2008-03-01,168.1,168.1,166.8,171.1,220900,220900,212500,239500
2008-04-01,168.9,168.9,167.7,171.9,222000,222000,213700,240600
2008-05-01,169.9,169.9,168.4,172.9,223300,223300,214600,242000
2008-06-01,171.9,171.9,171.1,173.5,225900,225900,218000,242900
2008-07-01,167.4,167.4,165.7,171.1,219900,219900,211100,239600
2008-08-01,168.8,168.8,169.2,168.5,221800,221800,215600,235900
2008-09-01,168.3,168.3,169.3,166.7,221100,221100,215700,233400
2008-10-01,164.5,164.5,165.3,163.1,216100,216100,210600,228300
2008-11-01,160.5,160.5,161.1,159.5,210900,210900,205200,223300
2008-12-01,157.2,157.2,157.6,156.8,206500,206500,200800,219500
2009-01-01,161.6,161.6,166.0,152.8,212300,212300,211500,213900
2009-02-01,151.8,151.8,153.5,148.4,199500,199500,195600,207800
2009-03-01,142.9,142.9,142.5,144.1,187800,187800,181600,201800
2009-04-01,147.3,147.3,149.1,144.7,193600,193600,190000,202600
2009-05-01,150.2,150.2,152.4,145.6,197300,197300,194200,203900
2009-06-01,152.6,152.6,155.7,146.7,200500,200500,198300,205400
2009-07-01,152.1,152.1,155.1,146.5,199800,199800,197600,205100
2009-08-01,150.8,150.8,153.1,146.8,198200,198200,195000,205500
2009-09-01,154.7,154.7,158.1,148.4,203300,203300,201400,207700
2009-10-01,157.0,157.0,161.1,149.1,206300,206300,205200,208800
2009-11-01,156.6,156.6,160.2,149.5,205800,205800,204100,209300
2009-12-01,162.3,162.3,168.0,151.0,213200,213200,214000,211400
2010-01-01,163.0,163.0,169.1,151.0,214200,214200,215400,211400
2010-02-01,158.0,158.0,158.9,156.4,207600,207600,202400,218900
2010-03-01,159.3,159.3,160.7,157.0,209300,209300,204700,219800
2010-04-01,163.5,163.5,164.6,162.3,214900,214900,209700,227200
2010-05-01,162.9,162.9,164.7,160.2,214100,214100,209800,224300
2010-06-01,162.6,162.6,164.3,159.7,213700,213700,209300,223600
2010-07-01,167.0,167.0,169.1,163.6,219400,219400,215400,229000
2010-08-01,167.2,167.2,169.5,163.7,219700,219700,215900,229200
2010-09-01,165.3,165.3,167.7,161.1,217200,217200,213700,225600
2010-10-01,167.4,167.4,170.4,161.9,219900,219900,217100,226700
2010-11-01,167.7,167.7,169.9,164.0,220300,220300,216400,229600
2010-12-01,164.4,164.4,165.1,163.7,216000,216000,210300,229200
2011-01-01,164.5,164.5,163.2,167.5,216100,216100,207900,234500
2011-02-01,168.1,168.1,169.9,164.6,220900,220900,216500,230400
2011-03-01,172.7,172.7,174.7,169.1,226900,226900,222600,236800
2011-04-01,170.5,170.5,172.6,167.9,224100,224100,219900,235100
2011-05-01,169.2,169.2,170.2,168.1,222300,222300,216800,235400
2011-06-01,168.3,168.3,169.2,167.4,221100,221100,215600,234300
2011-07-01,173.1,173.1,177.0,165.6,227500,227500,225500,231800
2011-08-01,173.5,173.5,175.5,170.6,228000,228000,223600,238800
2011-09-01,173.7,173.7,174.6,172.9,228200,228200,222400,242100
2011-10-01,175.8,175.8,176.7,175.1,231000,231000,225100,245100
2011-11-01,178.9,178.9,180.7,176.5,235100,235100,230200,247100
2011-12-01,179.1,179.1,180.7,177.1,235300,235300,230200,247900
2012-01-01,178.1,178.1,179.0,177.1,234000,234000,228000,247900
2012-02-01,182.0,182.0,182.5,181.4,239100,239100,232500,254000
2012-03-01,180.2,180.2,180.3,181.1,236800,236800,229700,253600
2012-04-01,178.8,178.8,178.7,180.7,235000,235000,227700,253000
2012-05-01,178.2,178.2,179.1,177.4,234100,234100,228200,248400
2012-06-01,180.4,180.4,181.2,180.0,237000,237000,230800,252000
2012-07-01,180.7,180.7,180.7,182.2,237500,237500,230200,255100
2012-08-01,179.8,179.8,180.5,180.3,236200,236200,229900,252400
2012-09-01,182.6,182.6,184.1,180.4,239900,239900,234600,252600
2012-10-01,183.6,183.6,184.0,184.1,241200,241200,234400,257700
2012-11-01,182.7,182.7,181.1,188.3,240100,240100,230700,263600
2012-12-01,185.6,185.6,185.3,188.4,243900,243900,236100,263700
2013-01-01,186.2,186.2,186.7,186.6,244700,244700,237900,261300
2013-02-01,187.1,187.1,187.0,188.1,245800,245800,238300,263300
2013-03-01,185.6,185.6,187.3,183.4,243900,243900,238600,256700
2013-04-01,184.2,184.2,186.2,181.1,242000,242000,237200,253600
2013-05-01,187.9,187.9,191.2,182.1,246900,246900,243600,254900
2013-06-01,185.3,185.3,185.4,187.0,243500,243500,236200,261800
2013-07-01,183.6,183.6,183.8,185.1,241300,241300,234100,259100
2013-08-01,187.5,187.5,189.8,184.6,246400,246400,241800,258400
2013-09-01,180.7,180.7,179.8,184.1,237400,237400,229100,257700
2013-10-01,179.8,179.8,179.7,181.9,236200,236200,228900,254600
2013-11-01,181.0,181.0,181.8,181.0,237800,237800,231600,253400
2013-12-01,177.8,177.8,176.2,182.5,233600,233600,224500,255500
2014-01-01,182.0,182.0,182.4,182.6,239200,239200,232400,255600
2014-02-01,179.1,179.1,180.5,176.2,235300,235300,230000,246700
2014-03-01,182.1,182.1,183.0,181.1,239300,239300,233200,253600
2014-04-01,183.8,183.8,184.5,183.4,241500,241500,235100,256800
2014-05-01,182.3,182.3,181.6,185.8,239500,239500,231300,260100
2014-06-01,183.9,183.9,185.2,182.9,241700,241700,235900,256000
2014-07-01,178.5,178.5,178.3,180.8,234500,234500,227200,253100
2014-08-01,181.3,181.3,182.8,180.4,238200,238200,232900,252600
2014-09-01,181.6,181.6,183.0,180.6,238600,238600,233200,252900
2014-10-01,179.8,179.8,180.8,179.6,236200,236200,230400,251500
2014-11-01,179.1,179.1,181.7,175.9,235400,235400,231500,246200
2014-12-01,179.0,179.0,180.8,176.9,235200,235200,230300,247700
2015-01-01,179.2,179.2,179.7,180.0,235500,235500,228900,252000
2015-02-01,178.1,178.1,178.3,178.4,234000,234000,227200,249700
2015-03-01,176.9,176.9,176.8,178.7,232500,232500,225200,250200
2015-04-01,180.0,180.0,180.8,180.2,236500,236500,230400,252300
2015-05-01,180.1,180.1,180.5,181.8,236700,236700,230000,254500
2015-06-01,179.1,179.1,179.4,180.1,235400,235400,228600,252100
2015-07-01,182.4,182.4,183.8,181.6,239700,239700,234100,254300
2015-08-01,179.6,179.6,181.2,178.8,236000,236000,230800,250300
2015-09-01,187.7,187.7,191.4,181.9,246600,246600,243900,254700
2015-10-01,182.8,182.8,184.3,181.9,240200,240200,234800,254600
2015-11-01,183.3,183.3,183.8,184.4,240800,240800,234100,258100
2015-12-01,186.9,186.9,189.1,184.1,245600,245600,240900,257800
2016-01-01,185.2,185.2,185.7,185.5,243300,243300,236600,259700
2016-02-01,188.7,188.7,191.1,184.1,248000,248000,243500,257700
2016-03-01,187.1,187.1,188.5,184.5,245900,245900,240100,258300
2016-04-01,182.0,182.0,183.0,181.6,239100,239100,233100,254300
2016-05-01,183.6,183.6,186.1,180.1,241300,241300,237100,252100
2016-06-01,180.6,180.6,182.6,177.4,237300,237300,232600,248300
2016-07-01,183.2,183.2,184.9,181.3,240700,240700,235600,253800
2016-08-01,182.0,182.0,180.8,187.0,239200,239200,230400,261800
2016-09-01,178.7,178.7,176.7,186.1,234800,234800,225100,260500
2016-10-01,182.5,182.5,181.6,186.8,239800,239800,231400,261500
2016-11-01,184.6,184.6,184.3,187.2,242600,242600,234800,262100
2016-12-01,184.6,184.6,184.5,186.2,242500,242500,235000,260700
2017-01-01,186.7,186.7,189.2,182.5,245300,245300,241100,255500
2017-02-01,189.0,189.0,195.1,177.1,248400,248400,248500,247900
2017-03-01,187.1,187.1,188.1,183.9,245900,245900,239700,257500
2017-04-01,187.7,187.7,189.4,186.1,246700,246700,241300,260600
2017-05-01,185.1,185.1,186.5,184.3,243200,243200,237600,258000
2017-06-01,191.0,191.0,193.3,186.9,251000,251000,246300,261600
2017-07-01,186.5,186.5,188.3,184.3,245100,245100,239900,258000
2017-08-01,187.7,187.7,189.5,185.7,246700,246700,241400,260000
2017-09-01,190.6,190.6,194.1,185.9,250400,250400,247300,260200
2017-10-01,191.3,191.3,192.4,191.1,251400,251400,245100,267500
2017-11-01,187.8,187.8,188.9,187.0,246800,246800,240700,261800
2017-12-01,187.5,187.5,186.6,190.4,246400,246400,237700,266600
2018-01-01,187.5,187.5,187.6,189.0,246400,246400,239000,264600
2018-02-01,186.2,186.2,183.7,193.9,244700,244700,234000,271400
2018-03-01,189.0,189.0,188.5,187.2,248300,248300,240100,262100
2018-04-01,193.5,193.5,193.4,195.9,254200,254200,246400,274300
2018-05-01,195.7,195.7,194.7,200.2,257100,257100,248100,280300
2018-06-01,197.3,197.3,195.3,202.9,259300,259300,248800,284100
2018-07-01,196.9,196.9,196.7,198.4,258700,258700,250600,277800
2018-08-01,199.4,199.4,201.5,197.1,262000,262000,256700,275900
2018-09-01,198.8,198.8,197.9,203.9,261200,261200,252100,285400
2018-10-01,201.8,201.8,205.2,196.2,265100,265100,261400,274700
2018-11-01,199.5,199.5,201.3,197.7,262200,262200,256400,276800
2018-12-01,200.1,200.1,202.0,196.9,262900,262900,257400,275600
2019-01-01,202.1,202.1,203.5,201.6,265500,265500,259200,282200
2019-02-01,194.4,194.4,194.1,198.6,255500,255500,247300,278000
2019-03-01,193.5,193.5,190.2,197.2,254200,254200,242300,276100
2019-04-01,196.9,196.9,197.8,197.6,258700,258700,252000,276700
2019-05-01,201.5,201.5,202.9,201.3,264800,264800,258500,281800
2019-06-01,204.7,204.7,206.3,203.1,269000,269000,262800,284400
2019-07-01,209.0,209.0,210.0,206.7,274600,274600,267600,289400
2019-08-01,210.0,210.0,211.8,208.8,276000,276000,269800,292300
2019-09-01,212.9,212.9,216.9,207.1,279700,279700,276300,289900
2019-10-01,211.0,211.0,213.9,207.2,277300,277300,272500,290100
2019-11-01,214.9,214.9,218.7,208.7,282400,282400,278600,292200
2019-12-01,220.8,220.8,224.4,213.8,290100,290100,285900,299300
2020-01-01,213.0,213.0,214.6,212.1,279900,279900,273400,296900
2020-02-01,215.1,215.1,216.1,217.1,282600,282600,275300,303900
2020-03-01,225.3,225.3,227.1,217.5,296100,296100,289300,304500
2020-04-01,219.6,219.6,225.1,210.6,288600,288600,286800,294800
2020-05-01,219.2,219.2,224.8,209.9,288000,288000,286400,293800
2020-06-01,226.9,226.9,233.4,215.0,298100,298100,297300,301000
