Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,138600,138600,150200,123200
2005-02-01,100.6,100.6,100.9,100.4,139500,139500,151500,123700
2005-03-01,100.9,100.9,101.0,100.8,139800,139800,151700,124200
2005-04-01,101.2,101.2,101.1,101.2,140200,140200,151900,124700
2005-05-01,100.9,100.9,100.7,101.5,139900,139900,151200,125000
2005-06-01,100.8,100.8,100.2,101.7,139700,139700,150500,125300
2005-07-01,101.2,101.2,100.5,102.4,140300,140300,150900,126100
2005-08-01,101.7,101.7,100.9,102.9,140900,140900,151500,126800
2005-09-01,102.2,102.2,101.6,103.6,141700,141700,152600,127600
2005-10-01,103.7,103.7,103.4,104.3,143700,143700,155300,128500
2005-11-01,105.2,105.2,105.4,105.0,145800,145800,158300,129300
2005-12-01,107.1,107.1,107.8,105.7,148400,148400,161900,130200
2006-01-01,106.3,106.3,106.6,105.8,147300,147300,160100,130300
2006-02-01,105.6,105.6,105.5,106.0,146400,146400,158400,130600
2006-03-01,104.6,104.6,103.7,106.2,145000,145000,155800,130800
2006-04-01,106.3,106.3,106.4,106.3,147300,147300,159800,130900
2006-05-01,107.6,107.6,108.5,106.3,149200,149200,163000,131000
2006-06-01,109.0,109.0,110.7,106.3,151100,151100,166300,131000
2006-07-01,109.7,109.7,111.1,107.5,152100,152100,166900,132500
2006-08-01,110.5,110.5,111.6,108.8,153200,153200,167600,134000
2006-09-01,111.3,111.3,112.3,110.1,154300,154300,168700,135700
2006-10-01,111.7,111.7,111.9,111.4,154800,154800,168000,137300
2006-11-01,112.2,112.2,111.8,112.9,155500,155500,167900,139100
2006-12-01,113.0,113.0,111.9,114.4,156600,156600,168000,141000
2007-01-01,113.9,113.9,113.2,115.1,157800,157800,170000,141800
2007-02-01,114.9,114.9,114.6,115.6,159300,159300,172200,142400
2007-03-01,115.7,115.7,115.5,116.2,160400,160400,173500,143100
2007-04-01,115.5,115.5,115.0,116.5,160100,160100,172700,143500
2007-05-01,115.0,115.0,113.9,117.0,159400,159400,171100,144100
2007-06-01,114.4,114.4,112.7,117.1,158600,158600,169300,144300
2007-07-01,114.4,114.4,113.2,116.6,158600,158600,170000,143700
2007-08-01,114.7,114.7,113.8,116.2,159000,159000,170900,143100
2007-09-01,114.9,114.9,114.6,115.8,159300,159300,172100,142700
2007-10-01,115.4,115.4,115.2,115.4,159900,159900,173000,142200
2007-11-01,115.9,115.9,116.4,115.3,160700,160700,174900,142000
2007-12-01,117.0,117.0,117.8,115.3,162200,162200,177000,142100
2008-01-01,117.0,117.0,117.5,116.6,162200,162200,176500,143600
2008-02-01,117.3,117.3,117.2,117.9,162600,162600,176100,145200
2008-03-01,117.5,117.5,116.6,119.2,162800,162800,175100,146900
2008-04-01,118.4,118.4,117.7,120.0,164100,164100,176800,147900
2008-05-01,119.8,119.8,119.0,121.3,166100,166100,178800,149500
2008-06-01,120.3,120.3,119.7,121.8,166700,166700,179800,150100
2008-07-01,121.2,121.2,120.7,122.5,168000,168000,181300,150900
2008-08-01,121.6,121.6,121.6,122.5,168600,168600,182600,150900
2008-09-01,122.4,122.4,122.7,122.8,169700,169700,184300,151300
2008-10-01,120.3,120.3,118.2,123.1,166800,166800,177600,151700
2008-11-01,118.3,118.3,115.0,123.7,164000,164000,172800,152400
2008-12-01,116.7,116.7,111.7,124.7,161800,161800,167800,153600
2009-01-01,116.5,116.5,111.9,123.9,161500,161500,168100,152700
2009-02-01,116.3,116.3,112.2,123.1,161200,161200,168500,151700
2009-03-01,116.0,116.0,112.1,122.4,160800,160800,168400,150800
2009-04-01,116.1,116.1,113.4,120.9,160900,160900,170400,148900
2009-05-01,117.1,117.1,115.4,120.0,162300,162300,173300,147900
2009-06-01,116.7,116.7,116.2,117.8,161700,161700,174500,145100
2009-07-01,116.8,116.8,116.0,118.3,161900,161900,174200,145700
2009-08-01,116.7,116.7,115.7,118.2,161700,161700,173800,145600
2009-09-01,116.6,116.6,115.4,118.7,161600,161600,173400,146200
2009-10-01,117.7,117.7,115.8,119.5,163100,163100,174000,147200
2009-11-01,118.8,118.8,117.6,120.1,164600,164600,176700,148000
2009-12-01,120.2,120.2,119.2,121.4,166600,166600,179000,149600
2010-01-01,121.9,121.9,121.6,121.8,168900,168900,182700,150100
2010-02-01,122.7,122.7,121.6,123.9,170000,170000,182600,152700
2010-03-01,123.3,123.3,123.4,122.3,170900,170900,185400,150700
2010-04-01,121.1,121.1,120.0,123.1,167800,167800,180200,151700
2010-05-01,119.3,119.3,117.1,122.1,165400,165400,175900,150400
2010-06-01,119.0,119.0,116.2,122.6,164900,164900,174600,151100
2010-07-01,119.0,119.0,116.0,123.0,164900,164900,174300,151500
2010-08-01,118.3,118.3,115.0,122.6,163900,163900,172700,151000
2010-09-01,119.0,119.0,116.4,122.1,164900,164900,174900,150400
2010-10-01,121.9,121.9,119.4,123.7,169000,169000,179400,152400
2010-11-01,120.8,120.8,118.7,122.8,167400,167400,178300,151300
2010-12-01,119.0,119.0,117.4,120.0,164900,164900,176300,147800
