Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,100.0,193300,203700,192600,213400,137600,119000
2005-02-01,100.3,100.5,99.5,101.3,99.3,99.4,193900,204700,191600,216100,136600,118300
2005-03-01,100.8,101.0,98.9,102.7,98.8,98.8,194800,205800,190500,219100,135900,117600
2005-04-01,100.9,101.2,98.3,103.2,98.2,98.2,195000,206200,189400,220300,135100,116900
2005-05-01,100.9,101.3,97.8,103.6,97.6,97.6,195100,206400,188400,221100,134300,116200
2005-06-01,100.8,101.2,97.7,103.5,97.5,97.0,194800,206200,188100,220900,134100,115400
2005-07-01,99.8,100.2,98.0,101.7,96.9,96.4,193000,204200,188700,217100,133300,114700
2005-08-01,98.9,99.2,98.5,99.9,96.8,95.8,191100,202000,189700,213100,133200,114000
2005-09-01,98.0,98.2,98.9,98.0,96.6,95.2,189400,200100,190400,209200,132900,113300
2005-10-01,98.3,98.6,98.9,98.6,96.5,94.6,190000,200800,190500,210500,132800,112600
2005-11-01,98.7,99.0,98.8,99.2,96.3,94.1,190700,201700,190300,211700,132500,112000
2005-12-01,99.0,99.5,98.8,99.7,96.4,93.5,191300,202600,190200,212700,132700,111300
2006-01-01,99.0,99.2,98.6,99.6,97.7,95.3,191300,202100,189900,212500,134500,113400
2006-02-01,98.9,99.0,98.4,99.4,99.6,97.1,191200,201700,189500,212100,137000,115600
2006-03-01,99.0,98.9,98.1,99.3,101.5,99.0,191300,201400,189000,212000,139700,117800
2006-04-01,99.7,99.5,98.1,100.3,103.6,100.9,192700,202700,189000,214000,142500,120100
2006-05-01,100.3,100.0,98.2,101.0,105.6,102.9,193900,203800,189100,215600,145300,122400
2006-06-01,100.8,100.3,98.7,101.5,108.3,104.8,194800,204300,190000,216500,149000,124700
2006-07-01,101.1,100.7,99.1,101.8,106.2,104.4,195400,205100,190800,217200,146100,124200
2006-08-01,101.2,100.9,99.8,102.0,104.7,103.9,195600,205600,192300,217700,144100,123700
2006-09-01,101.5,101.3,100.3,102.2,103.2,103.5,196200,206400,193100,218200,142000,123200
2006-10-01,101.0,100.9,99.1,102.4,101.7,103.1,195300,205500,190900,218500,140000,122700
2006-11-01,100.5,100.5,97.8,102.4,100.1,102.7,194300,204700,188300,218600,137700,122200
2006-12-01,100.2,100.1,96.5,102.6,98.8,102.4,193600,204000,185900,218900,136000,121800
2007-01-01,99.5,99.6,96.3,101.9,97.9,100.9,192300,202800,185500,217400,134700,120100
2007-02-01,99.1,99.2,96.3,101.4,97.3,99.6,191600,202100,185400,216400,133900,118500
2007-03-01,98.7,98.8,96.1,101.0,96.9,98.2,190700,201300,185100,215500,133300,116900
2007-04-01,98.4,98.7,95.4,101.1,96.7,96.9,190200,201000,183700,215800,133100,115300
2007-05-01,98.2,98.5,94.7,101.2,96.4,95.5,189900,200700,182300,216000,132700,113700
2007-06-01,97.7,98.0,94.4,101.0,96.6,94.3,188900,199700,181900,215500,132900,112200
2007-07-01,97.5,97.7,94.0,100.6,96.8,95.0,188500,199100,181000,214700,133200,113100
2007-08-01,97.2,97.3,94.0,100.0,97.6,95.8,187900,198100,181000,213400,134300,114000
2007-09-01,97.3,97.3,93.7,99.8,98.1,96.6,188000,198100,180500,213000,135000,115000
2007-10-01,96.6,96.5,93.3,99.0,98.7,97.5,186800,196600,179700,211200,135800,116000
2007-11-01,96.3,96.1,92.9,98.2,99.6,98.2,186200,195700,178900,209500,137000,116900
2007-12-01,95.9,95.5,92.6,97.7,100.3,99.1,185300,194600,178300,208400,138000,117900
2008-01-01,96.0,95.8,93.2,97.7,98.7,99.3,185500,195200,179500,208400,135800,118200
2008-02-01,96.6,96.5,93.9,98.3,96.6,99.7,186800,196500,180900,209700,132900,118600
2008-03-01,97.2,97.2,94.4,99.0,94.5,99.7,187800,197900,181900,211200,130100,118600
2008-04-01,96.9,97.0,95.2,98.1,93.8,99.8,187400,197600,183400,209300,129000,118800
2008-05-01,96.6,96.8,95.8,97.2,92.5,100.3,186700,197100,184500,207400,127300,119300
2008-06-01,95.9,96.1,97.5,95.7,92.6,100.7,185300,195800,187700,204200,127400,119800
2008-07-01,94.5,94.6,94.7,94.7,92.2,100.0,182700,192800,182300,202000,126800,119000
2008-08-01,93.6,93.7,92.8,94.0,93.0,98.9,181000,190900,178700,200700,128000,117700
2008-09-01,93.3,93.3,90.9,94.4,94.1,98.9,180400,190000,175100,201500,129500,117700
2008-10-01,93.8,93.8,91.9,94.8,94.0,98.4,181400,191100,177000,202200,129300,117100
2008-11-01,94.5,94.7,93.0,95.6,95.9,97.7,182700,192900,179200,204000,131900,116300
2008-12-01,95.3,95.6,94.1,96.9,96.6,97.1,184200,194800,181200,206800,132900,115600
2009-01-01,93.1,93.3,92.8,93.3,96.5,97.1,180000,190000,178800,199000,132800,115500
2009-02-01,92.0,92.0,92.0,92.0,95.5,96.9,177900,187400,177100,196300,131400,115300
2009-03-01,91.1,91.0,90.9,91.2,95.2,96.6,176000,185300,175100,194600,131000,115000
2009-04-01,90.9,90.9,91.0,90.6,95.1,96.5,175700,185100,175200,193300,130800,114800
2009-05-01,90.9,90.8,90.6,91.0,95.1,96.1,175700,184900,174400,194100,130900,114400
2009-06-01,90.4,90.3,91.2,90.1,95.5,95.9,174800,183900,175700,192300,131400,114100
2009-07-01,90.9,90.8,91.5,90.4,95.1,96.0,175800,184900,176300,192900,130800,114200
2009-08-01,91.9,91.7,91.7,91.3,95.2,95.1,177600,186800,176700,194800,131000,113200
2009-09-01,93.6,93.7,92.6,94.0,94.1,95.1,181000,190900,178400,200700,129500,113200
2009-10-01,92.4,92.4,92.7,91.8,93.2,94.1,178600,188300,178600,195800,128300,112000
2009-11-01,92.0,92.1,93.1,91.0,94.4,93.1,177800,187600,179300,194300,129900,110800
2009-12-01,91.1,91.3,93.4,90.1,94.0,92.6,176100,185900,179900,192300,129400,110200
2010-01-01,92.6,92.8,93.6,91.5,93.0,97.4,179000,189100,180300,195200,127900,115900
2010-02-01,92.4,92.9,93.1,92.6,90.5,89.1,178700,189300,179300,197600,124500,106000
2010-03-01,94.8,95.2,92.5,97.7,90.6,94.4,183200,194000,178100,208400,124700,112300
2010-04-01,93.7,94.0,92.3,95.0,90.6,95.8,181100,191400,177800,202700,124600,114000
2010-05-01,92.3,92.6,92.7,92.6,89.8,94.0,178500,188600,178500,197700,123600,111900
2010-06-01,91.3,91.6,92.1,91.5,89.2,93.9,176400,186500,177300,195200,122700,111700
2010-07-01,92.6,92.8,92.9,92.6,90.8,93.6,179000,189100,178900,197600,125000,111400
2010-08-01,93.9,94.2,92.1,95.3,92.3,92.1,181600,191900,177400,203400,127000,109600
2010-09-01,92.9,93.4,90.3,95.5,91.9,85.0,179600,190200,173900,203700,126500,101200
2010-10-01,93.3,93.9,91.5,95.3,93.5,81.2,180400,191200,176200,203300,128600,96600
2010-11-01,91.6,91.7,90.5,92.8,89.7,93.6,177000,186700,174300,198100,123400,111400
2010-12-01,90.7,90.8,89.3,92.5,90.1,93.6,175400,185000,172000,197400,124000,111400
2011-01-01,94.2,94.9,93.2,95.1,90.5,86.6,182000,193400,179500,202900,124500,103100
2011-02-01,94.2,94.1,93.6,94.0,98.4,97.0,182000,191600,180300,200600,135400,115400
2011-03-01,93.5,93.3,95.9,92.0,100.0,95.0,180800,190000,184700,196400,137600,113100
2011-04-01,93.7,93.3,94.3,92.6,99.1,100.4,181200,190000,181700,197700,136300,119500
2011-05-01,94.6,94.3,95.4,93.7,102.0,92.5,182800,192100,183800,199900,140400,110100
2011-06-01,96.4,96.7,95.3,97.5,92.5,99.2,186400,196900,183600,208000,127300,118100
2011-07-01,95.9,96.3,95.5,96.3,89.8,98.8,185300,196100,183900,205600,123600,117600
2011-08-01,96.0,96.2,96.7,95.5,87.3,101.6,185500,195900,186300,203900,120100,120900
2011-09-01,95.9,95.8,98.4,94.2,86.8,105.9,185300,195200,189500,201000,119500,126000
2011-10-01,96.2,96.3,98.8,94.6,87.6,104.3,186000,196100,190200,201800,120500,124100
2011-11-01,97.8,98.1,100.6,96.4,86.0,104.5,189000,199800,193800,205800,118300,124400
2011-12-01,98.3,98.4,99.7,98.0,89.2,108.2,190100,200400,192100,209200,122800,128700
2012-01-01,98.4,98.8,98.3,98.3,90.5,106.0,190200,201200,189300,209700,124500,126100
2012-02-01,98.2,98.6,99.6,97.4,89.0,103.0,189800,200900,191800,207800,122500,122600
2012-03-01,97.0,97.2,99.0,96.4,89.3,102.7,187500,198000,190700,205800,122900,122200
2012-04-01,97.8,98.3,101.6,96.1,87.9,102.4,189100,200300,195600,205100,120900,121800
2012-05-01,98.7,98.8,101.3,97.3,89.2,104.2,190800,201300,195100,207600,122700,124000
2012-06-01,98.9,99.1,101.0,97.5,92.7,105.5,191200,201800,194600,208100,127500,125500
2012-07-01,98.1,98.0,98.4,97.0,95.3,104.3,189600,199700,189600,207100,131100,124100
2012-08-01,96.3,96.4,99.4,93.8,88.1,103.4,186100,196300,191500,200200,121200,123000
2012-09-01,94.9,94.9,98.5,92.5,92.2,100.3,183500,193300,189700,197300,126900,119300
2012-10-01,94.8,94.2,96.4,92.9,93.7,106.4,183300,191900,185700,198200,128900,126600
2012-11-01,94.6,93.8,95.6,92.7,94.9,109.2,182900,191100,184200,197800,130600,130000
2012-12-01,96.6,96.3,97.7,95.5,93.1,106.6,186800,196100,188100,203800,128100,126900
2013-01-01,97.2,96.7,96.1,97.2,89.0,115.2,187800,196900,185000,207500,122400,137100
2013-02-01,97.1,96.3,94.1,97.8,91.1,117.9,187700,196200,181200,208700,125400,140300
2013-03-01,98.6,98.1,97.4,99.2,90.0,113.6,190600,199800,187500,211700,123900,135200
2013-04-01,96.6,96.4,95.0,98.2,89.0,108.4,186800,196300,183000,209500,122400,129000
2013-05-01,97.1,96.9,95.7,98.9,87.9,101.9,187700,197400,184400,211100,121000,121300
2013-06-01,96.8,96.3,96.3,96.5,93.1,108.2,187100,196200,185400,206000,128100,128800
2013-07-01,97.8,97.6,98.7,96.3,90.3,107.6,189100,198800,190000,205400,124300,128000
2013-08-01,94.4,93.7,99.1,89.3,95.8,105.2,182500,190800,190900,190500,131800,125200
2013-09-01,98.3,98.2,99.6,97.5,92.8,103.0,190000,200000,191900,208000,127700,122600
2013-10-01,99.3,99.2,102.0,97.1,93.4,103.8,192000,202100,196500,207200,128500,123500
2013-11-01,101.1,100.8,102.2,99.7,95.1,106.3,195400,205400,196900,212700,130800,126500
2013-12-01,98.6,98.2,103.2,94.5,90.0,107.3,190600,200000,198800,201700,123900,127700
2014-01-01,98.9,98.2,105.0,93.4,93.4,113.2,191100,200100,202300,199300,128500,134700
2014-02-01,102.1,102.3,106.9,98.7,92.8,100.2,197300,208400,205900,210700,127700,119200
2014-03-01,100.6,100.1,106.5,95.2,90.4,107.3,194400,204000,205200,203200,124400,127700
2014-04-01,99.9,99.2,105.5,94.4,103.1,105.0,193100,202100,203200,201500,141800,125000
2014-05-01,96.5,95.5,104.3,88.9,92.7,102.0,186500,194600,200800,189800,127600,121400
2014-06-01,99.2,99.0,105.8,93.6,89.3,96.0,191800,201600,203700,199800,122900,114200
2014-07-01,102.6,102.1,107.5,97.5,97.5,99.7,198400,207900,207100,208000,134200,118600
2014-08-01,105.1,104.3,109.6,99.8,101.6,100.7,203100,212500,211000,212900,139800,119800
2014-09-01,105.1,104.2,110.5,98.7,102.9,104.9,203100,212300,212800,210700,141600,124800
2014-10-01,106.2,105.5,111.0,100.4,98.8,102.1,205300,214900,213800,214300,136000,121500
2014-11-01,106.2,105.2,109.9,101.0,106.1,104.4,205300,214300,211700,215500,146000,124200
2014-12-01,107.1,106.1,110.6,102.9,110.3,102.4,207100,216200,213100,219600,151800,121800
2015-01-01,105.2,103.9,109.3,100.9,108.4,109.3,203400,211600,210500,215300,149200,130100
2015-02-01,104.5,103.3,108.9,100.1,101.2,105.8,202000,210500,209800,213700,139200,125900
