Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA
2005-01-01,100.0,100.0,100.0,100.0,100.0,162800,169400,153200,182500,98500
2005-02-01,100.7,100.8,101.0,100.6,100.4,164000,170700,154800,183600,98900
2005-03-01,101.4,101.5,102.1,101.2,100.7,165100,172000,156400,184700,99200
2005-04-01,102.5,102.7,102.8,102.5,101.1,166800,173900,157500,187100,99600
2005-05-01,103.4,103.7,103.5,103.9,101.5,168300,175700,158600,189600,100000
2005-06-01,104.4,104.8,104.2,105.3,101.8,169900,177500,159600,192100,100300
2005-07-01,106.1,106.6,105.3,107.4,102.2,172700,180500,161300,196000,100700
2005-08-01,107.8,108.3,106.5,109.5,102.6,175500,183500,163100,199900,101100
2005-09-01,109.5,109.9,107.6,111.7,102.9,178300,186200,164800,203900,101400
2005-10-01,110.4,110.9,108.4,112.8,103.4,179800,187900,166000,205900,101800
2005-11-01,111.4,111.9,108.9,114.0,103.8,181300,189500,166900,208100,102200
2005-12-01,112.3,112.8,109.7,115.2,104.1,182900,191100,168000,210200,102500
2006-01-01,113.6,114.1,111.0,116.3,106.2,185000,193300,170100,212200,104600
2006-02-01,114.8,115.3,112.3,117.4,108.3,186900,195300,172000,214300,106700
2006-03-01,116.0,116.4,113.3,118.5,110.6,188800,197200,173500,216300,108900
2006-04-01,116.7,117.1,113.1,119.8,112.7,190000,198300,173200,218600,111000
2006-05-01,117.3,117.7,112.6,121.2,115.0,190900,199400,172500,221100,113300
2006-06-01,117.9,118.3,112.2,122.5,117.4,192000,200400,171900,223600,115600
2006-07-01,117.5,117.8,112.5,121.4,117.1,191300,199500,172400,221500,115300
2006-08-01,117.0,117.1,112.9,120.2,116.8,190400,198400,172900,219300,115000
2006-09-01,116.5,116.4,113.0,119.0,116.5,189600,197200,173100,217100,114800
2006-10-01,117.1,117.2,114.9,118.9,116.2,190600,198600,176100,217000,114500
2006-11-01,117.8,117.9,116.6,118.8,116.0,191700,199800,178700,216900,114300
2006-12-01,118.4,118.6,118.5,118.8,115.7,192800,200900,181600,216900,114000
2007-01-01,119.3,119.5,119.1,119.8,117.7,194300,202400,182400,218700,115900
2007-02-01,120.0,120.1,119.3,120.6,119.6,195300,203400,182700,220100,117800
2007-03-01,120.8,120.8,119.4,121.5,121.6,196600,204600,182900,221800,119800
2007-04-01,120.8,120.8,119.6,121.7,123.6,196700,204700,183300,222100,121700
2007-05-01,121.0,121.0,119.6,121.9,125.6,197000,204900,183300,222500,123700
2007-06-01,121.3,121.1,119.6,122.2,127.7,197500,205200,183200,223100,125800
2007-07-01,121.4,121.2,119.5,122.5,126.7,197600,205300,183100,223600,124800
2007-08-01,121.4,121.3,119.3,122.7,125.6,197600,205500,182800,223900,123700
2007-09-01,121.3,121.1,118.9,122.8,124.6,197500,205200,182200,224100,122700
2007-10-01,122.4,122.5,119.2,124.8,123.6,199300,207500,182600,227700,121700
2007-11-01,123.3,123.5,119.1,126.5,122.5,200700,209200,182500,230900,120700
2007-12-01,124.4,124.6,119.3,128.5,121.6,202500,211100,182700,234500,119800
2008-01-01,125.2,125.4,120.0,129.2,123.8,203800,212400,183800,235800,121900
2008-02-01,125.3,125.4,120.7,128.9,126.0,204000,212500,184900,235200,124100
2008-03-01,126.1,126.2,121.0,129.2,128.3,205300,213700,185400,235800,126400
2008-04-01,125.0,124.8,121.9,127.2,130.6,203500,211400,186800,232100,128600
2008-05-01,124.4,124.1,122.5,125.3,133.2,202600,210200,187700,228700,131200
2008-06-01,124.0,123.4,123.0,123.9,135.7,201900,209100,188400,226100,133700
2008-07-01,124.6,124.1,123.1,125.2,135.0,202900,210300,188600,228400,133000
2008-08-01,125.6,125.1,123.2,126.8,134.2,204500,212000,188700,231500,132200
2008-09-01,126.4,125.8,123.0,128.3,133.3,205700,213100,188500,234100,131300
2008-10-01,125.2,124.9,121.8,127.3,132.3,203900,211600,186600,232400,130300
2008-11-01,123.8,123.2,120.4,125.5,131.4,201500,208700,184500,229100,129400
2008-12-01,122.5,122.0,119.3,124.4,130.6,199500,206700,182700,227100,128600
2009-01-01,121.3,120.7,117.0,124.1,129.7,197500,204500,179200,226400,127800
2009-02-01,119.3,118.7,114.6,122.1,128.9,194200,201000,175600,222800,127000
2009-03-01,118.2,117.5,111.7,121.4,127.8,192400,199100,171200,221600,125900
2009-04-01,118.4,117.8,113.3,121.5,126.6,192800,199600,173500,221700,124700
2009-05-01,118.7,118.2,114.6,121.5,125.7,193200,200300,175500,221800,123800
2009-06-01,119.5,119.2,116.3,121.9,125.0,194600,201900,178100,222400,123100
2009-07-01,119.8,119.4,116.7,122.0,126.6,195100,202200,178800,222700,124700
2009-08-01,120.8,120.1,117.3,123.1,128.0,196600,203500,179700,224700,126100
2009-09-01,121.4,120.7,118.0,123.7,129.5,197700,204400,180700,225800,127600
2009-10-01,122.1,121.3,118.6,124.4,131.2,198800,205500,181700,227100,129200
2009-11-01,122.1,121.4,119.3,124.1,132.9,198800,205600,182700,226400,130900
2009-12-01,122.9,122.1,120.0,124.7,134.6,200100,206800,183900,227600,132600
2010-01-01,121.7,121.0,120.2,123.0,129.4,198200,204900,184200,224400,127500
2010-02-01,123.6,123.0,121.7,125.0,130.8,201300,208300,186500,228100,128800
2010-03-01,122.6,121.7,121.5,122.2,130.2,199600,206200,186100,223100,128200
2010-04-01,124.6,124.1,120.6,128.0,126.3,202800,210200,184800,233600,124400
2010-05-01,125.4,124.9,121.3,128.9,127.8,204100,211500,185800,235300,125900
2010-06-01,125.3,124.9,122.1,128.1,128.1,204000,211500,187100,233700,126200
2010-07-01,125.3,125.1,122.2,128.3,127.8,204000,211900,187200,234200,125900
2010-08-01,124.8,124.7,122.8,127.3,125.2,203200,211300,188100,232400,123300
2010-09-01,126.4,126.1,124.5,128.5,127.7,205700,213600,190700,234600,125800
2010-10-01,124.8,124.6,122.4,127.1,125.6,203200,211000,187500,231900,123700
2010-11-01,127.2,126.8,126.0,128.4,126.5,207100,214800,193000,234300,124600
2010-12-01,126.5,126.2,125.1,127.6,125.4,205900,213800,191700,232900,123500
2011-01-01,127.1,126.9,125.9,129.0,122.1,207000,215000,192900,235400,120300
2011-02-01,127.6,127.4,125.3,129.8,123.4,207700,215800,191900,236800,121500
2011-03-01,128.5,128.2,124.8,130.5,124.0,209200,217200,191200,238200,122100
2011-04-01,128.7,128.5,126.4,130.5,123.9,209500,217700,193600,238100,122000
2011-05-01,128.5,128.6,126.4,130.7,121.9,209200,217800,193700,238600,120100
2011-06-01,127.3,127.4,125.2,129.5,120.5,207300,215900,191800,236300,118700
2011-07-01,127.8,127.6,124.9,130.0,123.7,208000,216200,191300,237300,121800
2011-08-01,127.9,127.4,125.1,129.5,128.2,208200,215900,191600,236400,126300
2011-09-01,127.1,126.7,124.2,128.5,127.1,206900,214600,190300,234600,125200
2011-10-01,127.6,126.9,123.2,129.5,135.3,207800,215000,188700,236300,133300
2011-11-01,126.4,125.4,122.5,127.6,137.9,205800,212500,187700,232800,135800
2011-12-01,129.2,128.3,122.8,131.8,138.7,210300,217400,188100,240500,136600
2012-01-01,132.6,131.9,126.2,136.3,136.2,215800,223500,193300,248800,134200
2012-02-01,132.7,131.9,129.3,133.4,138.9,216000,223400,198100,243400,136800
2012-03-01,132.3,131.8,130.9,131.5,133.4,215400,223300,200600,240000,131400
2012-04-01,132.6,131.7,131.8,131.3,138.5,215800,223100,201900,239700,136400
2012-05-01,133.4,132.5,130.1,133.8,143.0,217100,224400,199300,244100,140900
2012-06-01,135.2,134.2,128.4,137.5,142.4,220100,227300,196700,250900,140300
2012-07-01,135.3,134.5,128.3,137.9,144.3,220300,227900,196500,251700,142100
2012-08-01,135.0,134.2,128.1,137.4,144.1,219800,227300,196200,250700,141900
2012-09-01,132.9,132.2,128.1,133.9,140.1,216300,223900,196300,244400,138000
