Rates,Bank rate
Jan-00,5
Feb-00,5.25
Mar-00,5.5
Apr-00,5.5
May-00,6
Jun-00,6
Jul-00,6
Aug-00,6
Sep-00,6
Oct-00,6
Nov-00,6
Dec-00,6
Jan-01,5.75
Feb-01,5.75
Mar-01,5.25
Apr-01,5
May-01,4.75
Jun-01,4.75
Jul-01,4.5
Aug-01,4.25
Sep-01,3.75
Oct-01,3
Nov-01,2.5
Dec-01,2.5
Jan-02,2.25
Feb-02,2.25
Mar-02,2.25
Apr-02,2.5
May-02,2.5
Jun-02,2.75
Jul-02,3
Aug-02,3
Sep-02,3
Oct-02,3
Nov-02,3
Dec-02,3
Jan-03,3
Feb-03,3
Mar-03,3.25
Apr-03,3.5
May-03,3.5
Jun-03,3.5
Jul-03,3.25
Aug-03,3.25
Sep-03,3
Oct-03,3
Nov-03,3
Dec-03,3
Jan-04,2.75
Feb-04,2.75
Mar-04,2.5
Apr-04,2.25
May-04,2.25
Jun-04,2.25
Jul-04,2.25
Aug-04,2.25
Sep-04,2.5
Oct-04,2.75
Nov-04,2.75
Dec-04,2.75
Jan-05,2.75
Feb-05,2.75
Mar-05,2.75
Apr-05,2.75
May-05,2.75
Jun-05,2.75
Jul-05,2.75
Aug-05,2.75
Sep-05,3
Oct-05,3.25
Nov-05,3.25
Dec-05,3.5
Jan-06,3.75
Feb-06,3.75
Mar-06,4
Apr-06,4.25
May-06,4.5
Jun-06,4.5
Jul-06,4.5
Aug-06,4.5
Sep-06,4.5
Oct-06,4.5
Nov-06,4.5
Dec-06,4.5
Jan-07,4.5
Feb-07,4.5
Mar-07,4.5
Apr-07,4.5
May-07,4.5
Jun-07,4.5
Jul-07,4.75
Aug-07,4.75
Sep-07,4.75
Oct-07,4.75
Nov-07,4.75
Dec-07,4.5
Jan-08,4.25
Feb-08,4.25
Mar-08,3.75
Apr-08,3.25
May-08,3.25
Jun-08,3.25
Jul-08,3.25
Aug-08,3.25
Sep-08,3.25
Oct-08,2.5
Nov-08,2.5
Dec-08,1.75
Jan-09,1.25
Feb-09,1.25
Mar-09,0.75
Apr-09,0.5
May-09,0.5
Jun-09,0.5
Jul-09,0.5
Aug-09,0.5
Sep-09,0.5
Oct-09,0.5
Nov-09,0.5
Dec-09,0.5
Jan-10,0.5
Feb-10,0.5
Mar-10,0.5
Apr-10,0.5
May-10,0.5
Jun-10,0.75
Jul-10,1
Aug-10,1
Sep-10,1.25
Oct-10,1.25
Nov-10,1.25
Dec-10,1.25
Jan-11,1.25
Feb-11,1.25
Mar-11,1.25
Apr-11,1.25
May-11,1.25
Jun-11,1.25
Jul-11,1.25
Aug-11,1.25
Sep-11,1.25
Oct-11,1.25
Nov-11,1.25
Dec-11,1.25
Jan-12,1.25
Feb-12,1.25
Mar-12,1.25
Apr-12,1.25
May-12,1.25
Jun-12,1.25
Jul-12,1.25
Aug-12,1.25
Sep-12,1.25
Oct-12,1.25
Nov-12,1.25
Dec-12,1.25
Jan-13,1.25
Feb-13,1.25
Mar-13,1.25
Apr-13,1.25
May-13,1.25
Jun-13,1.25
Jul-13,1.25
Aug-13,1.25
Sep-13,1.25
Oct-13,1.25
Nov-13,1.25
Dec-13,1.25
Jan-14,1.25
Feb-14,1.25
Mar-14,1.25
Apr-14,1.25
May-14,1.25
Jun-14,1.25
Jul-14,1.25
Aug-14,1.25
Sep-14,1.25
Oct-14,1.25
Nov-14,1.25
Dec-14,1.25
Jan-15,1
Feb-15,1
Mar-15,1
Apr-15,1
May-15,1
Jun-15,1
Jul-15,0.75
Aug-15,0.75
Sep-15,0.75
Oct-15,0.75
Nov-15,0.75
Dec-15,0.75
Jan-16,0.75
Feb-16,0.75
Mar-16,0.75
Apr-16,0.75
May-16,0.75
Jun-16,0.75
Jul-16,0.75
Aug-16,0.75
Sep-16,0.75
Oct-16,0.75
Nov-16,0.75
Dec-16,0.75
Jan-17,0.75
Feb-17,0.75
Mar-17,0.75
Apr-17,0.75
May-17,0.75
Jun-17,0.75
Jul-17,1
Aug-17,1
Sep-17,1.25
Oct-17,1.25
Nov-17,1.25
Dec-17,1.25
Jan-18,1.5
Feb-18,1.5
Mar-18,1.5
Apr-18,1.5
May-18,1.5
Jun-18,1.5
Jul-18,1.75
Aug-18,1.75
Sep-18,1.75
Oct-18,2
Nov-18,2
Dec-18,2
Jan-19,2
Feb-19,2
Mar-19,2
Apr-19,2
May-19,2
Jun-19,2
Jul-19,2
Aug-19,2
Sep-19,2
Oct-19,2
Nov-19,2
Dec-19,2
Jan-20,2
Feb-20,2
Mar-20,1
Apr-20,0.5
May-20,0.5
Jun-20,0.5
Jul-20,0.5
Aug-20,0.5
Sep-20,0.5
Oct-20,0.5
Nov-20,0.5
Dec-20,0.5
Jan-21,0.5
Feb-21,0.5
Mar-21,0.5
Apr-21,0.5
May-21,0.5
Jun-21,0.5
Jul-21,0.5
Aug-21,0.5
Sep-21,0.5
Oct-21,0.5
Nov-21,0.5
Dec-21,0.5
Jan-22,0.5
Feb-22,0.5
Mar-22,0.75
Apr-22,1.25
May-22,1.25
Jun-22,1.75
Jul-22,2.75
Aug-22,2.75
Sep-22,3.5
Oct-22,3.5
Nov-22,4
Dec-22,4.5
Jan-23,4.5
Feb-23,4.75
Mar-23,4.75
Apr-23,4.75
May-23,4.75
Jun-23,5
