Products and product groups 7,All-items 8,Food,Shelter,"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Health and personal care,"Recreation, education and reading","Alcoholic beverages, tobacco products and recreational cannabis",All-items excluding food,All-items excluding food and energy
Dec-05,108.0,107.4,110.5,102.2,97.1,113.1,105.4,100.8,119.9,108.2,106.0
Jan-06,108.9,107.9,111.8,102.5,96.2,114.7,105.4,100.9,120.0,108.2,106.2
Feb-06,108.5,107.9,111.7,102.3,95.7,112.7,105.5,100.7,120.5,108.0,106.3
Mar-06,108.6,108.1,111.9,102.2,96.5,114.2,105.7,100.7,121.5,108.7,106.5
Apr-06,109.1,108.1,112.2,102.1,95.6,117.9,105.7,100.7,121.9,109.5,106.6
May-06,109.2,108.3,113.0,102.3,96.4,117.8,105.8,101.0,121.8,109.9,106.8
Jun-06,109.1,108.6,112.8,102.2,95.6,117.3,105.9,100.7,121.8,109.6,106.7
Jul-06,109.2,108.8,113.2,101.6,94.9,118.3,105.7,100.4,121.5,109.7,106.6
Aug-06,109.4,109.3,113.5,101.9,95.8,118.0,105.6,100.3,121.8,109.9,106.9
Sep-06,109.0,109.7,114.0,102.0,96.0,112.8,106.0,100.2,122.0,109.3,107.1
Oct-06,109.1,110.2,114.1,102.2,95.9,111.7,106.2,100.3,122.2,108.9,107.4
Nov-06,109.5,110.4,114.1,102.3,96.0,112.7,106.4,100.7,122.3,109.1,107.5
Dec-06,109.9,109.9,114.6,102.3,95.1,114.1,106.4,100.8,123.2,109.3,107.6
Jan-07,110.2,110.6,114.8,102.6,96.4,113.3,106.6,101.2,124.2,109.1,108.0
Feb-07,110.6,112.3,114.9,102.8,95.7,114.2,106.7,101.3,124.2,109.7,108.2
Mar-07,111.2,112.0,115.4,103.0,95.6,117.7,106.6,101.5,124.1,110.9,108.4
Apr-07,111.5,112.1,116.2,103.0,97.3,118.6,106.7,101.4,124.5,111.4,108.7
May-07,111.5,112.1,116.0,102.9,95.9,120.7,107.0,101.6,125.2,112.0,108.8
Jun-07,111.3,111.9,116.8,103.1,94.6,119.2,107.5,101.8,125.7,111.8,108.9
Jul-07,111.4,111.9,117.0,103.4,96.1,118.5,107.5,102.0,126.0,111.9,109.2
Aug-07,111.3,111.9,117.6,103.8,95.7,116.3,107.6,102.0,126.1,111.7,109.3
Sep-07,111.7,111.8,117.8,103.5,95.0,116.9,107.6,102.0,126.6,112.1,109.5
Oct-07,111.9,111.7,118.7,103.4,95.2,115.2,107.7,102.0,126.3,111.8,109.4
Nov-07,112.2,111.7,118.8,103.4,95.4,116.7,107.7,102.1,126.5,112.0,109.4
Dec-07,112.6,111.8,119.2,103.7,95.5,117.5,107.9,102.0,126.2,112.0,109.5
Jan-08,112.4,112.1,119.2,103.6,94.4,118.7,107.8,101.6,126.4,112.5,109.4
Feb-08,112.6,112.5,119.6,104.0,94.5,118.4,107.9,102.0,126.8,112.6,109.6
Mar-08,112.8,112.8,120.1,103.9,94.2,118.0,108.3,102.0,126.6,112.9,109.7
