Date,V122530
Jun-23,5
May-23,4.75
Apr-23,4.75
Mar-23,4.75
Feb-23,4.75
Jan-23,4.5
Dec-22,4.5
Nov-22,4
Oct-22,3.5
Sep-22,3.5
Aug-22,2.75
Jul-22,2.75
Jun-22,1.75
May-22,1.25
Apr-22,1.25
Mar-22,0.75
Feb-22,0.5
Jan-22,0.5
Dec-21,0.5
Nov-21,0.5
Oct-21,0.5
Sep-21,0.5
Aug-21,0.5
Jul-21,0.5
Jun-21,0.5
May-21,0.5
Apr-21,0.5
Mar-21,0.5
Feb-21,0.5
Jan-21,0.5
Dec-20,0.5
Nov-20,0.5
Oct-20,0.5
Sep-20,0.5
Aug-20,0.5
Jul-20,0.5
Jun-20,0.5
May-20,0.5
Apr-20,0.5
Mar-20,1
Feb-20,2
Jan-20,2
Dec-19,2
Nov-19,2
Oct-19,2
Sep-19,2
Aug-19,2
Jul-19,2
Jun-19,2
May-19,2
Apr-19,2
Mar-19,2
Feb-19,2
Jan-19,2
Dec-18,2
Nov-18,2
Oct-18,2
Sep-18,1.75
Aug-18,1.75
Jul-18,1.75
