date, value
1972-11-16,128.4
1972-11-17,128.4
1972-11-20,128.4
1972-11-21,127
1972-11-27,127.1
1972-11-28,127.1
1972-11-29,127.1
1972-11-30,127.1
1972-12-01,128
1972-12-04,128
1972-12-05,128
1972-12-06,130
1972-12-07,130
1972-12-08,134
1972-12-11,138
1972-12-12,138
1972-12-13,138
1972-12-14,138
1972-12-15,138
1972-12-18,138.5
1972-12-19,138.5
1972-12-20,138.5
1972-12-21,137
1972-12-22,138.5
1972-12-26,137
1972-12-27,142
1972-12-29,144
1973-01-02,144
1973-01-03,145
1973-01-04,145
1973-01-05,145
1973-01-08,146
1973-01-09,147
1973-01-10,152
1973-01-11,147
1973-01-12,147
1973-01-15,142.5
1973-01-16,142
1973-01-17,144
1973-01-18,145
1973-01-19,146
1973-01-22,145
1973-01-23,145
1973-01-24,145
1973-01-26,147.3
1973-01-29,145
1973-01-30,143
1973-01-31,145
1973-02-01,146.2
1973-02-02,147.3
1973-02-05,151.5
1973-02-06,153
1973-02-07,152.3
1973-02-08,155
1973-02-09,158
1973-02-12,162
1973-02-13,157
1973-02-14,157
1973-02-15,158.7
1973-02-16,156.5
1973-02-20,158.5
1973-02-21,163.4
1973-02-22,163.1
1973-02-23,162
1973-02-26,160
1973-02-27,158
1973-02-28,158
1973-03-01,159.5
1973-03-02,158.9
1973-03-05,159.2
1973-03-06,159
1973-03-07,161
1973-03-08,166
1973-03-09,166
1973-03-12,171
1973-03-13,171.5
1973-03-14,167.9
1973-03-15,167.9
1973-03-16,170
1973-03-19,171.5
1973-03-20,169.2
1973-03-21,168
1973-03-22,168.5
1973-03-23,168.5
1973-03-26,163.5
1973-03-27,158.5
1973-03-28,162
1973-03-29,159
1973-03-30,162.8
1973-04-02,162.5
1973-04-03,161.5
1973-04-04,161.5
1973-04-05,157
1973-04-06,158.1
1973-04-09,159.75
1973-04-10,159.3
1973-04-11,157
1973-04-12,157
1973-04-13,157.5
1973-04-16,158.5
1973-04-17,162
1973-04-18,158.5
1973-04-19,158.5
1973-04-23,156.4
1973-04-24,156.5
1973-04-25,154.4
1973-04-26,154
1973-04-27,151.4
1973-04-30,151.8
1973-05-01,147.7
1973-05-02,144.5
1973-05-03,141
1973-05-04,138.5
1973-05-07,135
1973-05-08,136
1973-05-09,140
1973-05-10,135
1973-05-11,130
1973-05-14,130.5
1973-05-15,125.5
1973-05-16,120.5
1973-05-17,116.5
1973-05-18,121.5
1973-05-21,126.5
1973-05-22,131.5
1973-05-23,133.3
1973-05-24,138.3
1973-05-25,143.3
1973-05-29,140
1973-05-30,139
1973-05-31,137
1973-06-01,137.5
1973-06-04,132.5
1973-06-05,127.6
1973-06-06,123.8
1973-06-07,126.3
1973-06-08,123.5
1973-06-11,126.9
1973-06-12,131.7
1973-06-13,129.2
1973-06-14,129.2
1973-06-15,126.7
1973-06-18,130.8
1973-06-19,128.3
1973-06-20,125.1
1973-06-21,126.5
1973-06-22,126.3
1973-06-25,126.4
1973-06-26,126.2
1973-06-27,124.2
1973-06-28,125.5
1973-06-29,125.2
1973-07-02,120.4
1973-07-03,119.5
1973-07-05,121.8
1973-07-06,125.6
1973-07-09,123.4
1973-07-10,123
1973-07-11,128
1973-07-12,131.5
1973-07-13,129.9
1973-07-16,134.9
1973-07-17,136
1973-07-18,139.4
1973-07-19,144.4
1973-07-20,139.4
1973-07-23,144.4
1973-07-24,141.5
1973-07-25,142.9
1973-07-26,146
1973-07-27,147.3
1973-07-30,145.2
1973-07-31,142.2
1973-08-01,141.3
1973-08-02,145.2
1973-08-03,147.9
1973-08-06,150.4
1973-08-07,151.1
1973-08-08,152
1973-08-09,152.4
1973-08-10,154.6
1973-08-13,155
1973-08-14,150
1973-08-15,147.3
1973-08-16,152.3
1973-08-17,154.3
1973-08-20,153.3
1973-08-21,152.2
1973-08-22,154
1973-08-23,159
1973-08-24,161
1973-08-27,156.1
1973-08-28,152.58
1973-08-29,150.34
1973-08-30,145.26
1973-08-31,141
1973-09-04,135.9
1973-09-05,140.9
1973-09-06,141.7
1973-09-07,137.3
1973-09-10,135.6
1973-09-11,137.1
1973-09-12,133.9
1973-09-13,133.8
1973-09-14,136.2
1973-09-17,138.7
1973-09-18,134.2
1973-09-19,130.7
1973-09-20,132.1
1973-09-21,127.4
1973-09-24,124.5
1973-09-25,126.5
1973-09-26,127.2
1973-09-27,125
1973-09-28,124.7
1973-10-01,127.4
1973-10-02,125.9
1973-10-03,130.9
1973-10-04,132.7
1973-10-05,129.1
1973-10-08,129.5
1973-10-09,131
1973-10-10,129.3
1973-10-11,128.3
1973-10-12,132
1973-10-15,131.8
1973-10-16,130.3
1973-10-17,131.5
1973-10-18,136.5
1973-10-19,138.3
1973-10-22,141.5
1973-10-23,139
1973-10-24,140.2
1973-10-25,144.5
1973-10-26,142.84
1973-10-29,141.68
1973-10-30,139.1
1973-10-31,135.4
1973-11-01,136.7
1973-11-02,135.9
1973-11-05,138.3
1973-11-06,133.4
1973-11-07,133.6
1973-11-08,134.8
1973-11-09,137.9
1973-11-12,138.9
1973-11-13,133.9
1973-11-14,128.9
1973-11-15,132
1973-11-16,134.9
1973-11-19,133
1973-11-20,130.7
1973-11-21,134.3
1973-11-23,136.5
1973-11-26,131.5
1973-11-27,133.2
1973-11-28,137.8
1973-11-29,136.8
1973-11-30,134.5
1973-12-03,134.7
1973-12-04,137.8
1973-12-05,137
1973-12-06,136.6
1973-12-07,136.6
1973-12-10,139.3
1973-12-11,135.9
1973-12-12,132.6
1973-12-13,131.9
1973-12-14,130.5
1973-12-17,131.1
1973-12-18,132
1973-12-19,127.8
1973-12-20,126.8
1973-12-21,123.2
1973-12-26,125.48
1973-12-27,129.26
1973-12-28,129.16
1973-12-31,127.8
1974-01-02,124.3
1974-01-03,122.9
1974-01-04,123
1974-01-07,124
1974-01-08,123.7
1974-01-09,122
1974-01-10,123.6
1974-01-11,123
1974-01-14,124.7
1974-01-15,123.2
1974-01-16,123.7
1974-01-17,124.7
1974-01-18,124.3
1974-01-21,129.4
1974-01-22,132.7
1974-01-23,131.5
1974-01-24,136.3
1974-01-25,141
1974-01-28,141.7
1974-01-29,140.5
1974-01-30,138.3
1974-01-31,138.6
1974-02-01,143.6
1974-02-04,142.7
1974-02-05,138.6
1974-02-06,136.5
1974-02-07,138.5
1974-02-08,140
1974-02-11,139.9
1974-02-12,137.7
1974-02-13,141
1974-02-14,145.3
1974-02-15,150
1974-02-19,154.5
1974-02-20,159.5
1974-02-21,164.5
1974-02-22,162
1974-02-25,166.86
1974-02-26,169.88
1974-02-27,164.82
1974-02-28,159.76
1974-03-01,157.9
1974-03-04,160.9
1974-03-05,165.9
1974-03-06,170.4
1974-03-07,175.4
1974-03-08,173.3
1974-03-11,177.9
1974-03-12,175.1
1974-03-13,173.5
1974-03-14,168.5
1974-03-15,163.8
1974-03-18,168.8
1974-03-19,173.8
1974-03-20,175
1974-03-21,170
1974-03-22,168.1
1974-03-25,163.1
1974-03-26,161.3
1974-03-27,160.3
1974-03-28,155.3
1974-03-29,153
1974-04-01,158
1974-04-02,153
1974-04-03,153
1974-04-04,158
1974-04-05,163
1974-04-08,168
1974-04-09,163.5
1974-04-10,165.3
1974-04-11,161.8
1974-04-15,157.5
1974-04-16,157.2
1974-04-17,162.2
1974-04-18,157.2
1974-04-19,153.5
1974-04-22,151.3
1974-04-23,149.2
1974-04-24,154.2
1974-04-25,148.1
1974-04-26,146.66
1974-04-29,142.68
1974-04-30,137.12
1974-05-01,135.4
1974-05-02,140.4
1974-05-03,137
1974-05-06,133.4
1974-05-07,138.4
1974-05-08,143.4
1974-05-09,146.2
1974-05-10,145.8
1974-05-13,144.6
1974-05-14,143.2
1974-05-15,144.3
1974-05-16,144.8
1974-05-17,140
1974-05-20,135.6
1974-05-21,137
1974-05-22,140.8
1974-05-23,139.7
1974-05-24,140.7
1974-05-28,137.3
1974-05-29,136.5
1974-05-30,141.5
1974-05-31,138
1974-06-03,137.9
1974-06-04,140.4
1974-06-05,138.1
1974-06-06,139.7
1974-06-07,140.5
1974-06-10,139.8
1974-06-11,138.8
1974-06-12,140.7
1974-06-13,145.7
1974-06-14,145.9
1974-06-17,144.4
1974-06-18,140.1
1974-06-19,137.7
1974-06-20,139.9
1974-06-21,137.8
1974-06-24,137.9
1974-06-25,138.86
1974-06-26,136.54
1974-06-27,133.18
1974-06-28,130.34
1974-07-01,130.1
1974-07-02,132.5
1974-07-03,128.1
1974-07-05,129.7
1974-07-08,126.3
1974-07-09,128.4
1974-07-10,126.7
1974-07-11,129.8
1974-07-12,131.9
1974-07-15,126.9
1974-07-16,128
1974-07-17,129.9
1974-07-18,128.3
1974-07-19,130
1974-07-22,128.9
1974-07-23,133.1
1974-07-24,135.7
1974-07-25,135.6
1974-07-26,131.9
1974-07-29,133.5
1974-07-30,132.6
1974-07-31,130.8
1974-08-01,130.3
1974-08-02,131.6
1974-08-05,131.5
1974-08-06,131.4
1974-08-07,133.9
1974-08-08,132.6
1974-08-09,132
1974-08-12,131.2
1974-08-13,131.2
1974-08-14,130.6
1974-08-15,129.7
1974-08-16,128.2
1974-08-19,126.9
1974-08-20,128.9
1974-08-21,128.5
1974-08-22,130
1974-08-23,128.5
1974-08-26,128
1974-08-27,127.66
1974-08-28,127.92
1974-08-29,125.6
1974-08-30,126.14
1974-09-03,127.2
1974-09-04,125.5
1974-09-05,126.7
1974-09-06,124.1
1974-09-09,124
1974-09-10,123.2
1974-09-11,118.3
1974-09-12,115.7
1974-09-13,115.2
1974-09-16,111.6
1974-09-17,113.8
1974-09-18,111.7
1974-09-19,114.6
1974-09-20,110.3
1974-09-23,105.8
1974-09-24,106.7
1974-09-25,108.1
1974-09-26,103.3
1974-09-27,103
1974-09-30,100.2
1974-10-01,100.4
1974-10-02,98.3
1974-10-03,96.5
1974-10-04,96.5
1974-10-07,101.5
1974-10-08,102.2
1974-10-09,105.6
1974-10-10,110.6
1974-10-11,107.2
1974-10-14,105.9
1974-10-15,103.6
1974-10-16,101.4
1974-10-17,104.1
1974-10-18,106.1
1974-10-21,104.2
1974-10-22,106.1
1974-10-23,107.9
1974-10-24,107.8
1974-10-25,108
1974-10-28,110.14
1974-10-29,113.7
1974-10-30,113.62
1974-10-31,119.26
1974-11-01,121.3
1974-11-04,119
1974-11-06,121.5
1974-11-07,118
1974-11-08,117
1974-11-11,116.2
1974-11-12,114.5
1974-11-13,113.6
1974-11-14,114.3
1974-11-15,110.9
1974-11-18,107.3
1974-11-19,109.6
