Region,Lat,Long
Bancroft and Area,45.0570769,-77.8537127
Barrie And District,44.3893113,-79.6901736
Brantford,43.1408157,-80.2631733
Cambridge,43.3600536,-80.3123023
Greater Toronto,43.6534817,-79.3839347
Grey Bruce Owen Sound,44.5678105,-80.9430094
Guelph And District,43.5460516,-80.2493276
Hamilton Burlington,43.2560802,-79.8728583
Huron Perth,43.6406639,-81.4793923
Kawartha Lakes,44.575616,-78.8486034
Kingston And Area,44.230687,-76.481323
Kitchener Waterloo,43.4652699,-80.5222961
Lakelands,45.1307013,-79.3839611
London St Thomas,42.9832406,-81.243372
Mississauga,43.5896231,-79.6443879
Niagara Region,43.0631891,-79.3098089
Northumberland Hills,44.2034244,-77.8769111
North Bay,46.3092115,-79.4607617
Oakville Milton,43.447436,-79.666672
Ottawa,45.4208777,-75.6901106
Peterborough And Kawarthas,44.3048009,-78.3199496
Quinte And District,44.1884744,-77.3403039
Rideau St Lawrence,45.4263154,-75.6914553
Sault Ste Marie,46.52391,-84.320068
Simcoe And District,42.8353002,-80.31389770907487
Sudbury,46.49272,-80.991211
Tillsonburg District,42.859494,-80.7265015
Windsor Essex,42.3167397,-83.0373389
Woodstock Ingersoll,43.1301111,-80.7562977
